"Window","Role","Model","Ticket","EntryTime","CloseTime","Month","Hour","Bias","Volume","EntryPrice","StopLoss","TakeProfit","PlannedR","Profit","RealizedR","EntryReason","CloseReason","Lane","ATR","SpreadPoints","MFE_R","MAE_R","HeldBars","ProfileId","SourceHash","RunLabel","SourceLog"
"2023_full","red_year","4","30","8/21/2023 8:00:00 AM","8/21/2023 10:02:38 AM","2023-08","8","sell","0.11","1892.52","1894.42","1886.37","3.24","29.26","14.01","Diagnostic trend fallback;","sl 1889.85","diagnostic_fallback","1.76","6","2.31","-0.57","8","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","32","8/22/2023 7:15:00 AM","8/22/2023 7:59:40 AM","2023-08","7","buy","0.07","1896.27","1893.23","1901.15","1.6","-16.8","-7.89","Diagnostic trend fallback;","sl 1893.87","diagnostic_fallback","1.39","6","-0.06","-0.18","2","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2023_full","red_year","4","34","8/24/2023 10:30:00 AM","8/24/2023 1:00:42 PM","2023-08","10","buy","0.06","1922.06","1918.88","1927.15","1.6","-16.92","-8.86","Diagnostic trend fallback;","sl 1919.25","diagnostic_fallback","1.45","6","-0.08","-0.79","10","range_elite_diag_2023_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2023_full_m4","PXEA_RANGE_ELITE_2023_m4_trades.csv"
"2024_full","profit_control","4","2","3/4/2024 7:30:00 AM","3/4/2024 9:03:03 AM","2024-03","7","buy","0.48","2081.1","2079.02","2084.86","1.81","182.4","18.27","Diagnostic trend fallback;","tp 2084.86","diagnostic_fallback","1.07","17","1.15","0.17","6","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","4","3/5/2024 2:45:00 PM","3/5/2024 3:28:40 PM","2024-03","14","buy","0.27","2122.48","2118.14","2131.43","2.06","241.65","20.63","Liquidity sweep;","tp 2131.43","liquidity_sweep","2.56","12","1.11","0.46","2","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","6","3/6/2024 1:00:00 PM","3/6/2024 2:54:37 PM","2024-03","13","buy","0.54","2125.83","2123.21","2134.32","3.24","459","32.44","Diagnostic trend fallback;","tp 2134.32","diagnostic_fallback","2.43","13","2.84","0.58","7","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","8","3/7/2024 1:45:00 PM","3/7/2024 3:05:38 PM","2024-03","13","buy","0.81","2154.84","2152.52","2162.37","3.24","614.79","32.67","Diagnostic trend fallback;","tp 2162.37","diagnostic_fallback","2.15","13","1.58","0.21","5","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","29","5/8/2024 4:15:00 PM","5/8/2024 5:17:30 PM","2024-05","16","sell","0.97","2312.75","2319.91","2301.79","1.53","-88.27","-1.27","Diagnostic trend fallback;","sl 2313.66","diagnostic_fallback","3.13","10","0.66","-0.05","4","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","31","8/6/2024 8:15:00 AM","8/6/2024 8:45:38 AM","2024-08","8","buy","0.1","2410.28","2404.8","2421.41","2.03","-54.9","-10.02","Diagnostic trend fallback;","sl 2404.80","diagnostic_fallback","3.18","33","-0.09","-0.85","2","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","33","8/7/2024 8:30:00 AM","8/7/2024 9:29:14 AM","2024-08","8","sell","0.18","2394.99","2398.22","2384.54","3.24","-27.9","-4.8","Liquidity sweep;","sl 2396.53","liquidity_sweep","2.99","36","1.02","0.46","3","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
