QueueRank,Candidate,Role,Window,From,To,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
12,hrlc_center_rr250_cap020,center,continuous_2015_2020,2015.01.01,2020.12.31,1380.68,13.81,2.18,1.87,265,1.06,11.6838,13.0283,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,5A6988527BD8D130D42637B1906FBADBED37E4C45E8CDBDFC5D1D4C2D39F488F,FE758E7B741B21F3224F93A978C31D297F3FDDAA697627B0840A8234D2FDFB31,702222C8536BC52C18B59631F0A4395013ADB06D4AD9F58653645CC2CC8D6D62
13,hrlc_rr300,threshold_upper_neighbor,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,02AB37F0E41A169012464FA7A463299496B7AE71673199969CC5BDB54CA45ECE,B03E118D552C8A7EC71C326632FD79697A2F1E26398441BA588D67B73BCC96AD,00586415049201D52E1EE98E27977A0D34139AEACBCC56413C1664858AB27A59
14,hrlc_rr300,threshold_upper_neighbor,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,02AB37F0E41A169012464FA7A463299496B7AE71673199969CC5BDB54CA45ECE,079A69D4F542596EE9EAE1237E47E75744B4D1A95368610AD60E60B4FE6E6ABE,CBF589133F3FF042476EF56C5C9773367403D5AA0223805E32E8CEB96CD048A7
15,hrlc_rr300,threshold_upper_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1380.68,13.81,2.18,1.87,265,1.06,11.6838,13.0283,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,02AB37F0E41A169012464FA7A463299496B7AE71673199969CC5BDB54CA45ECE,ED8A992E94E83AAF12CA23E97DD238689377EF0C703CA8DCA4E2B8BA40B071EF,A9C5FEAD484205B3156371D6743BB1D03DAFFF5AE93C9459F858ACB3315DEC20
16,hrlc_cap018,cap_lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,64DADE46EC76574DB5E98C75A4ED844779491AB91E437AA9549B7BF9A68B6FE8,D955BC6439B89CB52174E6DAF5FD69EA70963F3C64652E92FB9A008CE35B85A5,A0CD489541FA4EBF56782FCE26AB819B9EF934D1BEB43E20BE6AD26F2062AF4E
17,hrlc_cap018,cap_lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,64DADE46EC76574DB5E98C75A4ED844779491AB91E437AA9549B7BF9A68B6FE8,A032A767DAC1F37721822FA63089D261E740111E79119439698B70BBE739092D,5ED6E8E5848B4CAD2481C045DFE3797C89B1EFD06D4EF967B68EE8B2556C0955
18,hrlc_cap018,cap_lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1380.33,13.8,2.18,1.87,265,1.06,11.6809,13.0189,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,64DADE46EC76574DB5E98C75A4ED844779491AB91E437AA9549B7BF9A68B6FE8,B4719535950F26681761110B7BA528ADB8F2444678719926A3C6429D6A5C2106,D903427F44A89589E27AD17DF3366E4079E61067CC2272FBF49C3D9BA273B8C0
19,hrlc_cap022,cap_upper_neighbor,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,82225B4A71BB6B8C938DB9495ED62FC12E3FE8A7A5432172C63D94A0C47ED0C1,9F3E05E52E27B24AC13B7DED1453B8A1997A18767B8C9DF51CCDE71CC31136CF,BD3A678BA81899E509202F66F0B16566A5052CEBF5C58FECD69E7992271A95D8
20,hrlc_cap022,cap_upper_neighbor,later_2019_2020,2019.01.01,2020.12.31,388.14,3.88,1.92,1.98,75,0.93,4.1008,4.172,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,82225B4A71BB6B8C938DB9495ED62FC12E3FE8A7A5432172C63D94A0C47ED0C1,7DC199193E092A4BE7F8C79DD2EAFFDC97588571983FC564EA1CE3ADA5B9FEBE,22CE3838C719FD53B193035B163EAB289E346942B04D8CCB875B293E9C437517
21,hrlc_cap022,cap_upper_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1380.68,13.81,2.18,1.87,265,1.06,11.6838,13.0283,3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F,37CDEA025C4C66BD79022335B542E987775DC8CF1FCD7175D2C70C3E6558A8BD,82225B4A71BB6B8C938DB9495ED62FC12E3FE8A7A5432172C63D94A0C47ED0C1,8540B5FAE66581C54407901499B51400979E90FA092D9F1803EF803A07325FEF,F13D13D1C33C21BA85A804E7752A7E81462E42B9660A2A76CECAF94B528B8A1B
