"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2022-12-14T07:00:00","2022-12-16T01:01:00","2022","12","7","Wednesday","XAUUSD","buy","0.01","1808.94","1776.64","1773.67",,"35.27","-0.930252","2521","-32.81","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2023-01-16T07:30:00","2023-02-03T15:48:40","2023","1","7","Monday","XAUUSD","buy","0.01","1919.9","1884.92","1884.93",,"34.97","-1.073778","26418.67","-37.55","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1884.93"
"2023-03-16T07:00:00","2023-05-17T01:02:00","2023","3","7","Thursday","XAUUSD","buy","0.01","1913.36","1988.89","1874.67",,"38.69","1.752649","88922","67.81","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2023-07-19T07:00:00","2023-07-27T16:40:30","2023","7","7","Wednesday","XAUUSD","buy","0.01","1975.56","1946.59","1946.59",,"28.97","-1.044184","12100.5","-30.25","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 1946.59"
"2023-08-16T07:00:00","2023-08-24T01:00:00","2023","8","7","Wednesday","XAUUSD","sell","0.01","1904.1","1915.72","1932.25",,"28.15","-0.42984","11160","-12.1","False","other","DDB;DDB;Daily Donchian sell;AD",""
"2023-10-04T07:00:00","2023-10-09T01:00:26","2023","10","7","Wednesday","XAUUSD","sell","0.01","1820.77","1848.27","1848.12",,"27.35","-1.01426","6840.43","-27.74","False","other","DDB;DDB;Daily Donchian sell;AD","sl 1848.12"
"2023-10-20T07:00:00","2023-11-08T01:00:00","2023","10","7","Friday","XAUUSD","buy","0.01","1977.85","1968.67","1939.95",,"37.9","-0.3","27000","-11.37","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2024-03-06T07:00:00","2024-04-24T01:00:00","2024","3","7","Wednesday","XAUUSD","buy","0.01","2126.27","2322.44","2094.13",,"32.14","5.907592","70200","189.87","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2024-07-08T07:00:00","2024-07-26T01:00:00","2024","7","7","Monday","XAUUSD","buy","0.01","2383.03","2364.05","2342.4",,"40.63","-0.530396","25560","-21.55","False","other","DDB;DDB;Daily Donchian buy;ADX",""
"2024-09-16T10:15:00","2024-10-09T01:00:00","2024","9","10","Monday","XAUUSD","buy","0.01","2581.97","2621.6","2537.62",,"44.35","0.826832","32565","36.67","True","other","DDB;DDB;Daily Donchian buy;ADX",""
"2024-10-18T07:30:00","2024-11-06T15:33:37","2024","10","7","Friday","XAUUSD","buy","0.01","2709.43","2664.23","2664.3",,"45.13","-1.050078","27843.62","-47.39","False","other","DDB;DDB;Daily Donchian buy;ADX","sl 2664.30"
"2025-01-17T07:00:00","2025-02-28T01:00:00","2025","1","7","Friday","XAUUSD","buy","0.01","2714.82","2877.11","2670.14",,"44.68","3.511415","60120","156.89","True","other","DDB;DDB;Daily Donchian buy;ADX",""
