Gate,Feature,Operator,Threshold,EligibleDiagnostic,Score,Trades,NetR,ProfitFactor,WinRatePercent,RedYears,WorstYear,WorstYearR,DiscoveryR,RecentR,StressNetR,StressProfitFactor,StressRedYears,StressWorstYear,StressWorstYearR
RSIDepth>=10,RSIDepth,>=,10.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
TargetATR>=1,TargetATR,>=,1.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
TradeRR<=5,TradeRR,<=,5.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
SpreadATRPct<=16,SpreadATRPct,<=,16.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
SpreadATRPct<=18,SpreadATRPct,<=,18.0,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
BandWidthATR<=4.5,BandWidthATR,<=,4.5,False,-26.0763,41,26.7375,2.1861,46.34,4,2016,-1.0,16.3344,10.4032,24.6875,2.0442,4,2016,-1.05
ADXDelta<=5,ADXDelta,<=,5.0,False,-26.496,38,24.5011,2.1376,44.74,4,2020,-1.5893,15.9369,8.5642,22.6011,2.0006,4,2020,-1.8893
BodyPct>=15,BodyPct,>=,15.0,False,-26.8583,29,21.9436,2.5404,51.72,4,2024,-3.0561,17.1251,4.8185,20.4936,2.3712,4,2024,-3.2061
WickPct>=30,WickPct,>=,30.0,False,-27.4387,34,19.39,1.9456,41.18,4,2025,-2.0545,9.8021,9.5879,17.69,1.8226,4,2025,-2.1545
BodyPct>=10,BodyPct,>=,10.0,False,-27.5315,32,18.6469,2.063,46.88,4,2024,-3.0561,13.8284,4.8185,17.0469,1.9268,4,2024,-3.2061
