"QueueRank","Candidate","Role","StrongSignalRiskEnabled","ProtectionEnabled","ProtectionTriggerR","ProtectionLockR","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","rvsstpll_lock010","observed_reference","true","true","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","C5F9B3BB7CC93B7CD74FD322E54192D3DC4ABCA29DD67B2312CB68C966C9B818","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","744.3","7.44","2.06","2.76","76","50","127.62","1.19","5.8322","6.2521","6.39","6","D162E965C1C8D9A122D20C2A7018E178623758989CF9DEDF2AFF2531E4CE53A6"
"12","rvsstpll_lock010","observed_reference","true","true","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","C5F9B3BB7CC93B7CD74FD322E54192D3DC4ABCA29DD67B2312CB68C966C9B818","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2289.77","22.9","1.8","1.88","414","45.17","133.75","1.15","17.1198","19.913","4.55","8","FD192616AB03E8262AA4B0D662D4F12ABD0534B8F5146A384A75174D2EA4530E"
"13","rvsstpll_lock015","lower_neighbor","true","true","1","0.15","older_2015_2018","2015.01.01","2018.12.31","1","19597688017B4F33805A141F5DC54ACCA9BD9BBC03E03DA8B74B240493C4C66D","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","795.16","7.95","1.93","1.73","187","44.92","105.51","1.01","7.5363","7.8713","4.77","6","9C10870830C6327660F1F59ABC463C0EE4DF5A6F0EAC9F19AF8E4F252EF45D8E"
"14","rvsstpll_lock015","lower_neighbor","true","true","1","0.15","middle_2019_2022","2019.01.01","2022.12.31","1","19597688017B4F33805A141F5DC54ACCA9BD9BBC03E03DA8B74B240493C4C66D","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","427.68","4.28","1.05","1.51","140","41.43","141.84","1.35","3.0152","3.1704","3.44","8","7BCB7E0438016EFA64703477E94DF2409774A9E0DB1D8B7CBFA96CDA98F29876"
"15","rvsstpll_lock015","lower_neighbor","true","true","1","0.15","recent_2023_2026","2023.01.01","2026.07.12","1","19597688017B4F33805A141F5DC54ACCA9BD9BBC03E03DA8B74B240493C4C66D","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","747.1","7.47","2.06","2.76","76","50","127.62","1.19","5.8541","6.2773","6.42","6","2112278218BE994E88DD24DF2EE471972FD2478D52429C357AFDC294CEC5601C"
"16","rvsstpll_lock015","lower_neighbor","true","true","1","0.15","continuous_2015_2026","2015.01.01","2026.07.12","1","19597688017B4F33805A141F5DC54ACCA9BD9BBC03E03DA8B74B240493C4C66D","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2088.51","20.89","1.66","1.81","415","45.06","147.69","1.31","14.1412","15.9466","4.16","8","16CF3594E8AF4DBDA9F23BF69712D3DD83EE489BE65CABC0ABBF54CB5F0EA626"
"17","rvsstpll_lock020","center","true","true","1","0.2","older_2015_2018","2015.01.01","2018.12.31","1","059C89204B5F443AC791BC49004BA5D393B1809968CE48967FF39C94BD737D61","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","702.5","7.02","1.71","1.66","186","45.16","105.51","1.02","6.6581","6.8824","4.55","6","CC279EB920560F04017F93FE77A9372E2EA20A5A9877B50B12F1947B9A206636"
"18","rvsstpll_lock020","center","true","true","1","0.2","middle_2019_2022","2019.01.01","2022.12.31","1","059C89204B5F443AC791BC49004BA5D393B1809968CE48967FF39C94BD737D61","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","432.38","4.32","1.06","1.51","140","41.43","139.84","1.34","3.092","3.2239","3.49","8","3A4D39DE492A031FC556EF010CF5EBA0FF66FC9149122070E887795C363B3275"
"19","rvsstpll_lock020","center","true","true","1","0.2","recent_2023_2026","2023.01.01","2026.07.12","1","059C89204B5F443AC791BC49004BA5D393B1809968CE48967FF39C94BD737D61","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","749.9","7.5","2.07","2.77","76","50","127.62","1.19","5.876","6.3025","6.45","6","FFFD7930E35EEEDE3EAA7058A8417C112F4F16FB5150171E9927F2887FDF4218"
"20","rvsstpll_lock020","center","true","true","1","0.2","continuous_2015_2026","2015.01.01","2026.07.12","1","059C89204B5F443AC791BC49004BA5D393B1809968CE48967FF39C94BD737D61","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2005.83","20.06","1.6","1.8","412","45.15","145.69","1.3","13.7678","15.4308","4.14","8","67C838C1F2F86CB90BD870462E6343DDC2A5549292D536EBFF7069348C9F06C0"
"21","rvsstpll_lock025","upper_neighbor","true","true","1","0.25","older_2015_2018","2015.01.01","2018.12.31","1","1001396240D27EEC1D87481C9528B09424850DFE9F7EF8559C86D383C97B4C7E","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","705.2","7.05","1.72","1.67","186","45.16","105.51","1.02","6.6837","6.9118","4.57","6","81C1BF2F7A132D3973CCAE20562FD37904ECCEE2EF6A07A8458A590283700901"
"22","rvsstpll_lock025","upper_neighbor","true","true","1","0.25","middle_2019_2022","2019.01.01","2022.12.31","1","1001396240D27EEC1D87481C9528B09424850DFE9F7EF8559C86D383C97B4C7E","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","436.98","4.37","1.08","1.52","140","41.43","137.84","1.32","3.1702","3.3106","3.53","8","0569FA97A15123004709A995593B6BE3864539D6395D42552AA47E7D02216043"
"23","rvsstpll_lock025","upper_neighbor","true","true","1","0.25","recent_2023_2026","2023.01.01","2026.07.12","1","1001396240D27EEC1D87481C9528B09424850DFE9F7EF8559C86D383C97B4C7E","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","752.7","7.53","2.08","2.78","76","50","127.62","1.19","5.898","6.3277","6.48","6","5F767E451D96268C8ADA2DE8BDAA72C2335411D270C8CE072FEA2895B5D37D44"
"24","rvsstpll_lock025","upper_neighbor","true","true","1","0.25","continuous_2015_2026","2015.01.01","2026.07.12","1","1001396240D27EEC1D87481C9528B09424850DFE9F7EF8559C86D383C97B4C7E","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2007.78","20.08","1.6","1.8","412","45.15","143.69","1.28","13.973","15.6875","4.15","8","D9409339F6A621CEAECE2FE7F1B0BED48255A4D26B8E8D90782203C59E3E5CD4"
