Trade,Lane,EntryTime,ExitTime,EntryYear,EntryHour,Side,Volume,EntryPrice,ExitPrice,InitialStop,InitialTarget,InitialRiskMoney,RiskR,HoldMinutes,Profit,EntryComment,ExitComment
16,M15_SQUEEZE,2015-07-17T12:00:00,2015-07-17T12:16:40,2015,12,sell,0.12,1143.86,1144.66,1144.66,1142.66,9.6,-1.0,16.67,-9.6,M15SQ_SELL,sl 1144.66
17,ADAPTIVE_TREND,2015-07-07T16:00:00,2015-07-17T16:59:40,2015,16,sell,0.01,1161.53,1134.87,1174.86,1134.87,13.33,1.956489,14459.67,26.08,ATB_H4_SELL,tp 1134.87
18,MOMENTUM,2015-07-22T15:00:00,2015-07-23T02:00:00,2015,15,sell,0.01,1088.5,1095.55,1096.78,1071.94,8.28,-0.868357,660.0,-7.19,MTSM_SELL,
19,MOMENTUM,2015-07-31T10:00:00,2015-07-31T15:30:40,2015,10,sell,0.03,1081.72,1086.57,1086.57,1072.03,14.55,-1.0,330.67,-14.55,MTSM_SELL,sl 1086.57
20,MOMENTUM,2015-09-03T13:00:00,2015-09-03T15:43:40,2015,13,sell,0.03,1130.45,1122.45,1134.45,1122.45,12.0,2.0,163.67,24.0,MTSM_SELL,tp 1122.45
21,M15_SQUEEZE,2015-09-14T13:30:00,2015-09-14T14:36:40,2015,13,sell,0.09,1106.56,1104.91,1107.66,1104.91,9.9,1.5,66.67,14.85,M15SQ_SELL,tp 1104.91
22,M15_SQUEEZE,2015-09-29T08:00:00,2015-09-29T08:13:40,2015,8,sell,0.12,1131.33,1130.09,1132.16,1130.09,9.96,1.493976,13.67,14.88,M15SQ_SELL,tp 1130.09
23,M15_SQUEEZE,2015-10-01T08:30:00,2015-10-01T08:34:40,2015,8,sell,0.2,1114.3,1114.8,1114.8,1113.54,10.0,-1.0,4.67,-10.0,M15SQ_SELL,sl 1114.80
24,MOMENTUM,2015-10-02T10:00:00,2015-10-02T15:15:40,2015,10,sell,0.05,1109.93,1109.63,1112.93,1103.93,15.0,0.1,315.67,1.5,MTSM_SELL,sl 1109.63
25,M15_SQUEEZE,2015-10-21T14:30:00,2015-10-21T14:36:20,2015,14,buy,0.09,1176.05,1177.62,1175.0,1177.62,9.45,1.495238,6.33,14.13,M15SQ_BUY,tp 1177.62
26,ADAPTIVE_TREND,2015-10-28T08:00:00,2015-10-28T12:00:00,2015,8,buy,0.01,1171.15,1171.77,1160.25,1192.95,10.9,0.056881,240.0,0.62,ATB_H4_BUY,
27,M15_SQUEEZE,2015-11-05T12:30:00,2015-11-05T12:45:20,2015,12,sell,0.08,1107.12,1108.32,1108.32,1105.31,9.6,-1.0,15.33,-9.6,M15SQ_SELL,sl 1108.32
28,REVERSION,2015-11-05T18:00:00,2015-11-05T22:32:40,2015,18,buy,0.13,1107.32,1103.93,1103.93,1114.91,44.07,-1.0,272.67,-44.07,RRO;Band VWAP reversion;Lower,sl 1103.93
29,MOMENTUM,2015-11-11T17:00:00,2015-11-12T03:00:00,2015,17,sell,0.03,1085.92,1088.31,1090.25,1077.26,12.99,-0.583526,600.0,-7.58,MTSM_SELL,
30,REVERSION,2015-11-20T13:00:00,2015-11-20T19:18:20,2015,13,sell,0.1,1085.84,1076.25,1088.45,1076.25,26.1,3.67433,378.33,95.9,RRO;Band VWAP reversion;Upper,tp 1076.25
31,MOMENTUM,2015-11-25T16:00:00,2015-11-26T04:00:00,2015,16,sell,0.03,1071.09,1072.84,1076.12,1061.02,15.09,-0.375083,720.0,-5.66,MTSM_SELL,
32,MOMENTUM,2015-12-07T16:00:00,2015-12-08T01:05:00,2015,16,sell,0.03,1079.93,1071.44,1084.17,1071.44,12.72,1.991352,545.0,25.33,MTSM_SELL,tp 1071.44
33,ADAPTIVE_TREND,2015-12-11T04:00:00,2015-12-11T16:51:40,2015,4,sell,0.01,1067.47,1078.75,1078.75,1044.92,11.28,-1.0,771.67,-11.28,ATB_H4_SELL,sl 1078.75
34,M15_SQUEEZE,2015-12-15T09:30:00,2015-12-15T09:31:40,2015,9,sell,0.12,1062.8,1063.62,1063.62,1061.57,9.84,-1.0,1.67,-9.84,M15SQ_SELL,sl 1063.62
35,MOMENTUM,2015-12-17T16:00:00,2015-12-18T03:00:00,2015,16,sell,0.01,1060.22,1053.71,1069.57,1041.52,9.35,0.690909,660.0,6.46,MTSM_SELL,
36,M15_SQUEEZE,2015-12-22T08:00:00,2015-12-22T09:22:20,2015,8,buy,0.08,1078.5,1078.62,1077.26,1080.36,9.92,0.096774,82.33,0.96,M15SQ_BUY,sl 1078.62
37,MOMENTUM,2015-12-23T11:00:00,2015-12-24T01:05:00,2015,11,sell,0.03,1071.16,1070.84,1075.63,1062.21,13.41,0.041014,845.0,0.55,MTSM_SELL,
38,MOMENTUM,2015-12-28T18:00:00,2015-12-29T04:00:00,2015,18,sell,0.05,1069.66,1072.24,1072.62,1063.73,14.8,-0.887162,600.0,-13.13,MTSM_SELL,
39,M15_SQUEEZE,2015-12-30T09:45:00,2015-12-30T10:19:40,2015,9,sell,0.18,1069.61,1068.8,1070.15,1068.8,9.72,1.5,34.67,14.58,M15SQ_SELL,tp 1068.80
40,REVERSION,2016-01-11T03:00:00,2016-01-11T10:53:40,2016,3,sell,0.1,1106.53,1101.25,1109.0,1101.25,24.7,2.137652,473.67,52.8,RRO;Band VWAP reversion;Upper,tp 1101.25
41,MOMENTUM,2016-01-13T10:00:00,2016-01-13T16:16:40,2016,10,sell,0.04,1082.21,1085.86,1085.86,1074.9,14.6,-1.0,376.67,-14.6,MTSM_SELL,sl 1085.86
42,MOMENTUM,2016-01-25T10:00:00,2016-01-26T08:44:40,2016,10,buy,0.03,1104.27,1114.24,1099.28,1114.24,14.97,1.972612,1364.67,29.53,MTSM_BUY,tp 1114.24
43,M15_SQUEEZE,2016-01-27T15:15:00,2016-01-27T15:45:40,2016,15,buy,0.06,1119.83,1118.27,1118.27,1122.16,9.36,-1.0,30.67,-9.36,M15SQ_BUY,sl 1118.27
44,REVERSION,2016-01-28T01:05:00,2016-01-28T16:13:40,2016,1,sell,0.15,1125.57,1116.87,1128.46,1116.87,43.35,3.010381,908.67,130.5,RRO;Band VWAP reversion;Upper,tp 1116.87
45,M15_SQUEEZE,2016-02-01T14:45:00,2016-02-01T14:51:40,2016,14,buy,0.08,1123.96,1122.76,1122.76,1125.76,9.6,-1.0,6.67,-9.6,M15SQ_BUY,sl 1122.76
46,MOMENTUM,2016-02-01T10:00:00,2016-02-01T15:31:40,2016,10,buy,0.05,1122.99,1120.1,1120.1,1128.76,14.45,-1.0,331.67,-14.45,MTSM_BUY,sl 1120.10
47,MOMENTUM,2016-02-04T12:00:00,2016-02-05T12:13:20,2016,12,buy,0.02,1146.13,1158.31,1140.04,1158.31,12.18,1.979475,1453.33,24.11,MTSM_BUY,tp 1158.31
48,M15_SQUEEZE,2016-03-03T13:45:00,2016-03-03T15:21:20,2016,13,buy,0.06,1244.18,1242.52,1242.52,1246.67,9.96,-1.0,96.33,-9.96,M15SQ_BUY,sl 1242.52
49,MOMENTUM,2016-03-03T15:00:00,2016-03-03T17:25:40,2016,15,buy,0.02,1244.87,1256.53,1239.04,1256.53,11.66,2.0,145.67,23.32,MTSM_BUY,tp 1256.53
50,MOMENTUM,2016-03-08T10:00:00,2016-03-08T17:00:00,2016,10,buy,0.01,1273.87,1266.92,1264.83,1291.95,9.04,-0.768805,420.0,-6.95,MTSM_BUY,
51,MOMENTUM,2016-04-05T11:00:00,2016-04-05T18:00:00,2016,11,buy,0.02,1229.11,1229.76,1223.5,1240.32,11.22,0.115865,420.0,1.3,MTSM_BUY,
52,MOMENTUM,2016-04-07T08:00:00,2016-04-08T05:00:00,2016,8,buy,0.02,1229.87,1235.92,1223.21,1243.2,13.32,0.88964,1260.0,11.85,MTSM_BUY,
53,MOMENTUM,2016-04-27T10:00:00,2016-04-27T21:01:40,2016,10,buy,0.02,1247.81,1242.42,1242.42,1258.58,10.78,-1.0,661.67,-10.78,MTSM_BUY,sl 1242.42
54,ADAPTIVE_TREND,2016-04-27T04:00:00,2016-04-29T04:30:40,2016,4,buy,0.01,1245.29,1274.59,1230.64,1274.59,14.65,1.965188,2910.67,28.79,ATB_H4_BUY,tp 1274.59
55,MOMENTUM,2016-05-02T13:00:00,2016-05-02T17:16:40,2016,13,buy,0.01,1299.87,1290.66,1290.66,1318.29,9.21,-1.0,256.67,-9.21,MTSM_BUY,sl 1290.66
56,MOMENTUM,2016-05-11T09:00:00,2016-05-12T06:00:00,2016,9,buy,0.02,1272.87,1272.48,1265.93,1286.76,13.88,-0.110951,1260.0,-1.54,MTSM_BUY,
57,MOMENTUM,2016-05-16T06:00:00,2016-05-16T17:31:40,2016,6,buy,0.02,1277.28,1277.92,1270.92,1289.99,12.72,0.100629,691.67,1.28,MTSM_BUY,sl 1277.92
58,M15_SQUEEZE,2016-05-23T08:45:00,2016-05-23T08:56:40,2016,8,sell,0.1,1252.69,1251.14,1253.73,1251.14,10.4,1.490385,11.67,15.5,M15SQ_SELL,tp 1251.14
59,M15_SQUEEZE,2016-05-24T06:30:00,2016-05-24T09:57:20,2016,6,sell,0.07,1245.81,1243.61,1247.28,1243.61,10.29,1.496599,207.33,15.4,M15SQ_SELL,tp 1243.61
60,MOMENTUM,2016-06-08T10:00:00,2016-06-08T16:01:40,2016,10,buy,0.03,1250.52,1258.55,1246.5,1258.55,12.06,1.997512,361.67,24.09,MTSM_BUY,tp 1258.55
61,MOMENTUM,2016-06-13T14:00:00,2016-06-13T17:10:40,2016,14,buy,0.02,1285.49,1279.28,1279.28,1297.91,12.42,-1.0,190.67,-12.42,MTSM_BUY,sl 1279.28
62,M15_SQUEEZE,2016-06-14T14:00:00,2016-06-14T14:52:40,2016,14,buy,0.07,1281.42,1283.45,1280.07,1283.45,9.45,1.503704,52.67,14.21,M15SQ_BUY,tp 1283.45
63,M15_SQUEEZE,2016-06-15T08:00:00,2016-06-15T08:06:40,2016,8,buy,0.07,1285.4,1284.03,1284.03,1287.46,9.59,-1.0,6.67,-9.59,M15SQ_BUY,sl 1284.03
64,MOMENTUM,2016-06-29T06:00:00,2016-06-29T14:00:00,2016,6,buy,0.01,1320.45,1317.19,1311.01,1339.32,9.44,-0.345339,480.0,-3.26,MTSM_BUY,
65,MOMENTUM,2016-07-01T17:00:00,2016-07-05T04:42:40,2016,17,buy,0.01,1339.86,1340.74,1331.04,1357.51,8.82,0.070295,5022.67,0.62,MTSM_BUY,sl 1340.74
66,M15_SQUEEZE,2016-07-12T12:45:00,2016-07-12T13:26:40,2016,12,sell,0.06,1352.0,1353.63,1353.63,1349.56,9.78,-1.0,41.67,-9.78,M15SQ_SELL,sl 1353.63
67,M15_SQUEEZE,2016-07-19T08:45:00,2016-07-19T09:20:40,2016,8,sell,0.07,1328.17,1329.58,1329.58,1326.06,9.87,-1.0,35.67,-9.87,M15SQ_SELL,sl 1329.58
68,M15_SQUEEZE,2016-07-20T09:00:00,2016-07-20T10:01:40,2016,9,sell,0.06,1329.81,1327.27,1331.5,1327.27,10.14,1.502959,61.67,15.24,M15SQ_SELL,tp 1327.27
69,MOMENTUM,2016-07-27T16:00:00,2016-07-27T21:49:40,2016,16,buy,0.03,1323.05,1332.84,1318.15,1332.84,14.7,1.997959,349.67,29.37,MTSM_BUY,tp 1332.84
70,MOMENTUM,2016-07-28T11:00:00,2016-07-28T17:46:40,2016,11,buy,0.02,1343.15,1336.8,1336.8,1355.85,12.7,-1.0,406.67,-12.7,MTSM_BUY,sl 1336.80
71,ADAPTIVE_TREND,2016-08-02T12:00:00,2016-08-04T08:00:00,2016,12,buy,0.01,1359.4,1351.77,1345.52,1387.15,13.88,-0.586455,2640.0,-8.14,ATB_H4_BUY,
72,M15_SQUEEZE,2016-08-08T09:30:00,2016-08-08T10:40:20,2016,9,sell,0.07,1334.82,1332.83,1336.15,1332.83,9.31,1.496241,70.33,13.93,M15SQ_SELL,tp 1332.83
73,MOMENTUM,2016-08-10T16:00:00,2016-08-10T16:30:40,2016,16,buy,0.02,1356.58,1350.49,1350.49,1368.76,12.18,-1.0,30.67,-12.18,MTSM_BUY,sl 1350.49
74,MOMENTUM,2016-08-16T09:00:00,2016-08-16T15:31:40,2016,9,buy,0.03,1347.75,1357.79,1342.73,1357.79,15.06,2.0,391.67,30.12,MTSM_BUY,tp 1357.79
75,MOMENTUM,2016-08-26T13:00:00,2016-08-26T15:55:40,2016,13,buy,0.05,1326.22,1332.04,1323.31,1332.04,14.55,2.0,175.67,29.1,MTSM_BUY,tp 1332.04
76,M15_SQUEEZE,2016-09-01T07:15:00,2016-09-01T07:30:40,2016,7,sell,0.16,1309.35,1309.98,1309.98,1308.41,10.08,-1.0,15.67,-10.08,M15SQ_SELL,sl 1309.98
77,MOMENTUM,2016-09-20T10:00:00,2016-09-20T12:19:40,2016,10,buy,0.06,1317.36,1315.09,1315.09,1321.9,13.62,-1.0,139.67,-13.62,MTSM_BUY,sl 1315.09
78,MOMENTUM,2016-09-21T15:00:00,2016-09-22T09:00:00,2016,15,buy,0.02,1324.14,1331.51,1317.89,1336.64,12.5,1.1184,1080.0,13.98,MTSM_BUY,
79,MOMENTUM,2016-09-22T16:00:00,2016-09-23T05:00:00,2016,16,buy,0.02,1337.43,1335.01,1331.74,1348.8,11.38,-0.447276,780.0,-5.09,MTSM_BUY,
80,M15_SQUEEZE,2016-09-29T08:30:00,2016-09-29T09:10:40,2016,8,sell,0.13,1323.39,1322.21,1324.18,1322.21,10.27,1.493671,40.67,15.34,M15SQ_SELL,tp 1322.21
81,MOMENTUM,2016-09-30T11:00:00,2016-09-30T17:11:40,2016,11,buy,0.03,1326.0,1320.85,1320.85,1336.31,15.45,-1.0,371.67,-15.45,MTSM_BUY,sl 1320.85
82,M15_SQUEEZE,2016-10-12T13:45:00,2016-10-12T14:52:40,2016,13,sell,0.11,1254.93,1253.57,1255.83,1253.57,9.9,1.511111,67.67,14.96,M15SQ_SELL,tp 1253.57
83,MOMENTUM,2016-10-13T06:00:00,2016-10-13T12:00:00,2016,6,buy,0.02,1259.49,1257.1,1252.74,1272.99,13.5,-0.354074,360.0,-4.78,MTSM_BUY,
84,MOMENTUM,2016-10-18T10:00:00,2016-10-18T16:00:00,2016,10,buy,0.03,1262.23,1259.13,1257.4,1271.89,14.49,-0.641822,360.0,-9.3,MTSM_BUY,
85,ADAPTIVE_TREND,2016-10-21T08:00:00,2016-10-21T12:00:00,2016,8,sell,0.01,1262.3,1264.85,1274.96,1236.98,12.66,-0.201422,240.0,-2.55,ATB_H4_SELL,
86,MOMENTUM,2016-11-02T07:00:00,2016-11-02T18:13:40,2016,7,buy,0.02,1292.92,1304.84,1286.96,1304.84,11.92,2.0,673.67,23.84,MTSM_BUY,tp 1304.84
87,ADAPTIVE_TREND,2016-11-17T20:00:00,2016-11-22T01:05:00,2016,20,sell,0.01,1220.2,1213.83,1232.09,1196.42,11.89,0.523129,6065.0,6.22,ATB_H4_SELL,
88,M15_SQUEEZE,2016-11-23T14:00:00,2016-11-23T14:59:20,2016,14,sell,0.07,1211.12,1208.93,1212.58,1208.93,10.22,1.5,59.33,15.33,M15SQ_SELL,tp 1208.93
89,M15_SQUEEZE,2016-11-25T17:30:00,2016-11-25T18:31:40,2016,17,sell,0.04,1184.71,1181.35,1186.95,1181.35,8.96,1.5,61.67,13.44,M15SQ_SELL,tp 1181.35
90,M15_SQUEEZE,2016-11-30T11:30:00,2016-11-30T12:05:40,2016,11,sell,0.05,1185.97,1187.8,1187.8,1183.23,9.15,-1.0,35.67,-9.15,M15SQ_SELL,sl 1187.80
91,M15_SQUEEZE,2016-12-07T07:00:00,2016-12-07T07:46:40,2016,7,sell,0.11,1167.87,1166.53,1168.77,1166.53,9.9,1.488889,46.67,14.74,M15SQ_SELL,tp 1166.53
92,MOMENTUM,2016-12-12T11:00:00,2016-12-12T15:22:40,2016,11,sell,0.02,1152.6,1159.12,1159.12,1139.57,13.04,-1.0,262.67,-13.04,MTSM_SELL,sl 1159.12
93,M15_SQUEEZE,2016-12-14T15:15:00,2016-12-14T15:30:20,2016,15,sell,0.08,1160.35,1161.55,1161.55,1158.55,9.6,-1.0,15.33,-9.6,M15SQ_SELL,sl 1161.55
94,ADAPTIVE_TREND,2016-12-09T04:00:00,2016-12-14T22:53:20,2016,4,sell,0.01,1165.85,1139.41,1179.07,1139.41,13.22,1.988654,8333.33,26.29,ATB_H4_SELL,tp 1139.41
95,MOMENTUM,2016-12-15T19:00:00,2016-12-16T08:00:00,2016,19,sell,0.01,1124.15,1131.9,1133.47,1105.5,9.32,-0.83691,780.0,-7.8,MTSM_SELL,
96,MOMENTUM,2016-12-20T07:00:00,2016-12-20T16:39:20,2016,7,sell,0.03,1135.44,1126.4,1139.96,1126.4,13.56,2.0,579.33,27.12,MTSM_SELL,tp 1126.40
97,M15_SQUEEZE,2016-12-22T06:30:00,2016-12-22T07:08:40,2016,6,sell,0.12,1130.02,1130.84,1130.84,1128.79,9.84,-1.0,38.67,-9.84,M15SQ_SELL,sl 1130.84
98,MOMENTUM,2016-12-22T08:00:00,2016-12-22T09:28:20,2016,8,sell,0.04,1129.09,1132.55,1132.55,1122.16,13.84,-1.0,88.33,-13.84,MTSM_SELL,sl 1132.55
99,ADAPTIVE_TREND,2016-12-20T16:00:00,2016-12-27T08:00:00,2016,16,sell,0.01,1129.66,1137.88,1142.8,1103.38,13.14,-0.651446,9600.0,-8.56,ATB_H4_SELL,
100,M15_SQUEEZE,2017-01-11T07:30:00,2017-01-11T08:59:40,2017,7,buy,0.09,1188.8,1190.52,1187.65,1190.52,10.35,1.495652,89.67,15.48,M15SQ_BUY,tp 1190.52
101,MOMENTUM,2017-01-25T06:00:00,2017-01-25T16:23:40,2017,6,sell,0.03,1205.49,1196.54,1209.97,1196.54,13.44,1.997768,623.67,26.85,MTSM_SELL,tp 1196.54
102,MOMENTUM,2017-01-26T12:00:00,2017-01-27T22:00:00,2017,12,sell,0.02,1192.64,1191.59,1199.48,1178.96,13.68,0.14693,2040.0,2.01,MTSM_SELL,
103,REVERSION,2017-02-08T16:00:00,2017-02-08T16:32:20,2017,16,sell,0.15,1238.72,1241.06,1241.06,1232.4,35.1,-1.0,32.33,-35.1,RRO;Band VWAP reversion;Upper,sl 1241.06
104,MOMENTUM,2017-02-10T10:00:00,2017-02-10T11:47:20,2017,10,sell,0.03,1221.86,1226.02,1226.02,1213.55,12.48,-1.0,107.33,-12.48,MTSM_SELL,sl 1226.02
105,MOMENTUM,2017-02-13T16:00:00,2017-02-14T07:00:00,2017,16,sell,0.02,1225.34,1228.85,1231.36,1213.29,12.04,-0.590532,900.0,-7.11,MTSM_SELL,
106,REVERSION,2017-02-16T15:00:00,2017-02-16T15:36:40,2017,15,sell,0.1,1237.43,1239.45,1239.45,1229.36,20.2,-1.0,36.67,-20.2,RRO;Band VWAP reversion;Upper,sl 1239.45
107,REVERSION,2017-02-17T15:00:00,2017-02-20T03:30:40,2017,15,sell,0.1,1241.8,1234.82,1244.1,1234.82,23.0,3.014783,3630.67,69.34,RRO;Band VWAP reversion;Upper,tp 1234.82
108,M15_SQUEEZE,2017-02-23T07:00:00,2017-02-23T07:24:20,2017,7,buy,0.12,1237.78,1236.91,1236.91,1239.09,10.44,-1.0,24.33,-10.44,M15SQ_BUY,sl 1236.91
109,MOMENTUM,2017-03-01T15:00:00,2017-03-01T20:00:00,2017,15,sell,0.02,1242.24,1247.13,1247.57,1231.59,10.66,-0.917448,300.0,-9.78,MTSM_SELL,
110,MOMENTUM,2017-03-03T08:00:00,2017-03-03T21:00:40,2017,8,sell,0.04,1230.58,1230.19,1234.44,1222.85,15.44,0.101036,780.67,1.56,MTSM_SELL,sl 1230.19
111,MOMENTUM,2017-03-07T12:00:00,2017-03-07T16:33:40,2017,12,sell,0.05,1223.33,1217.15,1226.42,1217.15,15.45,2.0,273.67,30.9,MTSM_SELL,tp 1217.15
112,M15_SQUEEZE,2017-03-09T06:00:00,2017-03-09T06:10:40,2017,6,sell,0.13,1206.51,1205.34,1207.29,1205.34,10.14,1.5,10.67,15.21,M15SQ_SELL,tp 1205.34
113,MOMENTUM,2017-03-08T10:00:00,2017-03-09T10:46:40,2017,10,sell,0.03,1213.67,1203.83,1218.59,1203.83,14.76,1.972222,1486.67,29.11,MTSM_SELL,tp 1203.83
114,MOMENTUM,2017-03-10T07:00:00,2017-03-10T15:33:40,2017,7,sell,0.04,1197.13,1200.39,1200.39,1190.61,13.04,-1.0,513.67,-13.04,MTSM_SELL,sl 1200.39
115,MOMENTUM,2017-03-14T09:00:00,2017-03-14T13:28:40,2017,9,sell,0.04,1201.6,1205.1,1205.1,1194.61,14.0,-1.0,268.67,-14.0,MTSM_SELL,sl 1205.10
116,ADAPTIVE_TREND,2017-03-15T01:05:00,2017-03-15T20:00:40,2017,1,sell,0.01,1199.11,1207.97,1207.97,1181.38,8.86,-1.0,1135.67,-8.86,ATB_H4_SELL,sl 1207.97
117,REVERSION,2017-03-17T13:00:00,2017-03-17T13:46:40,2017,13,sell,0.1,1228.98,1230.71,1230.71,1218.94,17.3,-1.0,46.67,-17.3,RRO;Band VWAP reversion;Upper,sl 1230.71
118,MOMENTUM,2017-03-24T08:00:00,2017-03-24T09:27:40,2017,8,sell,0.07,1242.37,1244.57,1244.57,1237.98,15.4,-1.0,87.67,-15.4,MTSM_SELL,sl 1244.57
119,MOMENTUM,2017-03-28T10:00:00,2017-03-28T14:25:40,2017,10,sell,0.04,1251.74,1255.01,1255.01,1245.19,13.08,-1.0,265.67,-13.08,MTSM_SELL,sl 1255.01
120,MOMENTUM,2017-03-30T16:00:00,2017-03-31T05:32:40,2017,16,sell,0.04,1247.76,1240.22,1251.53,1240.22,15.08,1.988064,812.67,29.98,MTSM_SELL,tp 1240.22
121,M15_SQUEEZE,2017-03-31T12:45:00,2017-03-31T12:58:40,2017,12,sell,0.14,1241.8,1242.55,1242.55,1240.68,10.5,-1.0,13.67,-10.5,M15SQ_SELL,sl 1242.55
122,REVERSION,2017-04-03T22:00:00,2017-04-04T01:05:00,2017,22,sell,0.1,1252.1,1254.03,1254.03,1246.26,19.3,-1.023834,185.0,-19.76,RRO;Band VWAP reversion;Upper,sl 1254.03
123,M15_SQUEEZE,2017-04-24T14:45:00,2017-04-24T15:03:40,2017,14,sell,0.09,1270.31,1268.64,1271.42,1268.64,9.99,1.504505,18.67,15.03,M15SQ_SELL,tp 1268.64
124,MOMENTUM,2017-05-02T16:00:00,2017-05-02T20:26:40,2017,16,sell,0.04,1252.91,1256.18,1256.18,1246.37,13.08,-1.0,266.67,-13.08,MTSM_SELL,sl 1256.18
125,MOMENTUM,2017-05-04T09:00:00,2017-05-05T07:37:40,2017,9,sell,0.02,1235.46,1234.86,1241.5,1223.38,12.08,0.091887,1357.67,1.11,MTSM_SELL,sl 1234.86
126,MOMENTUM,2017-05-17T13:00:00,2017-05-17T16:57:40,2017,13,buy,0.03,1245.96,1256.3,1240.79,1256.3,15.51,2.0,237.67,31.02,MTSM_BUY,tp 1256.30
127,ADAPTIVE_TREND,2017-05-22T16:00:00,2017-05-24T01:05:00,2017,16,buy,0.01,1258.73,1251.49,1246.77,1282.65,11.96,-0.62709,1985.0,-7.5,ATB_H4_BUY,
128,ADAPTIVE_TREND,2017-05-26T12:00:00,2017-05-30T16:00:00,2017,12,buy,0.01,1263.8,1261.68,1252.68,1286.04,11.12,-0.214029,6000.0,-2.38,ATB_H4_BUY,
129,ADAPTIVE_TREND,2017-06-06T08:00:00,2017-06-07T21:07:40,2017,8,buy,0.02,1284.81,1285.56,1277.27,1299.89,15.08,0.082891,2227.67,1.25,ATB_H4_BUY,sl 1285.56
130,MOMENTUM,2017-06-14T06:00:00,2017-06-14T11:00:00,2017,6,buy,0.04,1269.49,1266.94,1265.88,1276.71,14.44,-0.706371,300.0,-10.2,MTSM_BUY,
131,ADAPTIVE_TREND,2017-07-05T16:00:00,2017-07-05T20:00:00,2017,16,sell,0.01,1218.1,1223.36,1229.21,1195.89,11.11,-0.473447,240.0,-5.26,ATB_H4_SELL,
132,MOMENTUM,2017-07-21T15:00:00,2017-07-21T20:24:40,2017,15,buy,0.06,1249.11,1254.13,1246.6,1254.13,15.06,2.0,324.67,30.12,MTSM_BUY,tp 1254.13
133,REVERSION,2017-08-01T21:00:00,2017-08-01T22:58:40,2017,21,sell,0.1,1272.66,1268.99,1274.5,1268.99,18.4,1.994565,118.67,36.7,RRO;Band VWAP reversion;Upper,tp 1268.99
