"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Purpose"
"11","peak_r20_fmlr_sweep_bos","11","r20_opportunity_sweep","11","phase0_fast_model1","peak_r20_fmlr_sweep_bos.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\011_peak_r20_fmlr_sweep_bos_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_fmlr_sweep_bos_continuous_2024_2026_m1","profiles\peak_r20_fmlr_sweep_bos.set","B7CD7443FAA2570B5787D93627C6322D82C27D2D1A7453DAD950D583C143E5D5","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Require sweep-displacement/BOS style reclaim before a tiny-risk liquidity-reclaim entry."
"12","peak_r20_fmlr_fvg_ob","12","r20_opportunity_sweep","12","phase0_fast_model1","peak_r20_fmlr_fvg_ob.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\012_peak_r20_fmlr_fvg_ob_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_fmlr_fvg_ob_continuous_2024_2026_m1","profiles\peak_r20_fmlr_fvg_ob.set","8DF8636A8A45420B2F97AD7A3D48C45B201C0F4082337E73E1749D8FA553A530","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Tiny-risk liquidity reclaim using FVG/order-block/CHoCH retest components as extra price-action evidence."
"13","peak_r20_soft_weak_gate","13","r20_opportunity_sweep","13","phase0_fast_model1","peak_r20_soft_weak_gate.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\013_peak_r20_soft_weak_gate_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_soft_weak_gate_continuous_2024_2026_m1","profiles\peak_r20_soft_weak_gate.set","4590C45E7E68E80ED816F4C95A08F262E81F882B55EDD0582F9BFB35B8B96D90","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Slightly soften weak-regime gate while leaving the gate enabled."
"14","peak_r20_no_day_window_lowrisk","14","r20_opportunity_sweep","14","phase0_fast_model1","peak_r20_no_day_window_lowrisk.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\014_peak_r20_no_day_window_lowrisk_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_day_window_lowrisk_continuous_2024_2026_m1","profiles\peak_r20_no_day_window_lowrisk.set","D6AF25A6F38D0EAEB054F2D4CD9B00B8F481D2FE0B512AFCE6C853001947F41C","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Disable the month-day window, offset by lower base risk, to test whether timing gates are the bottleneck."
"15","peak_r20_no_peaktrail","15","r20_opportunity_sweep","15","phase0_fast_model1","peak_r20_no_peaktrail.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\015_peak_r20_no_peaktrail_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail.set","7D0C5308E02295ABA96762BF2D3EC43ED78036AA11C490E4A763C11CB0B0A9DE","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Disable equity profit peak trail to test whether the safe branch can keep trading after early gains."
"16","peak_r20_no_peaktrail_r15","16","r20_opportunity_sweep","16","phase0_fast_model1","peak_r20_no_peaktrail_r15.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\016_peak_r20_no_peaktrail_r15_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r15_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r15.set","461A384FD9501ECAAA94763F3C66B7CC511663DE4FF622616ED25165DB5CC77A","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail with lower base risk to keep later-year participation under control."
"17","peak_r20_no_peaktrail_r10","17","r20_opportunity_sweep","17","phase0_fast_model1","peak_r20_no_peaktrail_r10.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\017_peak_r20_no_peaktrail_r10_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r10_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r10.set","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail with half-sized base risk and existing month multipliers."
"18","peak_r20_no_peaktrail_r10_norm","18","r20_opportunity_sweep","18","phase0_fast_model1","peak_r20_no_peaktrail_r10_norm.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\018_peak_r20_no_peaktrail_r10_norm_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r10_norm_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r10_norm.set","AD02B5B07A398881DD1D759BA48474131B1FEC1A26070A08CD42BFFA417FC169","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail with normalized month risk to reduce May multiplier concentration."
"19","peak_r20_no_peaktrail_loss_scale","19","r20_opportunity_sweep","19","phase0_fast_model1","peak_r20_no_peaktrail_loss_scale.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\019_peak_r20_no_peaktrail_loss_scale_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_loss_scale_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_loss_scale.set","0A9CFEB067435C4604BF49BDE3BEACF3E6F5D73C405F97AF7605A653BE89859C","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Replace the hard equity peak blocker with loss-based risk scaling after drawdown starts."
"20","peak_r20_no_peaktrail_cap6","20","r20_opportunity_sweep","20","phase0_fast_model1","peak_r20_no_peaktrail_cap6.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\020_peak_r20_no_peaktrail_cap6_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_cap6_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_cap6.set","A24DE5B42D638FE77826202D22BF81B921DAF919C2BB4FE1824C440B17C9B9B2","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail with a hard 6% equity drawdown safety stop."
"21","peak_r20_no_peaktrail_r08_floor05","21","r20_opportunity_sweep","21","phase0_fast_model1","peak_r20_no_peaktrail_r08_floor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\021_peak_r20_no_peaktrail_r08_floor05_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r08_floor05_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r08_floor05.set","7A5E7427DC7794D4657AF7302436EA99F270B2553E9B08647877E4E4278DE1D7","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail with lower risk and an explicit 0.05% reduced-risk floor."
"22","peak_r20_no_peaktrail_r10_floor05","22","r20_opportunity_sweep","22","phase0_fast_model1","peak_r20_no_peaktrail_r10_floor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\022_peak_r20_no_peaktrail_r10_floor05_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r10_floor05_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r10_floor05.set","03CD562257F82564D17F91BB215D0562A4FC8FE79A757409BBF35E678D84A10A","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail at 0.10% base risk with a lower reduced-risk floor."
"23","peak_r20_no_peaktrail_r12_floor05","23","r20_opportunity_sweep","23","phase0_fast_model1","peak_r20_no_peaktrail_r12_floor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\023_peak_r20_no_peaktrail_r12_floor05_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r12_floor05_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r12_floor05.set","B01BDEEA60EC15622A2748284B2FD86A6583A858F52BE0BBC8CCED61239DBFDB","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail at 0.12% base risk with a lower reduced-risk floor."
"24","peak_r20_no_peaktrail_r14_floor05","24","r20_opportunity_sweep","24","phase0_fast_model1","peak_r20_no_peaktrail_r14_floor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\024_peak_r20_no_peaktrail_r14_floor05_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r14_floor05_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r14_floor05.set","625E9AD794FF9F0A9ADFC6123F2A56007EF51C50DFEE809C01B5603E8910412F","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail at 0.14% base risk with a lower reduced-risk floor."
"25","peak_r20_no_peaktrail_r16_floor05","25","r20_opportunity_sweep","25","phase0_fast_model1","peak_r20_no_peaktrail_r16_floor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\025_peak_r20_no_peaktrail_r16_floor05_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_no_peaktrail_r16_floor05_continuous_2024_2026_m1","profiles\peak_r20_no_peaktrail_r16_floor05.set","79E645020E41E1E50E1125A65D779C65B636BA671064BBDBD9692143D437E305","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","No equity peak trail at 0.16% base risk with a lower reduced-risk floor."
"26","peak_r20_all_nodec_r05_norm","26","r20_opportunity_sweep","26","phase0_fast_model1","peak_r20_all_nodec_r05_norm.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\026_peak_r20_all_nodec_r05_norm_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r05_norm_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r05_norm.set","0003C0DFD1823EA9B5D1FA69021C0B958DBCF121644452D7D2DABC0ED2FD8246","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","Trade every month except December at very low normalized risk after diagnostics showed many primary signals blocked by month filter."
"27","peak_r20_all_nodec_r08_norm","27","r20_opportunity_sweep","27","phase0_fast_model1","peak_r20_all_nodec_r08_norm.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\027_peak_r20_all_nodec_r08_norm_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r08_norm_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r08_norm.set","DF06912D19729BE46E72595644D86FC11EEC580CA357AA22DAB07E14E89CFB36","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months at normalized 0.08% risk."
"28","peak_r20_all_nodec_r10_norm","28","r20_opportunity_sweep","28","phase0_fast_model1","peak_r20_all_nodec_r10_norm.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\028_peak_r20_all_nodec_r10_norm_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r10_norm_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r10_norm.set","611B6EF6DE023ED4B247EF857EDC38F147FD475B7C800158F885F91565668727","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months at normalized 0.10% risk."
"29","peak_r20_all_nodec_r12_norm","29","r20_opportunity_sweep","29","phase0_fast_model1","peak_r20_all_nodec_r12_norm.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\029_peak_r20_all_nodec_r12_norm_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r12_norm_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r12_norm.set","21282615F6A4BD0E54CFA3C6C2A3E3C9915D45A310AE15028C1EB537DE55E08B","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months at normalized 0.12% risk."
"30","peak_r20_all_nodec_r08_conf2","30","r20_opportunity_sweep","30","phase0_fast_model1","peak_r20_all_nodec_r08_conf2.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\030_peak_r20_all_nodec_r08_conf2_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r08_conf2_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r08_conf2.set","CA9AAE426B450F5EDDDD15FB8814E623D318EF878B2413412AE92D1F0AE18BF5","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months at 0.08% risk, requiring two confirmations instead of one."
"31","peak_r20_all_nodec_r10_conf2","31","r20_opportunity_sweep","31","phase0_fast_model1","peak_r20_all_nodec_r10_conf2.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\031_peak_r20_all_nodec_r10_conf2_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r10_conf2_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r10_conf2.set","010875D8DD000B3AAED47D2B2F0439B067C89B221885D4BB680EDEA1DEB70537","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months at 0.10% risk, requiring two confirmations instead of one."
"32","peak_r20_all_nodec_r08_weighted","32","r20_opportunity_sweep","32","phase0_fast_model1","peak_r20_all_nodec_r08_weighted.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\032_peak_r20_all_nodec_r08_weighted_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r08_weighted_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r08_weighted.set","CBC58835CE336034BD8660B327CC98134AC8C0B2F2825E7C4716D41BE2846F89","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months with weighted entry score gate at low risk."
"33","peak_r20_all_nodec_r08_diagq","33","r20_opportunity_sweep","33","phase0_fast_model1","peak_r20_all_nodec_r08_diagq.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\033_peak_r20_all_nodec_r08_diagq_continuous_2024_2026_m1.ini","lowatr_r20_opp_peak_r20_all_nodec_r08_diagq_continuous_2024_2026_m1","profiles\peak_r20_all_nodec_r08_diagq.set","F86EAA8F9E981ECF19F6674260C8F8694ECEBABE95C828BBA3E242BD6EB982B9","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if broad window is red, drawdown exceeds 6%, 2025 quality stays weak, or the change only increases profit by accepting fragile risk.","All non-December months while forcing diagnostic fallback signals to show structure and execution quality."
