"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"21","rsg_mo015_combo30","upper_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_combo30_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_older_2015_2018_m1.htm","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","10000","1460","3.9973","614.32","10614.32","6.14","1.54","1.5","1.84","4.45","6.94","46.38","138","5","81.93","0.79","7.4981"
"22","rsg_mo015_combo30","upper_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_combo30_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_repair_2019_m1.htm","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"23","rsg_mo015_combo30","upper_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_combo30_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_repair_2020_m1.htm","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","10000","365","0.9993","59.98","10059.98","0.6","0.6","0.6","1.33","2.14","4.06","46.43","28","3","118.34","1.17","0.5068"
"24","rsg_mo015_combo30","upper_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_combo30_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo30_continuous_2015_2020_m1.htm","A4A161C2B56A4D55202C9AD2BDFFDBE9B9D3CF2D8D5FEC7B11EB3B643817526A","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-10.0","true","30.0","10000","2191","5.9986","663.61","10663.61","6.64","1.11","1.08","1.56","3.25","5.32","44.12","204","7","150.43","1.4","4.4114"
"25","rsg_mo015_combo25_di08","strict_di_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo015_combo25_di08_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_older_2015_2018_m1.htm","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","10000","1460","3.9973","505.25","10505.25","5.05","1.26","1.24","1.63","3.63","5.66","45.32","139","5","96.55","0.94","5.233"
"26","rsg_mo015_combo25_di08","strict_di_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo015_combo25_di08_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_repair_2019_m1.htm","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","10000","364","0.9966","26.32","10026.32","0.26","0.26","0.26","1.13","0.73","1.39","36.11","36","6","96.55","0.95","0.2726"
"27","rsg_mo015_combo25_di08","strict_di_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo015_combo25_di08_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_repair_2020_m1.htm","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","10000","365","0.9993","163.81","10163.81","1.64","1.64","1.64","1.9","5.65","8.69","48.28","29","3","118.34","1.16","1.3842"
"28","rsg_mo015_combo25_di08","strict_di_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rsg_mo015_combo25_di08_continuous_2015_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo015_combo25_di08_continuous_2015_2020_m1.htm","3872B3D99AA18FB172DE8BD1D7480B0B789CCCB5F1DCD2CC8EC2F8417FC4738B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.15","-8.0","true","25.0","10000","2191","5.9986","678.43","10678.43","6.78","1.13","1.1","1.56","3.31","5.23","43.9","205","6","119.13","1.12","5.6949"
"29","rsg_mo020_control","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","rsg_mo020_control_older_2015_2018_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_older_2015_2018_m1.htm","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","10000","1460","3.9973","936.3","10936.3","9.36","2.34","2.26","1.73","6.16","6.82","46.05","152","5","129.15","1.22","7.2497"
"30","rsg_mo020_control","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","rsg_mo020_control_repair_2019_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_repair_2019_m1.htm","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"31","rsg_mo020_control","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","rsg_mo020_control_repair_2020_m1","PARSED","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_control_repair_2020_m1.htm","348F25E195D220A566541EA8A21404055894C4D0C0A672B1C541C52817A3442B","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","false","25.0","10000","365","0.9993","-82.98","9917.02","-0.83","-0.83","-0.83","0.84","-2.37","-2.47","40","35","6","341.46","3.34","-0.243"
