Profile,Eligible,ImplementationProfile,DonchianRiskPercent,ReversionRiskPercent,MomentumRiskPercent,RequestedRiskSumPercent,OpenRiskCapPercent,Score,NoHistoricalLaneLock,AllBroadErasPositive,AddedTradesVsTwoLane,BaseIncrementalNetPercent,Stress05IncrementalNetPercent,Stress10IncrementalNetPercent,ReturnDrawdownDelta,WorstRolling12MonthDelta,BenchmarkNetProfit,BenchmarkProfitFactor,BenchmarkMaxRiskFloorDrawdownPercent,BenchmarkRedYears,BenchmarkStress05NetProfit,BenchmarkStress10NetProfit,NetProfit,EndingBalance,TotalReturnPercent,CagrPercent,ProfitFactor,Trades,SkippedTrades,ScaledTrades,MaxClosedDrawdownPercent,MaxRiskFloorDrawdownPercent,MaxOpenRiskPercent,RecoveryFactor,ReturnDrawdown,RedYears,InactiveYears,WorstYear,WorstYearNet,LargestYearSharePercent,WorstRolling12MonthNet,NegativeRolling12MonthWindows,MaxConsecutiveLosses,LaneLocks,BaseOlder2015_2018Net,BaseMiddle2019_2022Net,BaseRecent2023_2026Net,Stress05NetProfit,Stress05ProfitFactor,Stress05MaxRiskFloorDrawdownPercent,Stress05RedYears,Stress05MaxConsecutiveLosses,Stress05WorstYearNet,Stress05Older2015_2018Net,Stress05Middle2019_2022Net,Stress05Recent2023_2026Net,Stress10NetProfit,Stress10ProfitFactor,Stress10MaxRiskFloorDrawdownPercent,Stress10RedYears,Stress10MaxConsecutiveLosses,Stress10WorstYearNet,Stress10Older2015_2018Net,Stress10Middle2019_2022Net,Stress10Recent2023_2026Net
dd_0.10_rv_0.50_mom_0.20,False,False,0.1,0.5,0.2,0.8,0.75,4.2484,False,True,51,4.455,3.91,3.581,0.4,29.36,2717.96,1.56,4.12,1,2178.37,1436.89,2839.05,12839.05,28.39,2.19,1.547,413,0,1,3.58,4.06,0.75,5.99,7.0,1,0,2019,-105.89,19.09,-317.99,22,8,,1440.02,480.46,918.55,2263.55,1.422,4.52,2,10,-145.6,1229.31,277.44,756.81,1488.34,1.306,5.08,5,10,-183.66,1022.44,84.87,381.03
dd_0.10_rv_0.45_mom_0.15,False,True,0.1,0.45,0.15,0.7,0.75,4.2243,True,True,51,4.858,4.113,3.069,0.42,29.09,2289.01,1.605,3.62,2,1874.49,1473.9,2400.22,12400.22,24.0,1.88,1.582,413,0,0,3.12,3.56,0.7,5.92,6.74,1,0,2019,-87.05,18.56,-259.32,24,8,,1189.69,442.4,768.12,1951.59,1.456,3.94,1,10,-117.73,1025.31,282.37,643.9,1519.14,1.343,4.32,3,10,-147.41,863.33,128.95,526.87
dd_0.10_rv_0.50_mom_0.10,False,False,0.1,0.5,0.1,0.7,0.75,4.0314,True,True,51,4.895,4.008,2.85,0.4,32.1,2276.44,1.734,3.81,3,1941.56,1615.76,2387.87,12387.87,23.88,1.87,1.695,413,0,0,3.27,3.75,0.7,5.63,6.37,2,0,2019,-81.47,22.19,-258.28,22,8,,1112.94,527.49,747.44,2019.38,1.565,4.07,2,10,-103.94,982.31,394.49,642.59,1661.81,1.448,4.4,3,10,-125.82,853.18,265.9,542.72
dd_0.10_rv_0.50_mom_0.15,False,False,0.1,0.5,0.15,0.75,0.75,3.8346,True,True,51,4.528,3.8,2.798,0.39,29.22,2496.02,1.629,3.97,3,2060.12,1639.37,2609.05,12609.05,26.09,2.03,1.606,413,0,0,3.42,3.9,0.75,5.82,6.68,1,0,2019,-93.44,19.14,-283.87,24,8,,1272.78,504.48,831.81,2138.4,1.479,4.3,2,10,-124.48,1102.49,336.63,699.28,1685.24,1.365,4.69,3,10,-154.47,934.75,175.9,574.58
dd_0.05_rv_0.35_mom_0.10,False,False,0.05,0.35,0.1,0.5,0.75,2.6921,True,True,51,3.173,2.673,1.979,0.27,14.26,1674.69,1.645,2.78,3,1396.94,1125.77,1727.83,11727.83,17.28,1.39,1.627,413,0,0,2.4,2.74,0.5,5.73,6.3,1,0,2019,-61.25,20.05,-194.25,22,8,,857.61,342.45,527.77,1434.28,1.499,3.01,2,10,-81.19,747.83,237.26,449.18,1148.05,1.383,3.27,2,10,-100.69,639.16,135.08,373.82
dd_0.05_rv_0.35_mom_0.20,False,False,0.05,0.35,0.2,0.6,0.75,2.5839,False,False,51,2.611,2.327,2.337,0.25,14.57,2094.48,1.488,3.08,1,1622.88,932.82,2149.17,12149.17,21.49,1.7,1.482,413,0,0,2.71,3.05,0.6,6.2,7.04,1,0,2019,-84.6,19.88,-257.97,22,8,,1171.72,292.23,685.21,1660.65,1.359,3.46,2,10,-121.54,983.9,120.98,555.79,954.62,1.228,4.13,4,10,-157.09,799.19,-42.2,197.63
dd_0.05_rv_0.35_mom_0.15,False,False,0.05,0.35,0.15,0.55,0.75,2.5146,True,True,51,2.862,2.487,1.932,0.26,14.41,1883.46,1.549,2.93,1,1510.06,1148.35,1937.37,11937.37,19.37,1.55,1.538,413,0,0,2.56,2.9,0.55,5.98,6.69,1,0,2019,-72.72,19.04,-225.6,21,8,,1013.84,317.93,605.59,1547.61,1.414,3.23,2,10,-101.13,865.51,179.83,502.27,1170.54,1.301,3.67,3,10,-128.67,719.17,46.96,404.43
dd_0.05_rv_0.40_mom_0.10,False,False,0.05,0.4,0.1,0.55,0.75,2.3271,True,True,51,2.885,2.406,1.755,0.23,14.32,1872.52,1.678,3.12,3,1576.23,1287.31,1926.54,11926.54,19.27,1.54,1.658,413,0,0,2.7,3.09,0.55,5.62,6.23,2,0,2019,-67.3,21.38,-217.67,22,8,,938.61,402.05,585.89,1614.15,1.529,3.37,2,10,-87.55,823.43,290.16,500.55,1309.9,1.413,3.65,3,10,-107.34,709.48,181.58,418.84
dd_0.05_rv_0.40_mom_0.20,False,False,0.05,0.4,0.2,0.65,0.75,2.2534,False,True,51,2.418,2.124,2.026,0.23,14.64,2299.45,1.514,3.43,1,1805.75,1091.58,2355.04,12355.04,23.55,1.85,1.507,413,0,0,3.01,3.4,0.65,6.05,6.93,1,0,2019,-90.97,19.42,-282.52,21,8,,1255.08,352.8,747.16,1844.1,1.384,3.82,2,10,-128.29,1061.19,173.61,609.31,1113.69,1.255,4.45,5,10,-164.18,870.6,3.04,240.06
dd_0.05_rv_0.40_mom_0.15,False,False,0.05,0.4,0.15,0.6,0.75,2.1969,True,True,51,2.628,2.255,1.717,0.23,14.48,2084.84,1.578,3.28,1,1691.14,1310.23,2139.64,12139.64,21.4,1.69,1.567,413,0,0,2.86,3.24,0.6,5.85,6.59,1,0,2019,-78.93,18.62,-249.58,22,8,,1096.02,378.02,665.61,1729.28,1.441,3.6,2,10,-107.68,941.95,232.6,554.72,1332.73,1.327,3.98,3,10,-135.54,790.02,92.84,449.87
dd_0.05_rv_0.45_mom_0.10,False,False,0.05,0.45,0.1,0.6,0.75,2.0526,True,True,51,2.649,2.19,1.579,0.21,14.39,2073.09,1.707,3.47,3,1757.76,1450.63,2128.01,12128.01,21.28,1.69,1.687,413,0,0,3.0,3.44,0.6,5.53,6.19,2,0,2019,-73.43,22.47,-241.39,22,8,,1020.01,462.58,645.43,1796.26,1.557,3.73,3,10,-94.0,899.39,343.8,553.08,1473.54,1.44,4.02,3,10,-114.07,780.08,228.67,464.8
dd_0.05_rv_0.45_mom_0.20,False,False,0.05,0.45,0.2,0.7,0.75,1.9784,False,True,51,2.254,1.956,1.79,0.21,14.69,2507.27,1.538,3.78,1,1990.91,1252.1,2563.78,12563.78,25.64,2.0,1.531,413,0,0,3.31,3.74,0.7,5.93,6.85,1,0,2019,-97.43,19.04,-307.4,21,8,,1338.86,414.31,810.6,2029.85,1.406,4.18,2,10,-135.13,1138.83,226.99,664.04,1274.51,1.28,4.77,5,10,-171.34,942.28,48.89,283.36
dd_0.05_rv_0.45_mom_0.15,False,False,0.05,0.45,0.15,0.65,0.75,1.9413,True,True,51,2.434,2.066,1.548,0.21,14.53,2289.01,1.605,3.62,2,1874.49,1473.9,2344.73,12344.73,23.45,1.84,1.593,413,0,0,3.15,3.59,0.65,5.74,6.53,1,0,2019,-85.22,19.08,-273.88,22,8,,1178.59,439.05,727.08,1913.21,1.466,3.95,2,10,-114.32,1018.75,286.12,608.34,1496.71,1.352,4.32,4,10,-142.49,861.16,139.3,496.25
dd_0.05_rv_0.50_mom_0.10,False,False,0.05,0.5,0.1,0.65,0.75,1.8349,True,True,51,2.453,2.013,1.437,0.2,16.38,2276.44,1.734,3.81,3,1941.56,1615.76,2332.27,12332.27,23.32,1.83,1.713,413,0,0,3.3,3.78,0.65,5.46,6.17,2,0,2019,-79.65,23.39,-274.0,22,8,,1101.81,524.04,706.4,1980.64,1.582,4.09,3,10,-100.53,975.68,398.18,606.78,1638.98,1.464,4.39,3,10,-120.88,850.96,276.35,511.68
dd_0.05_rv_0.50_mom_0.15,False,False,0.05,0.5,0.15,0.7,0.75,1.7377,True,True,51,2.269,1.908,1.411,0.2,14.6,2496.02,1.629,3.97,3,2060.12,1639.37,2552.65,12552.65,25.53,1.99,1.617,413,0,0,3.45,3.94,0.7,5.66,6.49,1,0,2019,-91.6,20.19,-298.49,21,8,,1261.6,501.02,790.02,2099.43,1.489,4.31,2,10,-121.04,1095.89,340.4,663.15,1662.5,1.374,4.69,4,10,-149.52,932.58,186.36,543.55
dd_0.05_rv_0.50_mom_0.20,False,False,0.05,0.5,0.2,0.75,0.75,1.7299,False,True,51,2.114,1.815,1.583,0.19,14.75,2717.96,1.56,4.12,1,2178.37,1436.89,2775.41,12775.41,27.75,2.15,1.552,413,0,0,3.61,4.09,0.75,5.82,6.79,1,0,2019,-103.97,18.7,-332.6,20,8,,1423.07,476.79,875.55,2217.91,1.427,4.54,2,10,-142.06,1216.83,281.14,719.95,1459.64,1.312,5.08,5,10,-178.59,1014.25,95.31,350.09
