"QueueRank","Candidate","Window","From","To","Model","Deposit","ExpectedReportName","ProfileSha256","SourceSha256","ContractSha256","QualityEnabled","MinimumBodyPercent","MinimumCloseLocation","MinimumRangeATR","VolumeEnabled","MinimumVolumeRatio","Status","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor"
"12","mbq_price_strict","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_price_strict_continuous_2015_2020_m1","82138F4F7B7425F82AF29D5064F7901DF53DAB499250C6477BA7886F6086B550","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","45.0","0.72","0.65","false","1.00","PARSED","95B57392CD1301B516FE5C859681305C39872B9DBA39A54BD7F3C5856005D258","True","FIRST_VALID_EXPORT","10000","504.54","5.05","0.82","1.4","163","2.71","1.7282"
"13","mbq_center_vol090","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_center_vol090_older_2015_2018_m1","E5ACCCC5944E296612D3F9FC566F9F2CF308AECE747650D64479A3F77CBE122A","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","0.90","PARSED","7C5BE03780174E5A2BD5EC7CF06A900C8E808013C788B083EDC4CE181707A12E","True","FIRST_VALID_EXPORT","10000","628.38","6.28","1.54","2.06","95","1.44","4.1993"
"14","mbq_center_vol090","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_center_vol090_repair_2019_2020_m1","E5ACCCC5944E296612D3F9FC566F9F2CF308AECE747650D64479A3F77CBE122A","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","0.90","PARSED","F0454A82F5BF6659A9474E76312A7BF3D4B4575D3A8E2452874ABC86BEB1B9AF","True","FIRST_VALID_EXPORT","10000","-121.62","-1.22","-0.61","0.77","50","2.65","-0.4533"
"15","mbq_center_vol090","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_center_vol090_continuous_2015_2020_m1","E5ACCCC5944E296612D3F9FC566F9F2CF308AECE747650D64479A3F77CBE122A","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","0.90","PARSED","9805233AA58E2A10563DAB38A0FAB932FE3667C1CA76F8CB6C9C30751246AFF4","True","FIRST_VALID_EXPORT","10000","497.79","4.98","0.81","1.43","146","2.49","1.8629"
"16","mbq_center_vol100","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_center_vol100_older_2015_2018_m1","A40C4BE7FCEAD5AC5B3C4D586C7454434D97377CF9BB6D8CE9C6D1D1B8758DB9","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.00","PARSED","1C11BB78F854E2DA9B9CAC492433D7303BC66532DD6DE921F8BC3DFD1DD00BD2","True","FIRST_VALID_EXPORT","10000","629.48","6.29","1.54","2.13","89","1.36","4.438"
"17","mbq_center_vol100","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_center_vol100_repair_2019_2020_m1","A40C4BE7FCEAD5AC5B3C4D586C7454434D97377CF9BB6D8CE9C6D1D1B8758DB9","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.00","PARSED","4A5F87035F54F249738F3420FA619206D94A949094A2EFE4DD0C12A060D4141A","True","FIRST_VALID_EXPORT","10000","-228.38","-2.28","-1.15","0.54","43","2.9","-0.7822"
"18","mbq_center_vol100","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_center_vol100_continuous_2015_2020_m1","A40C4BE7FCEAD5AC5B3C4D586C7454434D97377CF9BB6D8CE9C6D1D1B8758DB9","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.00","PARSED","21591247113E9543300B8C6A211C43119CDE571E6BFB77A0096570FC29DE73A8","True","FIRST_VALID_EXPORT","10000","381.32","3.81","0.63","1.35","133","2.81","1.2689"
"19","mbq_center_vol110","older_2015_2018","2015.01.01","2018.12.31","1","10000","mbq_center_vol110_older_2015_2018_m1","F1DD35BFA7D450CDEAE870FA39F11A84A90D0781CA127473EE985BD4DE983C2D","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.10","PARSED","09CE23CEF0B713F556DCA989FA3EEDD95A265846921D2B5BCC2F9FDCAAA2C15D","True","FIRST_VALID_EXPORT","10000","433.69","4.34","1.07","1.84","76","1.76","2.376"
"20","mbq_center_vol110","repair_2019_2020","2019.01.01","2020.12.31","1","10000","mbq_center_vol110_repair_2019_2020_m1","F1DD35BFA7D450CDEAE870FA39F11A84A90D0781CA127473EE985BD4DE983C2D","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.10","PARSED","D1AB6FECBAC11E957D0BFF7E5C74572B753B33E24118D2045DB971B31D4ABA77","True","FIRST_VALID_EXPORT","10000","-227.69","-2.28","-1.15","0.51","40","2.78","-0.8159"
"21","mbq_center_vol110","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","mbq_center_vol110_continuous_2015_2020_m1","F1DD35BFA7D450CDEAE870FA39F11A84A90D0781CA127473EE985BD4DE983C2D","7BCFE5C270F0B9B62121164877A88F0D6212C6B7090438400DBA9391D99C6F3A","9D3DE578F0990BF315738B6484C0B3C3E3B480277EEED62FB4AE1B3003350AEB","true","35.0","0.65","0.50","true","1.10","PARSED","225220370ED0666ED34B8C1C9372DF668481C34C2DD75A9C9A19DD979205E3EA","True","FIRST_VALID_EXPORT","10000","194.14","1.94","0.32","1.19","117","2.67","0.6941"
