"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","RVConfirmationEnabled","RVRequirePriorCloseOutside","RVRequireProgress","MOConfirmationEnabled","MORequireProgress","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"11","tbc_mo_hold","4","two_bar_confirmation_portfolio","discovery_model1","tbc_mo_hold.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_tbc_mo_hold_discovery_2019_2020_m1.ini","tbc_mo_hold_discovery_2019_2020_m1","profiles\tbc_mo_hold.set","19F88E1FB6EFC526910495AA7061C7A0EDCDF917F9F6C053D0F44A0FD2F03A05","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_mo_hold_discovery_2019_2020_m1.htm","97C303D9684D877D9D06F59D681F08B1CC4B591C8F8BAC76A36234E7E02AD672","True","FIRST_VALID_EXPORT","10000","730","1.9986","-161.19","9838.81","-1.61","-0.81","-0.81","0.72","-2.83","-3.11","38.6","57","6","303.5","3","262.4","303.5","-0.5311"
"12","tbc_mo_hold","4","two_bar_confirmation_portfolio","discovery_model1","tbc_mo_hold.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_tbc_mo_hold_continuous_2015_2020_m1.ini","tbc_mo_hold_continuous_2015_2020_m1","profiles\tbc_mo_hold.set","19F88E1FB6EFC526910495AA7061C7A0EDCDF917F9F6C053D0F44A0FD2F03A05","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_mo_hold_continuous_2015_2020_m1.htm","14D9406E63EB807F6A89C95939025091EBB988E65695B9B91F47335A10508635","True","FIRST_VALID_EXPORT","10000","2191","5.9986","542.94","10542.94","5.43","0.91","0.89","1.4","2.93","3.58","43.78","185","10","299.91","2.77","258.81","299.91","1.8103"
"13","tbc_mo_progress","5","two_bar_confirmation_portfolio","discovery_model1","tbc_mo_progress.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_tbc_mo_progress_older_2015_2018_m1.ini","tbc_mo_progress_older_2015_2018_m1","profiles\tbc_mo_progress.set","FA6704C52F707AB9768956CF27617B8D94E3A960981D4A36234311F481335E57","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","true","true","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_mo_progress_older_2015_2018_m1.htm","7C38D887617DEA00D84AF8355EAED45B7DC1E547FB9DAED9FEBDEA88364EE970","True","FIRST_VALID_EXPORT","10000","1460","3.9973","439.3","10439.3","4.39","1.1","1.08","1.88","6.19","6.85","46.48","71","6","104.57","1.04","67.04","104.57","4.201"
"14","tbc_mo_progress","5","two_bar_confirmation_portfolio","discovery_model1","tbc_mo_progress.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_tbc_mo_progress_discovery_2019_2020_m1.ini","tbc_mo_progress_discovery_2019_2020_m1","profiles\tbc_mo_progress.set","FA6704C52F707AB9768956CF27617B8D94E3A960981D4A36234311F481335E57","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","true","true","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_mo_progress_discovery_2019_2020_m1.htm","C61D2961C5BA8E63982D71C34AFAB8E8D294E9A0C93EC4F6C57E1961BCB0C960","True","FIRST_VALID_EXPORT","10000","730","1.9986","-220.68","9779.32","-2.21","-1.1","-1.11","0.51","-7.36","-5","26.67","30","8","338.34","3.35","305.16","338.34","-0.6522"
"15","tbc_mo_progress","5","two_bar_confirmation_portfolio","discovery_model1","tbc_mo_progress.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_tbc_mo_progress_continuous_2015_2020_m1.ini","tbc_mo_progress_continuous_2015_2020_m1","profiles\tbc_mo_progress.set","FA6704C52F707AB9768956CF27617B8D94E3A960981D4A36234311F481335E57","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","false","false","true","true","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_mo_progress_continuous_2015_2020_m1.htm","A9FAFA3B73D2BF6FFB51CF5A149CC8145C826578FBB453B41098B35D9CFB49F1","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","2191","5.9986","177.77","10177.77","1.78","0.3","0.29","1.18","1.76","1.84","39.6","101","9","343.74","3.28","324.12","343.74","0.5172"
"16","tbc_both_wick_hold","6","two_bar_confirmation_portfolio","discovery_model1","tbc_both_wick_hold.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_tbc_both_wick_hold_older_2015_2018_m1.ini","tbc_both_wick_hold_older_2015_2018_m1","profiles\tbc_both_wick_hold.set","478B96C9217A1D6C06A278D1DFA7E063F966DA058591FCAD0D2EFCCFA80784D1","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_wick_hold_older_2015_2018_m1.htm","1E99C613CC86DE6A0F2D5B195F387F4A9DA2AF53C58A92D3C874BB6A8B4194D3","True","FIRST_VALID_EXPORT","10000","1460","3.9973","574.99","10574.99","5.75","1.44","1.41","1.74","4.56","5.81","46.03","126","5","146.61","1.46","103.19","146.61","3.9219"
"17","tbc_both_wick_hold","6","two_bar_confirmation_portfolio","discovery_model1","tbc_both_wick_hold.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_tbc_both_wick_hold_discovery_2019_2020_m1.ini","tbc_both_wick_hold_discovery_2019_2020_m1","profiles\tbc_both_wick_hold.set","478B96C9217A1D6C06A278D1DFA7E063F966DA058591FCAD0D2EFCCFA80784D1","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_wick_hold_discovery_2019_2020_m1.htm","A97B417EA0703F6C9AD84159126ECACEB9C7BF056E513C336F9AA4E7AFA5C6AC","True","FIRST_VALID_EXPORT","10000","730","1.9986","-118.17","9881.83","-1.18","-0.59","-0.59","0.77","-2.11","-2.35","39.29","56","6","260.48","2.58","219.38","260.48","-0.4537"
"18","tbc_both_wick_hold","6","two_bar_confirmation_portfolio","discovery_model1","tbc_both_wick_hold.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_tbc_both_wick_hold_continuous_2015_2020_m1.ini","tbc_both_wick_hold_continuous_2015_2020_m1","profiles\tbc_both_wick_hold.set","478B96C9217A1D6C06A278D1DFA7E063F966DA058591FCAD0D2EFCCFA80784D1","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_wick_hold_continuous_2015_2020_m1.htm","AE03E10FAACF13527E5E45CC0737C921B42560411048D9B3B0E6555C729CAB95","True","FIRST_VALID_EXPORT","10000","2191","5.9986","485.96","10485.96","4.86","0.81","0.79","1.36","2.66","3.22","43.72","183","10","256.89","2.4","215.79","256.89","1.8917"
"19","tbc_both_close_hold","7","two_bar_confirmation_portfolio","discovery_model1","tbc_both_close_hold.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_tbc_both_close_hold_older_2015_2018_m1.ini","tbc_both_close_hold_older_2015_2018_m1","profiles\tbc_both_close_hold.set","B551889B3534B71A1030E87CBF1B5EA4891B516010C1DD8D8FEF97AFA83522D6","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","true","true","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_close_hold_older_2015_2018_m1.htm","70E6C66CBE97E6F87450D17C1D822350055CE7FF28A203A7DEC59B67048382AE","True","FIRST_VALID_EXPORT","10000","1460","3.9973","500.23","10500.23","5","1.25","1.23","1.75","4.24","5.58","46.61","118","5","124.59","1.24","100.73","124.59","4.015"
"20","tbc_both_close_hold","7","two_bar_confirmation_portfolio","discovery_model1","tbc_both_close_hold.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_tbc_both_close_hold_discovery_2019_2020_m1.ini","tbc_both_close_hold_discovery_2019_2020_m1","profiles\tbc_both_close_hold.set","B551889B3534B71A1030E87CBF1B5EA4891B516010C1DD8D8FEF97AFA83522D6","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","true","true","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_close_hold_discovery_2019_2020_m1.htm","C93CE811B44AEA70E512DD7BAB9A0B90DA48DFD56251564D3AC2C6A8C459AF39","True","FIRST_VALID_EXPORT","10000","730","1.9986","-75.57","9924.43","-0.76","-0.38","-0.38","0.84","-1.37","-1.54","40","55","6","217.88","2.15","176.78","217.88","-0.3468"
"21","tbc_both_close_hold","7","two_bar_confirmation_portfolio","discovery_model1","tbc_both_close_hold.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_tbc_both_close_hold_continuous_2015_2020_m1.ini","tbc_both_close_hold_continuous_2015_2020_m1","profiles\tbc_both_close_hold.set","B551889B3534B71A1030E87CBF1B5EA4891B516010C1DD8D8FEF97AFA83522D6","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","true","true","true","false","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_close_hold_continuous_2015_2020_m1.htm","5B854EA9F8040CA33DC342BB83EE9A6C66B6B8037C46C9042FD66867FA246436","True","FIRST_VALID_EXPORT","10000","2191","5.9986","453.8","10453.8","4.54","0.76","0.74","1.38","2.61","3.21","44.25","174","9","214.29","2.01","173.19","214.29","2.1177"
"22","tbc_both_wick_progress","8","two_bar_confirmation_portfolio","discovery_model1","tbc_both_wick_progress.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_tbc_both_wick_progress_older_2015_2018_m1.ini","tbc_both_wick_progress_older_2015_2018_m1","profiles\tbc_both_wick_progress.set","2FDE2B744DB6945400A8D9376E2CAB57756E7B481699C12E561DF39177EF5D0A","A5462DA021E57A8FB42BA6344D89BE366204130DE1A47957F5EF988861DAD133","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","false","true","true","true","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent confirmation profile must pass.","PARSED","outputs\two_bar_confirmation_portfolio_discovery_model1_package\reports_here\tbc_both_wick_progress_older_2015_2018_m1.htm","41BA39082DB3CF4D94C112434E97B84D6A7E2720B33D7FFBC3C135E7B234CB61","True","FIRST_VALID_EXPORT","10000","1460","3.9973","338.9","10338.9","3.39","0.85","0.84","1.66","4.84","5.26","45.71","70","6","111.27","1.11","67.9","111.27","3.0457"
