"QueueRank","Candidate","Role","Window","From","To","Model","PartialRunnerEnabled","ClosePercent","TriggerR","TargetR","StopLockR","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","mopr_close70","close_neighbor_high","middle_2019_2020","2019.01.01","2020.12.31","1","true","70","2","4","1.25","C378766CB2E75B7CC4C7A08AADB96A3A6C4AE8A6A593F01CEAEF80993AC84E71","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","431.72","4.32","2.14","2.09","87","55.17","0.95","4.4572","4.5474","6.07","6","FF07BF7404DFDCEDB814885ECCB195FB60469CFEDA47793B850B0DCFA70AEB28"
"12","mopr_close70","close_neighbor_high","continuous_2015_2020","2015.01.01","2020.12.31","1","true","70","2","4","1.25","C378766CB2E75B7CC4C7A08AADB96A3A6C4AE8A6A593F01CEAEF80993AC84E71","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1418.87","14.19","2.24","1.91","313","55.27","1.08","11.7866","13.1389","5.05","6","AE6B8E18605129E4A407CA0BD2C5B0D358F13E84FABD52584051841899B6ED40"
"13","mopr_target300","target_neighbor_low","older_2015_2018","2015.01.01","2018.12.31","1","true","60","2","3","1.25","66D7825D4F52F03F5A801BA1C0828695FC56F005D5FAC4394FE4D6D1E9F40987","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","953.81","9.54","2.31","1.89","223","55.16","1.11","8.1376","8.5946","4.9","6","F4314337E1EBDC270A5D2C3DCDB127A4D5C31277A55AA0C7BF25A8A8C4219454"
"14","mopr_target300","target_neighbor_low","middle_2019_2020","2019.01.01","2020.12.31","1","true","60","2","3","1.25","66D7825D4F52F03F5A801BA1C0828695FC56F005D5FAC4394FE4D6D1E9F40987","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","397.81","3.98","1.97","2.01","87","55.17","0.99","3.9532","4.0202","5.82","6","C8208A1C0B7D680F7C1D1D245304709A4BA31E5BDDAAEAB0A1C3BCED0BE17F21"
"15","mopr_target300","target_neighbor_low","continuous_2015_2020","2015.01.01","2020.12.31","1","true","60","2","3","1.25","66D7825D4F52F03F5A801BA1C0828695FC56F005D5FAC4394FE4D6D1E9F40987","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1321.28","13.21","2.09","1.85","314","55.1","1.12","10.6426","11.7946","4.79","6","5C189595CAA4C52D9CBD75D97E420F98EC35831EDDFB9B4A0830839ABA4349B2"
"16","mopr_target500","target_neighbor_high","older_2015_2018","2015.01.01","2018.12.31","1","true","60","2","5","1.25","2C59F26FABAE06BF2C1B77ADBD641C3ED4FBFB7B0DBC46D1FB1D2EE029277F30","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1020.02","10.2","2.46","1.96","222","55.41","1.11","8.7025","9.1892","5.08","6","C8D31B6E08970142510D1C508120A0FEDACB8B7D095F7FF96932C0231DE31C27"
"17","mopr_target500","target_neighbor_high","middle_2019_2020","2019.01.01","2020.12.31","1","true","60","2","5","1.25","2C59F26FABAE06BF2C1B77ADBD641C3ED4FBFB7B0DBC46D1FB1D2EE029277F30","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","457.17","4.57","2.26","2.15","88","55.68","0.99","4.5431","4.6162","6.25","6","83B8D37C27299727748D67A03451DB5A38A464B1C23C675D661BE5FA1E24209C"
"18","mopr_target500","target_neighbor_high","continuous_2015_2020","2015.01.01","2020.12.31","1","true","60","2","5","1.25","2C59F26FABAE06BF2C1B77ADBD641C3ED4FBFB7B0DBC46D1FB1D2EE029277F30","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1426.64","14.27","2.25","1.91","314","55.41","1.11","11.4913","12.8559","4.97","6","896824FE95EB8DA0F59D54C716D960DF605C901B0442645BE6536B0FE676E341"
"19","mopr_lock100","lock_neighbor_low","older_2015_2018","2015.01.01","2018.12.31","1","true","60","2","4","1","0C7529E48E08F129B117DC5851B405DE6D9334281D8D5B7FD8543F123004CC05","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","960.29","9.6","2.32","1.9","222","55.41","1.11","8.1929","8.6486","4.82","6","A9474296E94976A76B8B8E5FDB47E53C468C65F4A9BE2D8FDAF2A985F6D29B3F"
"20","mopr_lock100","lock_neighbor_low","middle_2019_2020","2019.01.01","2020.12.31","1","true","60","2","4","1","0C7529E48E08F129B117DC5851B405DE6D9334281D8D5B7FD8543F123004CC05","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","434.59","4.35","2.15","2.1","87","55.17","1.01","4.2169","4.3069","5.95","6","F4D69665A4EDF9B0ABEFE5863DEF93D10474D9AB5C71FB8FA0D2B45908321035"
"21","mopr_lock100","lock_neighbor_low","continuous_2015_2020","2015.01.01","2020.12.31","1","true","60","2","4","1","0C7529E48E08F129B117DC5851B405DE6D9334281D8D5B7FD8543F123004CC05","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1362.76","13.63","2.15","1.89","313","55.27","1.14","10.766","11.9561","4.78","6","9A0F021343D06C6076DD04E37A3DBB6E773E2117B6996DCD7F60556298301725"
"22","mopr_lock150","lock_neighbor_high","older_2015_2018","2015.01.01","2018.12.31","1","true","60","2","4","1.5","FDCA9D55FEE304DD14D10D30E8A16C5092A960DAFA272F4DAADA639DE4DCB510","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1013.2","10.13","2.44","1.95","222","55.41","1.11","8.6443","9.1261","5.17","6","D2B676C7F546383AC38DBEB28D43EABA055F3F6D5F237D743B0911FC910E590E"
"23","mopr_lock150","lock_neighbor_high","middle_2019_2020","2019.01.01","2020.12.31","1","true","60","2","4","1.5","FDCA9D55FEE304DD14D10D30E8A16C5092A960DAFA272F4DAADA639DE4DCB510","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","431.98","4.32","2.14","2.09","87","55.17","0.97","4.3869","4.4536","6.11","6","68DDABB3DAC15A90B4991E5E2146302CE799FAC88FC706DDD975202E4945347A"
"24","mopr_lock150","lock_neighbor_high","continuous_2015_2020","2015.01.01","2020.12.31","1","true","60","2","4","1.5","FDCA9D55FEE304DD14D10D30E8A16C5092A960DAFA272F4DAADA639DE4DCB510","1092D9AD0036C6C4E7A0F61CB7318B31CDCE75F9311762388CF256AFFB6BFEA9","8B72A5B1457BCBF79118381AA5F2F8B1D709DA703611BE60778C4DB518DCD130","PARSED","1410.33","14.1","2.22","1.91","313","55.27","1.09","11.561","12.9358","5.05","6","C50B34B7D12D102CC4201678BDD180DB14048804403D6267A7E5D3A5C19943F7"
