"QueueRank","Candidate","Role","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","AnnualContractSha256","NetProfit","TotalReturnPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","sslc_control","exact_control","year_2025","2025.01.01","2025.12.31","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","17.78","0.18","2.91","3","66.67","0.12","1.4235","2.4","1","27885648BF4C4B5C7DCD63D91694276E6F907440F0A69BA43EAE4C82E331CEEB"
"12","sslc_control","exact_control","year_2026_ytd","2026.01.01","2026.07.18","4","AD0289B7A96150C930B54A2C44845C11DF05D42FD9A8D8DE4FA2703C308697F6","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","209.18","2.09","0","2","100","1.19","1.7253","0.31","0","6B3CCE406FA421C9B66D94E592E3497CAC83316B40B052AC46696043305E477F"
"13","sslc_center015","frozen_center","year_2015","2015.01.01","2015.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","195.25","1.95","2.14","26","53.85","0.86","2.2236","17.74","2","904F1981B4DE2E6A0FC710DD463C2EF94B9893DC29C066923793211612AC073F"
"14","sslc_center015","frozen_center","year_2016","2016.01.01","2016.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","300.18","3","2.4","42","45.24","0.74","4.0024","22.38","5","B5C12C485A72235338F83D04B77056C08E10CF5EE2C322A8C9EF567F5B53D6F1"
"15","sslc_center015","frozen_center","year_2017","2017.01.01","2017.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","99.65","1","1.25","55","38.18","1.18","0.8437","10.29","6","676DCAB2AB43F55D7422F50D19346D6AE1D59C62B80C2192A23CA6D6A751DD6C"
"16","sslc_center015","frozen_center","year_2018","2018.01.01","2018.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","333.73","3.34","2.14","63","47.62","0.55","5.8621","24.5","5","31D410706F1F6F9F54120F945E3F41D5EA4935E9C0BABB582B522613B45EC32D"
"17","sslc_center015","frozen_center","year_2019","2019.01.01","2019.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","13.01","0.13","1.07","36","38.89","1.08","0.1195","0.51","6","5FAB938CC0D188543E85545AE5D2D7ACA40E4A22C4E4F358B0B8C08054001DB8"
"18","sslc_center015","frozen_center","year_2020","2020.01.01","2020.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","235.07","2.35","2.17","29","48.28","0.71","3.2495","8.19","3","99DE3DD3C0289129F7753F1B9D23BB06AB96C9B68A4D0795083024D3DDD3025A"
"19","sslc_center015","frozen_center","year_2021","2021.01.01","2021.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","392.11","3.92","2.7","30","30","1.16","3.387","43.76","8","1E79B0E776E11DC34C27E84971CCBA516A8C2760742CC7ED29792B74CC79BF7F"
"20","sslc_center015","frozen_center","year_2022","2022.01.01","2022.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","49.32","0.49","1.22","36","41.67","0.96","0.5158","7.82","4","33CF39AE6B9C6AFE79F65CA600433327B0C7F6AD24C5314940D17AC7196C1B61"
"21","sslc_center015","frozen_center","year_2023","2023.01.01","2023.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","181.54","1.82","1.75","41","46.34","1.24","1.443","16.47","6","E45E5A2CAAEF31B975AAF379DE896449171602A76F7554C75C034DCB7718148F"
"22","sslc_center015","frozen_center","year_2024","2024.01.01","2024.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","233.81","2.34","2.44","29","48.28","1.08","2.1547","21.39","4","9132E9AA42EE764ACCEE383CB837C7BA924E0A44C400360FCD460BF36D4AA04C"
"23","sslc_center015","frozen_center","year_2025","2025.01.01","2025.12.31","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","17.78","0.18","2.91","3","66.67","0.12","1.4235","2.4","1","38BD3BF30466A840CA7EB726D593074D384FFDF8E02494A82AC7D805319567A2"
"24","sslc_center015","frozen_center","year_2026_ytd","2026.01.01","2026.07.18","4","A0099C6701311BAE105F29909166358D4D30050593318F340AD8F3B932F65F04","C28534F328F3775AC825E5A8C53B1A66BD2745662B7AAC7B4CACBB76B31D1F91","A1640E4D0E6892F4E826CA8FC5524C7F3BDB9FABE2121F508F94FD2D7AB7BE7A","18493F39EBA1AA84B8E6664D7444D60FB81506D3428DD848570288770C3E79BF","209.18","2.09","0","2","100","1.19","1.7253","0.31","0","D4131F6590DC8FC35DE8291E3F5C5C6C082EE4B340F109722AC1D45DC41B67C7"
