"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","StopRule","Purpose"
"11","r10_loss_scale_25","11","peak_r20_drawdown_sweep","11","phase0_fast_model1","r10_loss_scale_25.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\011_r10_loss_scale_25_continuous_2024_2026_m1.ini","peak_r20_dd_r10_loss_scale_25_continuous_2024_2026_m1","profiles\r10_loss_scale_25.set","6CB44A97E90FA9E2528F7986D893A8A9D742C2BD00A072D26782CC9D677F794E","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Enable daily, weekly, and monthly loss scaling with earlier throttling."
"12","r10_loss_scale_15","12","peak_r20_drawdown_sweep","12","phase0_fast_model1","r10_loss_scale_15.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\012_r10_loss_scale_15_continuous_2024_2026_m1.ini","peak_r20_dd_r10_loss_scale_15_continuous_2024_2026_m1","profiles\r10_loss_scale_15.set","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","More aggressive loss scaling to determine whether drawdown can be cut without stopping trade flow."
"13","r10_floor10_loss25","13","peak_r20_drawdown_sweep","13","phase0_fast_model1","r10_floor10_loss25.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\013_r10_floor10_loss25_continuous_2024_2026_m1.ini","peak_r20_dd_r10_floor10_loss25_continuous_2024_2026_m1","profiles\r10_floor10_loss25.set","285C5B36E1EEC94684A24198C1B5020B48F05E5041D6E8D4060BF514F26BA4C6","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Risk-floor correction plus moderate loss scaling."
"14","r10_floor05_loss25","14","peak_r20_drawdown_sweep","14","phase0_fast_model1","r10_floor05_loss25.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\014_r10_floor05_loss25_continuous_2024_2026_m1.ini","peak_r20_dd_r10_floor05_loss25_continuous_2024_2026_m1","profiles\r10_floor05_loss25.set","6A51197A50298361A75D32029EDF13DBFC07280B36D1A009C30A78153F4D1CDC","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Lower risk floor plus moderate loss scaling, checking whether this becomes too defensive."
"15","r10_floor10_eqgb","15","peak_r20_drawdown_sweep","15","phase0_fast_model1","r10_floor10_eqgb.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\015_r10_floor10_eqgb_continuous_2024_2026_m1.ini","peak_r20_dd_r10_floor10_eqgb_continuous_2024_2026_m1","profiles\r10_floor10_eqgb.set","D28666D2B79E4C4866DFEFAD7279FDAFCD9757907A67510BF41074BB436D23B1","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Risk-floor correction plus equity-peak soft gate."
"16","r10_floor05_eqgb","16","peak_r20_drawdown_sweep","16","phase0_fast_model1","r10_floor05_eqgb.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\016_r10_floor05_eqgb_continuous_2024_2026_m1.ini","peak_r20_dd_r10_floor05_eqgb_continuous_2024_2026_m1","profiles\r10_floor05_eqgb.set","BF01A97CE195D386A9B41C2624CA51E8B05DE32F4876AD509BB3B138764402B5","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Lower risk floor plus equity-peak soft gate."
"17","r10_may260_floor10","17","peak_r20_drawdown_sweep","17","phase0_fast_model1","r10_may260_floor10.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\017_r10_may260_floor10_continuous_2024_2026_m1.ini","peak_r20_dd_r10_may260_floor10_continuous_2024_2026_m1","profiles\r10_may260_floor10.set","FB4D27ED03215FC92CF7D9803950DD84A784A95CE8186871431B2D40F7D8BEA1","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Trim May risk slightly while fixing the hidden risk floor."
"18","r10_may240_floor10","18","peak_r20_drawdown_sweep","18","phase0_fast_model1","r10_may240_floor10.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\018_r10_may240_floor10_continuous_2024_2026_m1.ini","peak_r20_dd_r10_may240_floor10_continuous_2024_2026_m1","profiles\r10_may240_floor10.set","F972AB509A0D0AFC1E349A8E4CA2CCC65A9804B19EBC367CE518E4D07647EC9B","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Trim May risk more noticeably while fixing the hidden risk floor."
"19","r10_aug25_floor05","19","peak_r20_drawdown_sweep","19","phase0_fast_model1","r10_aug25_floor05.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\019_r10_aug25_floor05_continuous_2024_2026_m1.ini","peak_r20_dd_r10_aug25_floor05_continuous_2024_2026_m1","profiles\r10_aug25_floor05.set","3A930B02F1AB7451D32182E623CF38E6BE15BB0B40FEE4F4B62C541EC38239CC","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Use a corrected low risk floor but restore some August participation."
"20","r10_profit_guard40","20","peak_r20_drawdown_sweep","20","phase0_fast_model1","r10_profit_guard40.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\020_r10_profit_guard40_continuous_2024_2026_m1.ini","peak_r20_dd_r10_profit_guard40_continuous_2024_2026_m1","profiles\r10_profit_guard40.set","F267E820081290D4340CA6988993F82BC36D70741173244570064BF8C1CB76EF","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Harder period profit giveback guard as a drawdown-control benchmark."
"21","r10_eqlock4_50","21","peak_r20_drawdown_sweep","21","phase0_fast_model1","r10_eqlock4_50.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\021_r10_eqlock4_50_continuous_2024_2026_m1.ini","peak_r20_dd_r10_eqlock4_50_continuous_2024_2026_m1","profiles\r10_eqlock4_50.set","B16CC42CD4D48AF8C3EB2481A14AAF07D975221B5F95DE9C60652708DE1BAE6A","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Account-level profit lock benchmark, likely conservative but useful as a safety bound."
"22","r10_dailytrail35","22","peak_r20_drawdown_sweep","22","phase0_fast_model1","r10_dailytrail35.set","continuous_2024_2026","2024.01.01","2026.07.12","1","configs\022_r10_dailytrail35_continuous_2024_2026_m1.ini","peak_r20_dd_r10_dailytrail35_continuous_2024_2026_m1","profiles\r10_dailytrail35.set","31B341EE5BE9486838C7E4CDB8AD59A2F483D98040D127740CCE86042398B391","16330F4C03B53EC4B9CF6E50A0D00038315CA5904529AEF3F284223B173CF3B9","Reject if broad window is red, drawdown remains above the R10 frontier without better profit/recovery, or profit is gained by fragile hard stopping.","Daily equity trail guard benchmark for intraday giveback control."
