"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","ProxyLookbackBars","MinimumProxyComponentATR","MinimumConsensusATR","MaximumGoldExtensionATR","BreakoutLookbackBars","BreakoutBufferATR","TakeProfitR","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"16","usdcll_component05","4","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_component05.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_usdcll_component05_discovery_2019_2020_m1.ini","usdcll_component05_discovery_2019_2020_m1","profiles\usdcll_component05.set","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.05","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component05_discovery_2019_2020_m1.htm","2D17B563DFC7FCD46E552078F6A96BC45E733E493C500D0055AB68512B548C5A","10000","730","1.9986","41.18","10041.18","0.41","0.21","0.21","1.11","0.46","2.67","49.44","89","5","117.05","1.17","109.94","117.05","0.3518","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"18","usdcll_component05","4","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_component05.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_usdcll_component05_continuous_2015_2020_m1.ini","usdcll_component05_continuous_2015_2020_m1","profiles\usdcll_component05.set","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.05","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component05_continuous_2015_2020_m1.htm","10116A0339E4BAB2284E2FD3465598A9B926823B9AE06357073E680BF300883C","10000","2191","5.9986","-272.5","9727.5","-2.72","-0.45","-0.46","0.78","-1.06","-5","41.41","256","11","403.17","4.02","390.6","403.17","-0.6759","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"19","usdcll_component15","5","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_component15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_usdcll_component15_older_2015_2018_m1.ini","usdcll_component15_older_2015_2018_m1","profiles\usdcll_component15.set","AF6F4F48E43B9F90C92E782EC4D634970032435005E12007C0A13B6325F2F479","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.15","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component15_older_2015_2018_m1.htm","ABDD005F729C6AAB029BFB707B4D85713019E51A4C48ECA0BC5F8EEB6DCE9900","10000","1460","3.9973","-282.11","9717.89","-2.82","-0.71","-0.71","0.66","-1.88","-5","37.33","150","11","341.66","3.41","333.22","341.66","-0.8257","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"21","usdcll_component15","5","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_component15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_usdcll_component15_discovery_2019_2020_m1.ini","usdcll_component15_discovery_2019_2020_m1","profiles\usdcll_component15.set","AF6F4F48E43B9F90C92E782EC4D634970032435005E12007C0A13B6325F2F479","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.15","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component15_discovery_2019_2020_m1.htm","333748FAE273D7535097A9284FD9734DDE6934BFF394B539D4F99EDE5D53CAEE","10000","730","1.9986","70.31","10070.31","0.7","0.35","0.35","1.21","0.87","5.04","50.62","81","4","111.65","1.11","105.42","111.65","0.6297","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"22","usdcll_component15","5","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_component15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_usdcll_component15_continuous_2015_2020_m1.ini","usdcll_component15_continuous_2015_2020_m1","profiles\usdcll_component15.set","AF6F4F48E43B9F90C92E782EC4D634970032435005E12007C0A13B6325F2F479","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.15","0.25","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_component15_continuous_2015_2020_m1.htm","5F83EE2C445F1B612D1BB71C887998399913E0C8F578ABFBFA8486BF08032D17","10000","2191","5.9986","-204.44","9795.56","-2.04","-0.34","-0.34","0.82","-0.89","-4.92","41.99","231","11","343.18","3.43","333.22","343.18","-0.5957","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"24","usdcll_consensus15","6","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_consensus15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_usdcll_consensus15_older_2015_2018_m1.ini","usdcll_consensus15_older_2015_2018_m1","profiles\usdcll_consensus15.set","9280957969B3E981119894D7BE818B7863E4B3BFE0EE2A5E91E8E7531F8C8AB8","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.15","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_consensus15_older_2015_2018_m1.htm","13DC13E2BE80F04A93E98799F083B9E9DEF4097151FF375428B7F97DFF809E3C","10000","1460","3.9973","-326.6","9673.4","-3.27","-0.82","-0.83","0.63","-2","-5","36.81","163","11","386.15","3.85","377.71","386.15","-0.8458","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"25","usdcll_consensus15","6","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_consensus15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_usdcll_consensus15_discovery_2019_2020_m1.ini","usdcll_consensus15_discovery_2019_2020_m1","profiles\usdcll_consensus15.set","9280957969B3E981119894D7BE818B7863E4B3BFE0EE2A5E91E8E7531F8C8AB8","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.15","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_consensus15_discovery_2019_2020_m1.htm","87FBE68434FED65749C478B0BB8E10FC1C0DE0D501289089F9C2B2C20523D185","10000","730","1.9986","14.02","10014.02","0.14","0.07","0.07","1.04","0.16","0.95","46.59","88","6","134.24","1.34","128.01","134.24","0.1044","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"27","usdcll_consensus15","6","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_consensus15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_usdcll_consensus15_continuous_2015_2020_m1.ini","usdcll_consensus15_continuous_2015_2020_m1","profiles\usdcll_consensus15.set","9280957969B3E981119894D7BE818B7863E4B3BFE0EE2A5E91E8E7531F8C8AB8","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.15","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_consensus15_continuous_2015_2020_m1.htm","52CB12D5EFE6C7AE3D1DCB4D6E1927D2C734B6DB808BEE1D1DF86669DA1CDFC2","10000","2191","5.9986","-312.52","9687.48","-3.13","-0.52","-0.53","0.75","-1.25","-5","40.24","251","11","424.68","4.24","412.11","424.68","-0.7359","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"28","usdcll_consensus35","7","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_consensus35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_usdcll_consensus35_older_2015_2018_m1.ini","usdcll_consensus35_older_2015_2018_m1","profiles\usdcll_consensus35.set","C946801442A781E09D4822758B85E2D695338526EF2B4A29AFC8DF90EA73FA35","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.35","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_consensus35_older_2015_2018_m1.htm","357F2EA13839798EEA30C112C8D93B546815B857396EF12D73A97560A1D216D9","10000","1460","3.9973","-256.57","9743.43","-2.57","-0.64","-0.65","0.68","-1.69","-5","38.82","152","10","316.12","3.15","307.68","316.12","-0.8116","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"30","usdcll_consensus35","7","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_consensus35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_usdcll_consensus35_discovery_2019_2020_m1.ini","usdcll_consensus35_discovery_2019_2020_m1","profiles\usdcll_consensus35.set","C946801442A781E09D4822758B85E2D695338526EF2B4A29AFC8DF90EA73FA35","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.35","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_consensus35_discovery_2019_2020_m1.htm","67B7B52267FBA4C8F0FCE80660622F45F08AE4B4800F0F1E622289372B267FBD","10000","730","1.9986","54.83","10054.83","0.55","0.27","0.27","1.16","0.67","3.91","48.78","82","4","120.36","1.2","114.13","120.36","0.4556","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"31","usdcll_consensus35","7","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_consensus35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_usdcll_consensus35_continuous_2015_2020_m1.ini","usdcll_consensus35_continuous_2015_2020_m1","profiles\usdcll_consensus35.set","C946801442A781E09D4822758B85E2D695338526EF2B4A29AFC8DF90EA73FA35","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.35","0.35","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_consensus35_continuous_2015_2020_m1.htm","7CAA7A12693B266161612E3D8883AAFEB738BC712AA9857ACC42FEA3F18D0697","10000","2191","5.9986","-194.38","9805.62","-1.94","-0.32","-0.33","0.83","-0.83","-4.68","42.31","234","10","326.56","3.26","313.99","326.56","-0.5952","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"33","usdcll_goldmax20","8","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_goldmax20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_usdcll_goldmax20_older_2015_2018_m1.ini","usdcll_goldmax20_older_2015_2018_m1","profiles\usdcll_goldmax20.set","61A5C32954CD0DEEE18BDBF611FDFB6A60ECF4A0F46ECD08A07616B33FB3F4FA","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.20","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_goldmax20_older_2015_2018_m1.htm","846ED48A34EF0EFCE4FD3082DD3157C0A1007DA821E0F69E5BDB6CABA428BFDD","10000","1460","3.9973","-219.46","9780.54","-2.19","-0.55","-0.55","0.66","-1.89","-5","36.21","116","5","296.55","2.96","283.89","296.55","-0.74","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"34","usdcll_goldmax20","8","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_goldmax20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_usdcll_goldmax20_discovery_2019_2020_m1.ini","usdcll_goldmax20_discovery_2019_2020_m1","profiles\usdcll_goldmax20.set","61A5C32954CD0DEEE18BDBF611FDFB6A60ECF4A0F46ECD08A07616B33FB3F4FA","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.20","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_goldmax20_discovery_2019_2020_m1.htm","0DCEC2812ACBE8839919BD16459E4C6F8DE0883F1DF894C76ED35EBBD3156516","10000","730","1.9986","39.03","10039.03","0.39","0.2","0.2","1.17","0.66","4.06","50.85","59","3","93.39","0.93","83.93","93.39","0.4179","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
