TestWindow,Component,EntryTime,ExitTime,Profit,InitialRiskMoney,RiskR,Decision,BlockedByComponent,BlockedByEntryTime,BlockedByExitTime,SourceEvidence
2015,MTSM_CAP12_ANNUAL,2015-07-31T10:00:00,2015-07-31T15:30:40,-14.61,14.550000,-1.004124,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-09-03T13:00:00,2015-09-03T15:43:42,24.03,12.000000,2.002500,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-10-02T10:00:00,2015-10-02T15:15:28,1.45,15.000000,0.096667,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,DDB045_ANNUAL_RESTART,2015-11-04T01:45:00,2015-12-07T01:05:00,33.19,22.090000,1.502490,ACCEPT,,,,DDB_REPORT_SHA256_2AE8A15FE3051675A1AA46E30776C629C0935C819CC9CEF52B8F0E9D271C9222
2015,RRO_DI12_CAP12_CONTINUOUS,2015-11-05T18:00:00,2015-11-05T22:32:17,-34.00,33.900000,-1.002950,BLOCK_OVERLAP,DDB045_ANNUAL_RESTART,2015-11-04T01:45:00,2015-12-07T01:05:00,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-11-11T17:00:00,2015-11-12T03:00:00,-7.58,12.990000,-0.583526,BLOCK_OVERLAP,DDB045_ANNUAL_RESTART,2015-11-04T01:45:00,2015-12-07T01:05:00,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,RRO_DI12_CAP12_CONTINUOUS,2015-11-20T13:00:00,2015-11-20T19:18:05,96.10,26.100000,3.681992,BLOCK_OVERLAP,DDB045_ANNUAL_RESTART,2015-11-04T01:45:00,2015-12-07T01:05:00,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-11-25T16:00:00,2015-11-26T04:00:00,-5.66,15.090000,-0.375083,BLOCK_OVERLAP,DDB045_ANNUAL_RESTART,2015-11-04T01:45:00,2015-12-07T01:05:00,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-07T16:00:00,2015-12-08T01:05:00,25.57,12.720000,2.010220,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-17T16:00:00,2015-12-18T03:00:00,6.46,9.350000,0.690909,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-23T11:00:00,2015-12-24T01:05:00,0.55,13.410000,0.041014,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-28T18:00:00,2015-12-29T04:00:00,-13.13,14.800000,-0.887162,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,RRO_DI12_CAP12_CONTINUOUS,2016-01-11T03:00:00,2016-01-11T10:53:20,52.80,24.700000,2.137652,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2016,MTSM_CAP12_ANNUAL,2016-01-13T10:00:00,2016-01-13T16:16:37,-14.60,14.600000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-01-25T10:00:00,2016-01-26T08:44:20,29.59,14.970000,1.976620,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-01-26T09:00:00,2016-01-26T14:00:00,-6.78,12.120000,-0.559406,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,RRO_DI12_CAP12_CONTINUOUS,2016-01-28T01:05:00,2016-01-28T16:13:40,87.20,28.900000,3.017301,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2016,MTSM_CAP12_ANNUAL,2016-02-01T10:00:00,2016-02-01T15:31:37,-14.45,14.450000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-02-04T12:00:00,2016-02-05T12:13:05,24.13,12.180000,1.981117,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-02-05T13:00:00,2016-02-05T15:45:04,-12.96,12.960000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-03-03T15:00:00,2016-03-03T17:25:29,23.62,11.660000,2.025729,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-03-08T10:00:00,2016-03-08T17:00:00,-6.95,9.040000,-0.768805,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-04-05T11:00:00,2016-04-05T18:00:00,1.30,11.220000,0.115865,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-04-07T08:00:00,2016-04-08T05:00:00,11.85,13.320000,0.889640,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-04-27T10:00:00,2016-04-27T21:01:17,-10.84,10.780000,-1.005566,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-05-02T13:00:00,2016-05-02T17:16:36,-9.21,9.210000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-05-11T09:00:00,2016-05-12T06:00:00,-1.54,13.880000,-0.110951,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-05-16T06:00:00,2016-05-16T17:31:26,1.28,12.720000,0.100629,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-06-08T10:00:00,2016-06-08T16:01:59,24.36,12.060000,2.019900,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-06-13T14:00:00,2016-06-13T17:10:12,-12.42,12.420000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-06-29T06:00:00,2016-06-29T14:00:00,-3.26,9.440000,-0.345339,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-07-01T17:00:00,2016-07-05T04:42:40,0.57,8.820000,0.064626,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-07-27T16:00:00,2016-07-27T21:49:37,29.37,14.700000,1.997959,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-07-28T11:00:00,2016-07-28T17:46:27,-12.70,12.700000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-08-10T16:00:00,2016-08-10T16:30:40,-12.20,12.180000,-1.001642,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-08-16T09:00:00,2016-08-16T15:31:42,30.12,15.060000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-08-26T13:00:00,2016-08-26T15:55:25,29.20,14.550000,2.006873,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-20T10:00:00,2016-09-20T12:19:28,-13.62,13.620000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-21T15:00:00,2016-09-22T09:00:00,13.98,12.500000,1.118400,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-22T16:00:00,2016-09-23T05:00:00,-5.09,11.380000,-0.447276,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-30T11:00:00,2016-09-30T17:11:20,-10.34,10.300000,-1.003883,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-10-13T06:00:00,2016-10-13T12:00:00,-4.78,13.500000,-0.354074,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-10-18T10:00:00,2016-10-18T16:00:00,-9.30,14.490000,-0.641822,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-11-02T07:00:00,2016-11-02T18:13:29,23.84,11.920000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-12T11:00:00,2016-12-12T15:22:31,-13.04,13.040000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-15T19:00:00,2016-12-16T08:00:00,-7.80,9.320000,-0.836910,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-20T07:00:00,2016-12-20T16:39:16,27.12,13.560000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-22T08:00:00,2016-12-22T09:28:06,-13.96,13.840000,-1.008671,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-01-25T06:00:00,2017-01-25T16:23:41,26.85,13.440000,1.997768,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-01-26T12:00:00,2017-01-27T22:00:00,2.01,13.680000,0.146930,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-02-08T16:00:00,2017-02-08T16:32:17,-24.00,23.400000,-1.025641,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-02-10T10:00:00,2017-02-10T11:47:04,-12.48,12.480000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-02-13T16:00:00,2017-02-14T07:00:00,-7.11,12.040000,-0.590532,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-02-16T15:00:00,2017-02-16T15:36:39,-20.20,20.200000,-1.000000,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-02-17T15:00:00,2017-02-20T03:30:23,69.34,23.000000,3.014783,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-01T15:00:00,2017-03-01T20:00:00,-9.78,10.660000,-0.917448,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-03T08:00:00,2017-03-03T21:00:41,1.17,11.580000,0.101036,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-07T12:00:00,2017-03-07T16:33:36,24.76,12.360000,2.003236,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-08T10:00:00,2017-03-09T10:46:42,29.11,14.760000,1.972222,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-10T07:00:00,2017-03-10T15:33:27,-13.12,13.040000,-1.006135,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-14T09:00:00,2017-03-14T13:28:18,-14.00,14.000000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-03-17T13:00:00,2017-03-17T13:46:25,-17.50,17.300000,-1.011561,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-24T08:00:00,2017-03-24T09:27:39,-13.26,13.200000,-1.004545,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-28T10:00:00,2017-03-28T14:25:15,-13.08,13.080000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-30T16:00:00,2017-03-31T05:32:31,22.57,11.310000,1.995579,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-04-03T22:00:00,2017-04-04T01:05:00,-24.76,19.300000,-1.282902,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-05-02T16:00:00,2017-05-02T20:26:26,-13.08,13.080000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-05-04T09:00:00,2017-05-05T07:37:41,1.11,12.080000,0.091887,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-05-17T13:00:00,2017-05-17T16:57:40,20.68,10.340000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-06-14T06:00:00,2017-06-14T11:00:00,-10.20,14.440000,-0.706371,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-07-21T15:00:00,2017-07-21T20:24:23,25.20,12.550000,2.007968,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-08-01T21:00:00,2017-08-01T22:58:29,36.80,18.400000,2.000000,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-09T11:00:00,2017-08-09T21:34:23,25.29,12.660000,1.997630,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-10T14:00:00,2017-08-11T03:27:29,27.22,13.840000,1.966763,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-21T17:00:00,2017-08-22T05:00:00,-6.35,11.280000,-0.562943,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-28T09:00:00,2017-08-28T17:57:26,27.06,13.560000,1.995575,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-04T10:00:00,2017-09-05T10:46:40,-12.09,11.800000,-1.024576,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-08T06:00:00,2017-09-08T12:00:00,-1.90,10.820000,-0.175601,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-19T17:00:00,2017-09-19T19:34:38,-12.15,12.120000,-1.002475,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-20T09:00:00,2017-09-20T16:00:00,-8.01,13.500000,-0.593333,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-26T07:00:00,2017-09-26T10:17:34,-11.40,11.380000,-1.001757,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-04T09:00:00,2017-10-04T15:03:02,29.28,14.640000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-12T07:00:00,2017-10-12T13:00:00,-3.81,11.520000,-0.330729,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-13T10:00:00,2017-10-13T11:21:27,-13.75,13.750000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-16T11:00:00,2017-10-16T20:18:42,-12.57,12.540000,-1.002392,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-26T09:00:00,2017-10-26T10:30:32,-13.40,13.400000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-11-15T11:00:00,2017-11-15T17:35:42,-12.12,12.120000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-11-17T17:00:00,2017-11-17T20:09:20,26.58,13.200000,2.013636,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-11-30T11:00:00,2017-11-30T20:04:30,26.67,13.320000,2.002252,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-07T08:00:00,2017-12-07T16:15:41,29.56,14.760000,2.002710,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-12T17:00:00,2017-12-12T22:00:00,-11.44,15.120000,-0.756614,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-15T13:00:00,2017-12-15T17:00:00,-8.10,13.410000,-0.604027,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-20T13:00:00,2017-12-20T16:37:27,-14.15,14.150000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-29T11:00:00,2017-12-29T16:20:41,27.48,13.740000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-02T16:00:00,2018-01-03T04:38:30,0.94,13.740000,0.068413,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-11T16:00:00,2018-01-12T11:01:26,27.46,13.920000,1.972701,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-12T12:00:00,2018-01-12T15:30:24,-14.73,14.730000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-15T07:00:00,2018-01-16T10:00:00,-7.49,13.620000,-0.549927,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-19T10:00:00,2018-01-22T01:05:00,-0.47,11.900000,-0.039496,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-24T09:00:00,2018-01-24T14:54:21,23.76,11.820000,2.010152,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-02-13T08:00:00,2018-02-13T16:00:00,-1.26,10.140000,-0.124260,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-02-15T11:00:00,2018-02-15T13:18:37,-14.49,14.460000,-1.002075,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-02-16T07:00:00,2018-02-16T15:00:00,-5.18,13.420000,-0.385991,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-01T11:00:00,2018-03-01T16:00:31,1.41,13.980000,0.100858,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-08T17:00:00,2018-03-09T09:00:00,8.41,14.700000,0.572109,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-21T15:00:00,2018-03-21T20:05:43,1.00,10.080000,0.099206,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-23T09:00:00,2018-03-26T09:00:00,4.29,13.500000,0.317778,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-26T17:00:00,2018-03-27T04:00:00,-3.73,11.800000,-0.316102,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-04-02T10:00:00,2018-04-02T15:26:15,28.86,14.400000,2.004167,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-04-11T10:00:00,2018-04-11T15:35:41,20.24,10.120000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-04-24T22:00:00,2018-04-25T06:57:27,35.44,12.000000,2.953333,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-05-08T18:00:00,2018-05-08T19:10:20,46.40,24.600000,1.886179,ACCEPT,,,,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,MTSM_CAP12_ANNUAL,2018-05-11T12:00:00,2018-05-11T18:00:00,-3.00,15.120000,-0.198413,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-05-23T09:00:00,2018-05-23T12:07:41,-12.99,12.990000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-05-24T16:00:00,2018-05-24T17:02:30,27.68,13.840000,2.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-07T16:00:00,2018-06-07T16:28:31,-13.05,12.960000,-1.006944,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-26T06:00:00,2018-06-26T14:54:40,24.33,12.150000,2.002469,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-06-26T09:00:00,2018-06-26T14:54:40,40.55,17.600000,2.303977,BLOCK_OVERLAP,MTSM_CAP12_ANNUAL,2018-06-26T06:00:00,2018-06-26T14:54:40,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-27T06:00:00,2018-06-27T11:00:00,-8.02,10.800000,-0.742593,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-28T10:00:00,2018-06-28T15:54:30,-14.12,14.080000,-1.002841,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-07-11T15:00:00,2018-07-12T08:00:00,11.29,14.610000,0.772758,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-07-18T09:00:00,2018-07-18T16:00:00,-1.89,14.070000,-0.134328,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-07-24T08:00:00,2018-07-24T10:31:40,-12.00,12.000000,-1.000000,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-02T15:00:00,2018-08-03T10:59:30,27.10,13.620000,1.989721,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-06T14:00:00,2018-08-07T04:00:00,0.73,12.870000,0.056721,ACCEPT,,,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
