TestWindow,Component,EntryTime,Profit,InitialRiskMoney,RiskR,D1AbsMomentumPercent,SourceEvidence
2015,RRO_DI12_CAP12_CONTINUOUS,2015-11-20T13:00:00,96.10,26.1,3.681992,8.917659,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2015,MTSM_CAP12_ANNUAL,2015-11-25T16:00:00,-5.66,15.09,-0.375083,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-07T16:00:00,25.57,12.72,2.01022,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-17T16:00:00,6.46,9.35,0.690909,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-23T11:00:00,0.55,13.41,0.041014,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2015,MTSM_CAP12_ANNUAL,2015-12-28T18:00:00,-13.13,14.8,-0.887162,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,RRO_DI12_CAP12_CONTINUOUS,2016-01-11T03:00:00,52.80,24.7,2.137652,4.457524,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2016,MTSM_CAP12_ANNUAL,2016-01-13T10:00:00,-14.60,14.6,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-01-25T10:00:00,29.59,14.97,1.97662,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-01-26T09:00:00,-6.78,12.12,-0.559406,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,RRO_DI12_CAP12_CONTINUOUS,2016-01-28T01:05:00,87.20,28.9,3.017301,2.672801,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2016,MTSM_CAP12_ANNUAL,2016-02-01T10:00:00,-14.45,14.45,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-02-04T12:00:00,24.13,12.18,1.981117,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-02-05T13:00:00,-12.96,12.96,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-03-03T15:00:00,23.62,11.66,2.025729,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-03-08T10:00:00,-6.95,9.04,-0.768805,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-04-05T11:00:00,1.30,11.22,0.115865,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-04-07T08:00:00,11.85,13.32,0.88964,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-04-27T10:00:00,-10.84,10.78,-1.005566,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-05-02T13:00:00,-9.21,9.21,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-05-11T09:00:00,-1.54,13.88,-0.110951,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-05-16T06:00:00,1.28,12.72,0.100629,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-06-08T10:00:00,24.36,12.06,2.0199,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-06-13T14:00:00,-12.42,12.42,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-06-29T06:00:00,-3.26,9.44,-0.345339,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-07-01T17:00:00,0.57,8.82,0.064626,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-07-27T16:00:00,29.37,14.7,1.997959,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-07-28T11:00:00,-12.70,12.7,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-08-10T16:00:00,-12.20,12.18,-1.001642,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-08-16T09:00:00,30.12,15.06,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-08-26T13:00:00,29.20,14.55,2.006873,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-20T10:00:00,-13.62,13.62,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-21T15:00:00,13.98,12.5,1.1184,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-22T16:00:00,-5.09,11.38,-0.447276,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-09-30T11:00:00,-10.34,10.3,-1.003883,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-10-13T06:00:00,-4.78,13.5,-0.354074,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-10-18T10:00:00,-9.30,14.49,-0.641822,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-11-02T07:00:00,23.84,11.92,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-12T11:00:00,-13.04,13.04,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-15T19:00:00,-7.80,9.32,-0.83691,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-20T07:00:00,27.12,13.56,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2016,MTSM_CAP12_ANNUAL,2016-12-22T08:00:00,-13.96,13.84,-1.008671,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-01-25T06:00:00,26.85,13.44,1.997768,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-01-26T12:00:00,2.01,13.68,0.14693,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-02-08T16:00:00,-24.00,23.4,-1.025641,7.842595,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-02-10T10:00:00,-12.48,12.48,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-02-13T16:00:00,-7.11,12.04,-0.590532,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-02-16T15:00:00,-20.20,20.2,-1,8.062375,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-02-17T15:00:00,69.34,23,3.014783,7.441937,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-01T15:00:00,-9.78,10.66,-0.917448,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-03T08:00:00,1.17,11.58,0.101036,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-07T12:00:00,24.76,12.36,2.003236,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-08T10:00:00,29.11,14.76,1.972222,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-10T07:00:00,-13.12,13.04,-1.006135,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-14T09:00:00,-14.00,14,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-03-17T13:00:00,-17.50,17.3,-1.011561,6.640217,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-24T08:00:00,-13.26,13.2,-1.004545,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-28T10:00:00,-13.08,13.08,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-03-30T16:00:00,22.57,11.31,1.995579,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-04-03T22:00:00,-24.76,19.3,-1.282902,1.536521,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-05-02T16:00:00,-13.08,13.08,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-05-04T09:00:00,1.11,12.08,0.091887,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-05-17T13:00:00,20.68,10.34,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-06-14T06:00:00,-10.20,14.44,-0.706371,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-07-21T15:00:00,25.20,12.55,2.007968,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,RRO_DI12_CAP12_CONTINUOUS,2017-08-01T21:00:00,36.80,18.4,2,4.411305,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-09T11:00:00,25.29,12.66,1.99763,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-10T14:00:00,27.22,13.84,1.966763,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-21T17:00:00,-6.35,11.28,-0.562943,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-08-28T09:00:00,27.06,13.56,1.995575,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-04T10:00:00,-12.09,11.8,-1.024576,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-08T06:00:00,-1.90,10.82,-0.175601,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-19T17:00:00,-12.15,12.12,-1.002475,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-20T09:00:00,-8.01,13.5,-0.593333,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-09-26T07:00:00,-11.40,11.38,-1.001757,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-04T09:00:00,29.28,14.64,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-12T07:00:00,-3.81,11.52,-0.330729,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-13T10:00:00,-13.75,13.75,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-16T11:00:00,-12.57,12.54,-1.002392,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-10-26T09:00:00,-13.40,13.4,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-11-15T11:00:00,-12.12,12.12,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-11-17T17:00:00,26.58,13.2,2.013636,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-11-30T11:00:00,26.67,13.32,2.002252,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-07T08:00:00,29.56,14.76,2.00271,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-12T17:00:00,-11.44,15.12,-0.756614,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-15T13:00:00,-8.10,13.41,-0.604027,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-20T13:00:00,-14.15,14.15,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2017,MTSM_CAP12_ANNUAL,2017-12-29T11:00:00,27.48,13.74,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-02T16:00:00,0.94,13.74,0.068413,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-11T16:00:00,27.46,13.92,1.972701,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-12T12:00:00,-14.73,14.73,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-15T07:00:00,-7.49,13.62,-0.549927,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-19T10:00:00,-0.47,11.9,-0.039496,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-01-24T09:00:00,23.76,11.82,2.010152,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-02-13T08:00:00,-1.26,10.14,-0.12426,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-02-15T11:00:00,-14.49,14.46,-1.002075,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-02-16T07:00:00,-5.18,13.42,-0.385991,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-01T11:00:00,1.41,13.98,0.100858,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-08T17:00:00,8.41,14.7,0.572109,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-21T15:00:00,1.00,10.08,0.099206,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-23T09:00:00,4.29,13.5,0.317778,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-03-26T17:00:00,-3.73,11.8,-0.316102,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-04-02T10:00:00,28.86,14.4,2.004167,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-04-11T10:00:00,20.24,10.12,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-04-24T22:00:00,35.44,12,2.953333,3.783089,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-05-08T18:00:00,46.40,24.6,1.886179,3.055919,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,MTSM_CAP12_ANNUAL,2018-05-11T12:00:00,-3.00,15.12,-0.198413,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-05-23T09:00:00,-12.99,12.99,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-05-24T16:00:00,27.68,13.84,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-07T16:00:00,-13.05,12.96,-1.006944,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-26T06:00:00,24.33,12.15,2.002469,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-06-26T09:00:00,40.55,17.6,2.303977,1.685302,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-27T06:00:00,-8.02,10.8,-0.742593,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-06-28T10:00:00,-14.12,14.08,-1.002841,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-07-11T15:00:00,11.29,14.61,0.772758,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-07-18T09:00:00,-1.89,14.07,-0.134328,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-07-24T08:00:00,-12.00,12,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-02T15:00:00,27.10,13.62,1.989721,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-06T14:00:00,0.73,12.87,0.056721,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-13T11:00:00,21.20,10.6,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-15T12:00:00,27.92,13.96,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-08-23T11:00:00,2.26,12.18,0.18555,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-09-10T08:00:00,-13.88,13.84,-1.00289,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-09-28T10:00:00,-11.85,11.79,-1.005089,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,RRO_DI12_CAP12_CONTINUOUS,2018-09-28T15:00:00,72.20,32.3,2.235294,11.304791,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,MTSM_CAP12_ANNUAL,2018-10-08T11:00:00,28.68,14.32,2.002793,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-10-17T06:00:00,-14.24,14.24,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-10-18T10:00:00,-15.16,15.16,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-10-29T09:00:00,29.71,14.91,1.992622,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-10-31T06:00:00,-0.30,11.2,-0.026786,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-11-08T07:00:00,-14.12,14.08,-1.002841,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-11-09T06:00:00,21.50,10.74,2.001862,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,DDB045_ANNUAL_RESTART,2018-11-12T01:30:00,-18.71,18.32,-1.021288,,DDB_REPORT_SHA256_AF6618359802D06DB5C448B25B706F9CE042C9A57476C4506E7139CC4F55C830
2018,RRO_DI12_CAP12_CONTINUOUS,2018-11-19T19:00:00,-17.00,17,-1,6.367644,RC2_MOMENTUM_RISK_EXTENSION_MODEL4_TRADES
2018,MTSM_CAP12_ANNUAL,2018-11-27T09:00:00,-15.19,15.12,-1.00463,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-11-30T13:00:00,1.20,12.44,0.096463,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-12-14T10:00:00,-5.01,12.09,-0.414392,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2018,MTSM_CAP12_ANNUAL,2018-12-28T09:00:00,-12.24,12.15,-1.007407,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-01-03T09:00:00,-10.30,10.14,-1.015779,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-01-14T11:00:00,-12.03,12.03,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-01-23T11:00:00,-13.92,13.88,-1.002882,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-01-25T10:00:00,28.08,14.04,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-01-29T09:00:00,26.10,13,2.007692,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-01-31T16:00:00,-8.30,11.54,-0.719237,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-02-15T12:00:00,-4.86,13.35,-0.364045,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-03-06T09:00:00,-14.91,14.82,-1.006073,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-03-13T11:00:00,-0.15,13.44,-0.011161,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-03-22T16:00:00,9.84,10.38,0.947977,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-04-08T15:00:01,26.46,13.08,2.022936,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-04-30T13:00:00,-13.64,13.28,-1.027108,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-05-31T10:00:00,26.16,13.08,2,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-06-03T11:00:00,16.67,12.92,1.290248,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-06-14T06:00:00,3.38,11.12,0.303957,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-07-30T13:00:00,-1.49,12.3,-0.121138,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-08-05T16:00:00,-8.20,7.93,-1.034048,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,R20_CURRENT_SOURCE_ANNUAL,2019-08-08T16:30:00,44.30,21.2,2.089623,,R20_REPORT_SHA256_9B5514DB99A910002F8293A442375CF6344FF00DFDE76E1A34348147E93A7BC4
2019,MTSM_CAP12_ANNUAL,2019-08-13T10:00:00,0.84,8.51,0.098707,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-08-28T15:00:00,-7.99,7.99,-1,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-08-29T10:00:00,-9.22,9.17,-1.005453,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-09-20T09:00:00,-12.20,13.18,-0.925645,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-09-23T17:00:00,-3.81,13.24,-0.287764,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-10-14T13:00:00,-4.31,9.4,-0.458511,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
2019,MTSM_CAP12_ANNUAL,2019-10-23T10:00:00,-6.95,11.67,-0.595544,,RDMC_CAP12_MODEL4_ANNUAL_TRADES
