"Feature","Mode","Threshold","DiscoveryQualified","DiscoveryNet","DiscoveryWorstYearNet","DiscoveryMinYearPF","DiscoveryTrades","DiscoveryLiquidityTrades","HoldoutQualified","HoldoutNet","HoldoutWorstYearNet","HoldoutMinYearPF","HoldoutTrades","HoldoutLiquidityTrades","AllYearsQualified","AllYearsNet","AllYearsWorstYearNet","AllYearsMinYearPF","AllTrades","AllLiquidityTrades","NeighborAllYearsPass","OfflineSurvivor"
"TrendSlopeATR","le","-0.5","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"TrendSlopeATR","le","-0.25","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"TrendSlopeATR","le","0","False","4678.89","-418.78","0.23","48","5","False","2263.65","-172.18","0.87","43","5","False","6942.54","-418.78","0.23","91","10","False","False"
"TrendSlopeATR","le","0.25","False","5181.49","-603.73","0.33","61","18","False","793.46","-813.39","0.45","55","17","False","5974.95","-813.39","0.33","116","35","False","False"
"TrendSlopeATR","le","0.5","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"FastTrendGapATR","ge","-2","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"FastTrendGapATR","ge","-1","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"FastTrendGapATR","ge","0","False","4450.29","-752.15","0.42","63","20","False","2899","-447.59","0.73","54","16","False","7349.29","-752.15","0.42","117","36","False","False"
"FastTrendGapATR","ge","1","False","4758.67","-567.2","0.49","57","14","False","3485.09","-128.97","0.86","49","11","False","8243.76","-567.2","0.49","106","25","False","False"
"FastTrendGapATR","ge","2","False","5681.71","-342.83","0.62","51","8","True","4595.09","496.28","2.09","44","6","False","10276.8","-342.83","0.62","95","14","False","False"
"FastTrendGapATR","le","-2","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"FastTrendGapATR","le","-1","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"FastTrendGapATR","le","0","False","5278.38","-122.76","0","44","1","False","2616.74","-294.02","0.6","42","4","False","7895.12","-294.02","0","86","5","False","False"
"FastTrendGapATR","le","1","False","4970","-418.59","0.21","50","7","False","2030.65","-331.22","0.61","47","9","False","7000.65","-418.59","0.21","97","16","False","False"
"FastTrendGapATR","le","2","False","4046.96","-594.03","0.16","56","13","False","920.65","-956.47","0.35","52","14","False","4967.61","-956.47","0.16","108","27","False","False"
"EntryEMAGapATR","ge","-0.5","False","5046.95","-377.5","0.5","57","14","False","2298.77","-451.07","0.65","56","18","False","7345.72","-451.07","0.5","113","32","False","False"
"EntryEMAGapATR","ge","-0.25","False","4579.45","-636.5","0.16","52","9","False","2547.92","-451.07","0.65","55","17","False","7127.37","-636.5","0.16","107","26","False","False"
"EntryEMAGapATR","ge","0","False","4602.01","-636.5","0.16","51","8","False","3070.81","-203.39","0.8","51","13","False","7672.82","-636.5","0.16","102","21","False","False"
"EntryEMAGapATR","ge","0.25","False","4336.35","-636.5","0","49","6","False","3505.02","-146.9","0.78","46","8","False","7841.37","-636.5","0","95","14","False","False"
"EntryEMAGapATR","ge","0.5","False","4446.16","-526.69","0","48","5","False","4042.38","-109.7","0.8","42","4","False","8488.54","-526.69","0","90","9","False","False"
"EntryEMAGapATR","le","-0.5","False","4681.72","-493.92","0","50","7","False","3216.97","-9.12","0.98","40","2","False","7898.69","-493.92","0","90","9","False","False"
"EntryEMAGapATR","le","-0.25","False","5149.22","-234.92","0.7","55","12","False","2967.82","-9.12","0.98","41","3","False","8117.04","-234.92","0.7","96","15","False","False"
"EntryEMAGapATR","le","0","False","5126.66","-234.92","0.7","56","13","False","2444.93","-256.8","0.64","45","7","False","7571.59","-256.8","0.64","101","20","False","False"
"EntryEMAGapATR","le","0.25","False","5392.32","-234.92","0.7","58","15","False","2010.72","-313.29","0.71","50","12","False","7403.04","-313.29","0.7","108","27","False","False"
"EntryEMAGapATR","le","0.5","False","5282.51","-344.73","0.62","59","16","False","1473.36","-460.94","0.7","54","16","False","6755.87","-460.94","0.62","113","32","False","False"
"ATRRatio20","ge","0.6","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"ATRRatio20","ge","0.8","False","5033.71","-751.51","0.34","62","19","False","2114.45","-635.39","0.57","57","19","False","7148.16","-751.51","0.34","119","38","False","False"
"ATRRatio20","ge","1","False","5269.19","-528.59","0.19","55","12","False","1895.24","-455.7","0.71","50","12","False","7164.43","-528.59","0.19","105","24","False","False"
"ATRRatio20","ge","1.2","False","5453.5","-233.83","0.34","47","4","True","3243.21","241.6","1.89","41","3","False","8696.71","-233.83","0.34","88","7","False","False"
"ATRRatio20","ge","1.5","False","4581.04","-233.83","0","44","1","True","3620.93","241.6","1.89","40","2","False","8201.97","-233.83","0","84","3","False","False"
