"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","StopLookbackBars","StopBufferATR","MinimumStopATR","MaximumStopATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule"
"16","ods2_buffer02","4","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer02.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_ods2_buffer02_discovery_2019_2020_m1.ini","ods2_buffer02_discovery_2019_2020_m1","profiles\ods2_buffer02.set","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.02","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"18","ods2_buffer02","4","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer02.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_ods2_buffer02_continuous_2015_2020_m1.ini","ods2_buffer02_continuous_2015_2020_m1","profiles\ods2_buffer02.set","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.02","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"19","ods2_buffer08","5","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer08.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_ods2_buffer08_older_2015_2018_m1.ini","ods2_buffer08_older_2015_2018_m1","profiles\ods2_buffer08.set","4A52D6AB8248BC1D286EA3E9D01B317BE958CE7FEF52951059A3680BF93E47EA","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.08","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"21","ods2_buffer08","5","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer08.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_ods2_buffer08_discovery_2019_2020_m1.ini","ods2_buffer08_discovery_2019_2020_m1","profiles\ods2_buffer08.set","4A52D6AB8248BC1D286EA3E9D01B317BE958CE7FEF52951059A3680BF93E47EA","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.08","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"22","ods2_buffer08","5","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer08.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_ods2_buffer08_continuous_2015_2020_m1.ini","ods2_buffer08_continuous_2015_2020_m1","profiles\ods2_buffer08.set","4A52D6AB8248BC1D286EA3E9D01B317BE958CE7FEF52951059A3680BF93E47EA","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.08","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"24","ods2_minstop03","6","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop03.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_ods2_minstop03_older_2015_2018_m1.ini","ods2_minstop03_older_2015_2018_m1","profiles\ods2_minstop03.set","8B3BBA628D29FC9B172DCAB348A656495349476F70B1A25CF3DD98CBB02FC9D1","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.03","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"25","ods2_minstop03","6","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop03.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_ods2_minstop03_discovery_2019_2020_m1.ini","ods2_minstop03_discovery_2019_2020_m1","profiles\ods2_minstop03.set","8B3BBA628D29FC9B172DCAB348A656495349476F70B1A25CF3DD98CBB02FC9D1","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.03","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"27","ods2_minstop03","6","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop03.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_ods2_minstop03_continuous_2015_2020_m1.ini","ods2_minstop03_continuous_2015_2020_m1","profiles\ods2_minstop03.set","8B3BBA628D29FC9B172DCAB348A656495349476F70B1A25CF3DD98CBB02FC9D1","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.03","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"28","ods2_minstop08","7","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop08.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_ods2_minstop08_older_2015_2018_m1.ini","ods2_minstop08_older_2015_2018_m1","profiles\ods2_minstop08.set","A0401C3BF0A6E5B9F5ADDE3A0C0B8DD329E31D2ECBF522B222BBD84A2EB13C14","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.08","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"30","ods2_minstop08","7","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop08.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_ods2_minstop08_discovery_2019_2020_m1.ini","ods2_minstop08_discovery_2019_2020_m1","profiles\ods2_minstop08.set","A0401C3BF0A6E5B9F5ADDE3A0C0B8DD329E31D2ECBF522B222BBD84A2EB13C14","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.08","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"31","ods2_minstop08","7","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop08.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_ods2_minstop08_continuous_2015_2020_m1.ini","ods2_minstop08_continuous_2015_2020_m1","profiles\ods2_minstop08.set","A0401C3BF0A6E5B9F5ADDE3A0C0B8DD329E31D2ECBF522B222BBD84A2EB13C14","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.08","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"33","ods2_maxstop25","8","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_maxstop25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_ods2_maxstop25_older_2015_2018_m1.ini","ods2_maxstop25_older_2015_2018_m1","profiles\ods2_maxstop25.set","B265FCB32C9D324CCFC95FAA67A7C33DE7CF9A3E74970B16C79220D8C9EA5A91","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"34","ods2_maxstop25","8","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_maxstop25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_ods2_maxstop25_discovery_2019_2020_m1.ini","ods2_maxstop25_discovery_2019_2020_m1","profiles\ods2_maxstop25.set","B265FCB32C9D324CCFC95FAA67A7C33DE7CF9A3E74970B16C79220D8C9EA5A91","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"36","ods2_maxstop25","8","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_maxstop25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_ods2_maxstop25_continuous_2015_2020_m1.ini","ods2_maxstop25_continuous_2015_2020_m1","profiles\ods2_maxstop25.set","B265FCB32C9D324CCFC95FAA67A7C33DE7CF9A3E74970B16C79220D8C9EA5A91","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"37","ods2_maxstop45","9","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_maxstop45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_ods2_maxstop45_older_2015_2018_m1.ini","ods2_maxstop45_older_2015_2018_m1","profiles\ods2_maxstop45.set","1A1B664174F9F2040693DC894207799EB69C5C8F9BBF1EE9E7C5B9C02181C683","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.45","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"39","ods2_maxstop45","9","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_maxstop45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_ods2_maxstop45_discovery_2019_2020_m1.ini","ods2_maxstop45_discovery_2019_2020_m1","profiles\ods2_maxstop45.set","1A1B664174F9F2040693DC894207799EB69C5C8F9BBF1EE9E7C5B9C02181C683","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.45","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"40","ods2_maxstop45","9","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_maxstop45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_ods2_maxstop45_continuous_2015_2020_m1.ini","ods2_maxstop45_continuous_2015_2020_m1","profiles\ods2_maxstop45.set","1A1B664174F9F2040693DC894207799EB69C5C8F9BBF1EE9E7C5B9C02181C683","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.45","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"42","ods2_signal25","10","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_signal25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_ods2_signal25_older_2015_2018_m1.ini","ods2_signal25_older_2015_2018_m1","profiles\ods2_signal25.set","5392F3DF8018819443883E7F197DA8386FD3C736FA80C826765B1AEB128A1B2D","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"43","ods2_signal25","10","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_signal25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_ods2_signal25_discovery_2019_2020_m1.ini","ods2_signal25_discovery_2019_2020_m1","profiles\ods2_signal25.set","5392F3DF8018819443883E7F197DA8386FD3C736FA80C826765B1AEB128A1B2D","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"45","ods2_signal25","10","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_signal25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_ods2_signal25_continuous_2015_2020_m1.ini","ods2_signal25_continuous_2015_2020_m1","profiles\ods2_signal25.set","5392F3DF8018819443883E7F197DA8386FD3C736FA80C826765B1AEB128A1B2D","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"46","ods2_entry8","11","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_entry8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_ods2_entry8_older_2015_2018_m1.ini","ods2_entry8_older_2015_2018_m1","profiles\ods2_entry8.set","4DC44CF570EC6CB0751B2326930C4C4E2B5C23410B344959F9DF0BB3AB43D20A","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"48","ods2_entry8","11","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_entry8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_ods2_entry8_discovery_2019_2020_m1.ini","ods2_entry8_discovery_2019_2020_m1","profiles\ods2_entry8.set","4DC44CF570EC6CB0751B2326930C4C4E2B5C23410B344959F9DF0BB3AB43D20A","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"49","ods2_entry8","11","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_entry8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_ods2_entry8_continuous_2015_2020_m1.ini","ods2_entry8_continuous_2015_2020_m1","profiles\ods2_entry8.set","4DC44CF570EC6CB0751B2326930C4C4E2B5C23410B344959F9DF0BB3AB43D20A","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"51","ods2_tp125","12","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_tp125.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_ods2_tp125_older_2015_2018_m1.ini","ods2_tp125_older_2015_2018_m1","profiles\ods2_tp125.set","8EA443D73F173FC45260CCF0F1837D1065983E42DAD8AB5C17C91EDC0B1A0828","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.25","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"52","ods2_tp125","12","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_tp125.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_ods2_tp125_discovery_2019_2020_m1.ini","ods2_tp125_discovery_2019_2020_m1","profiles\ods2_tp125.set","8EA443D73F173FC45260CCF0F1837D1065983E42DAD8AB5C17C91EDC0B1A0828","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.25","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"54","ods2_tp125","12","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_tp125.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_ods2_tp125_continuous_2015_2020_m1.ini","ods2_tp125_continuous_2015_2020_m1","profiles\ods2_tp125.set","8EA443D73F173FC45260CCF0F1837D1065983E42DAD8AB5C17C91EDC0B1A0828","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.25","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"55","ods2_tp175","13","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_tp175.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_ods2_tp175_older_2015_2018_m1.ini","ods2_tp175_older_2015_2018_m1","profiles\ods2_tp175.set","C12B15AB476597368E94FAFD5B5D6F7801F9194BBDA723FFCEBF1DF419524A12","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"57","ods2_tp175","13","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_tp175.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_ods2_tp175_discovery_2019_2020_m1.ini","ods2_tp175_discovery_2019_2020_m1","profiles\ods2_tp175.set","C12B15AB476597368E94FAFD5B5D6F7801F9194BBDA723FFCEBF1DF419524A12","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","15","4","0.05","0.05","0.35","7","35.0","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
