"QueueRank","Candidate","Window","ExpectedReportName","Status","ConfigSha256","SourceSha256","PortableBinarySha256","ReportSha256","ReportBytes","IdentityCreatedUtc","Evidence"
"15","sip_impulse80","continuous_2015_2020","sip_impulse80_continuous_2015_2020_m1","REPORT_FOUND","087C3583C9C633C3B46FBAE9E144CBE4BF39D4F2C5C368B021048032C1F2A039","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","80466D4D40C9FC8D314CEF4F8A6FAFBF884698FA3D710A58A39EC3A882EEA9FC","48660","2026-07-19T15:08:20.5817101Z","Exact portable report identity sidecar and report hash verified."
"16","sip_eff35","older_2015_2018","sip_eff35_older_2015_2018_m1","REPORT_FOUND","1C1049C46A61EB83E9E21407187F507970CFAAC0C70C7BC661F02D707C599412","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","9785D20AADBEB864B9E4E17EA6C31AAEEC61BE72B4434564466ACA2F91AC6BC2","60354","2026-07-19T15:08:38.1620242Z","Exact portable report identity sidecar and report hash verified."
"17","sip_eff35","discovery_2019_2020","sip_eff35_discovery_2019_2020_m1","REPORT_FOUND","B396B1C5B14F3013777B271760A428CE3FF33A96D2935494A7584B2AF2E2FF99","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","F17C2611651100F088B37347445EFA928310210E27391137FA39E6502EA0D1F2","48618","2026-07-19T15:08:54.3642484Z","Exact portable report identity sidecar and report hash verified."
"18","sip_eff35","continuous_2015_2020","sip_eff35_continuous_2015_2020_m1","REPORT_FOUND","DB9D81CBB8EFDFBC729E7FFAAF17564FF95C3A0AC937434D0E682FEC2FDEF218","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","1B63FBB5FA4D96FF2D29204C3F3DC41BF3D0CD88E0D36D7700468AFD4856C83D","66318","2026-07-19T15:09:12.9532174Z","Exact portable report identity sidecar and report hash verified."
"19","sip_eff55","older_2015_2018","sip_eff55_older_2015_2018_m1","REPORT_FOUND","5E17A60B99553F197147BA498F85ECEB679DBAE22F0FB24DADFE63AABED9CA66","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","78F6E726A186ABE27C17870081B11CA8FF3DB4EF91036949D9EA81600A0823D9","44626","2026-07-19T15:09:29.4554583Z","Exact portable report identity sidecar and report hash verified."
"20","sip_eff55","discovery_2019_2020","sip_eff55_discovery_2019_2020_m1","REPORT_FOUND","AE53200C52DC3F2FE7C63AA9F34668D1D94FC3C756CE80BF237DE0BDFC186EB1","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","6148FC5FCAE64FB5F10C4C9DE3F2907D3D9A2C9E0A89D733B8575BBAAD2544D7","42664","2026-07-19T15:09:45.4260007Z","Exact portable report identity sidecar and report hash verified."
"21","sip_eff55","continuous_2015_2020","sip_eff55_continuous_2015_2020_m1","REPORT_FOUND","5CC848B101806C4391B50CF61BCE1B6F249E725C8ECA6376378295A5BA9846F8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","6D73D45B183710DF164418F71C1FCFA0E52B4B6A07130D205ED40C25DDC3ECD9","44668","2026-07-19T15:10:03.2968644Z","Exact portable report identity sidecar and report hash verified."
"22","sip_dir45","older_2015_2018","sip_dir45_older_2015_2018_m1","REPORT_FOUND","516B7BD52C650C36371C4E7B08E74A2AFE828EF3E950BAF23FE3212E72B6C21A","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","AE47BCE0E3E7F54392FED533429D766C2A9A428469FCA44FA32BAC1E9524C7A4","48570","2026-07-19T15:10:19.3217128Z","Exact portable report identity sidecar and report hash verified."
"23","sip_dir45","discovery_2019_2020","sip_dir45_discovery_2019_2020_m1","REPORT_FOUND","F77D5350AE7F697A9E76B6927D8D2B244B22886443CC76FA3945CE60A1A8EB47","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","618B57BE3E55156F5EA62495FC0F4F60A6A92589054D6D3DEE2A32AC9E221398","42664","2026-07-19T15:10:35.2152077Z","Exact portable report identity sidecar and report hash verified."
"24","sip_dir45","continuous_2015_2020","sip_dir45_continuous_2015_2020_m1","REPORT_FOUND","38F2942C2AFE57DEDC52D1FE81D8642924327D921A8A57E931FB87E7574C3859","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","ED7A35C3C11577F5D7B8EB5CC65D1606CAEC1D4CF0B350CD94A2B13DA4B3CE94","48612","2026-07-19T15:10:54.1136466Z","Exact portable report identity sidecar and report hash verified."
"25","sip_dir65","older_2015_2018","sip_dir65_older_2015_2018_m1","REPORT_FOUND","7095A9D4DC590C5D84D7EC7D40F85DD49C41FA3F3B2D7631AD696025EA802462","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","325EECB0EC91D141F51E3400869BF5DC939E6B6D252E4566E52FA03B086F64D5","42632","2026-07-19T15:11:10.4379854Z","Exact portable report identity sidecar and report hash verified."
"26","sip_dir65","discovery_2019_2020","sip_dir65_discovery_2019_2020_m1","REPORT_FOUND","2A840D0D2718251E497E80495387A8982DC02E7DE6B5DEAB5872525E630D7899","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","0707EA57DAE728B94874CC41755F593A006340C0E8F692CDE7C1309603D03341","42664","2026-07-19T15:11:26.4816373Z","Exact portable report identity sidecar and report hash verified."
"27","sip_dir65","continuous_2015_2020","sip_dir65_continuous_2015_2020_m1","REPORT_FOUND","AAAC2B0DD2CE69823A852D700DF725713F476E4F07B82CAF7F1A64C60AC83A89","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10027F332AA638244E97BB71D4E00DFA888E277BB6190AE8F81DB32F121E32B9","42674","2026-07-19T15:11:44.9250313Z","Exact portable report identity sidecar and report hash verified."
"28","sip_minret10","older_2015_2018","sip_minret10_older_2015_2018_m1","REPORT_FOUND","BB21DA02C382F58CCAF2228C37321B5EE9985E3E9C4043FDA08D52368C885677","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","432896B0E548F922418DF4B30F34DE448949CB0A1E3C5F515958F958A9B326F1","48606","2026-07-19T15:12:03.6337948Z","Exact portable report identity sidecar and report hash verified."
"29","sip_minret10","discovery_2019_2020","sip_minret10_discovery_2019_2020_m1","REPORT_FOUND","0F2FD1571341D7819310C78B2A39537B460676BCE71EEBC112DBC19D354F369C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","ADAFA4424FB762A61D0616A30EFB7BAC6FCE83750B0FCFB8EAEBC669F5C1F2EF","42700","2026-07-19T15:12:19.9996801Z","Exact portable report identity sidecar and report hash verified."
"30","sip_minret10","continuous_2015_2020","sip_minret10_continuous_2015_2020_m1","REPORT_FOUND","D745663C6E13C5E0CD8B09AE14E94210E9C265BDEAF105C497C26BB0CBA4D726","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","D1E16D8C4E79D24A0A11653F4637AC723C840D88BBAEC575C716A43F4CE6926D","48648","2026-07-19T15:12:38.8563693Z","Exact portable report identity sidecar and report hash verified."
"31","sip_minret30","older_2015_2018","sip_minret30_older_2015_2018_m1","REPORT_FOUND","3897BFFAF1C728B87D436568211EC30A9256E88729203511BF6C158C6A538889","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","71EF6EE6690DA5C09218976821C1ABD18752C8C3F564CCFA16C98055BB39EA56","44678","2026-07-19T15:12:57.0521594Z","Exact portable report identity sidecar and report hash verified."
"32","sip_minret30","discovery_2019_2020","sip_minret30_discovery_2019_2020_m1","REPORT_FOUND","49FF751458E1AD63F5BD23A0E7390B4D7403DF046CDBC35E0E7403184743418C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","82EB398723362F50BE51C269200D60FFD71DDEF027F4581B741C94F8803B6C17","42700","2026-07-19T15:13:13.0745363Z","Exact portable report identity sidecar and report hash verified."
"33","sip_minret30","continuous_2015_2020","sip_minret30_continuous_2015_2020_m1","REPORT_FOUND","68D3AF0368ACC2293D02FDCDB6409885C0CBECB434EBBE961951FD9B358A7497","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","DC101172AF723DD034858085BCE1AE48D0B531C3F984553A68DEDA91326A2577","44720","2026-07-19T15:13:31.0429962Z","Exact portable report identity sidecar and report hash verified."
"34","sip_maxret45","older_2015_2018","sip_maxret45_older_2015_2018_m1","REPORT_FOUND","FFFE2D27E2439C310482ABDA974ED386CEE98B964555B61BE8802FF72CE19AC4","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","248820DF38358C98D175840E187DCE16826ABEC868BEA128428EE40EBAAE27BB","46650","2026-07-19T15:13:50.3783675Z","Exact portable report identity sidecar and report hash verified."
"35","sip_maxret45","discovery_2019_2020","sip_maxret45_discovery_2019_2020_m1","REPORT_FOUND","75EFF2664408B0F7AD8894295AE234036B2CBB293B9A6F538C6522B28DD566AC","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","4DE9E04146C8445CCE48120B5E24FEB9B3041C78FAD987CEB9239ABCFDF92E5B","42700","2026-07-19T15:14:06.6985511Z","Exact portable report identity sidecar and report hash verified."
"36","sip_maxret45","continuous_2015_2020","sip_maxret45_continuous_2015_2020_m1","REPORT_FOUND","14944475EB8D5B452A5AB04A23139C5D657386C359361C110F5069B4B3250CBB","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","094F323729DABCBF3033A0251F82ED3BE43C76D85CAB200060ECE45CEF507D53","46692","2026-07-19T15:14:24.7272486Z","Exact portable report identity sidecar and report hash verified."
"37","sip_maxret75","older_2015_2018","sip_maxret75_older_2015_2018_m1","REPORT_FOUND","9B082AC08C836C787884CC73ED729AFBAA5079E92D3DA6D9F73F47B332623D90","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","26485BEDBD2056FA50EE937AC3D8DC4E6666BFF45C744FACF5D71FF4BED55667","50562","2026-07-19T15:14:42.6082959Z","Exact portable report identity sidecar and report hash verified."
"38","sip_maxret75","discovery_2019_2020","sip_maxret75_discovery_2019_2020_m1","REPORT_FOUND","08B41C44D6AC1595A2880904597CD51A267A3C91F5A8EE2211D95C6EB1AF7040","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","3B7FA565464792EE6C8775E1C66813EA56F27705316BE6BEDF6053F00DDB7CFF","44710","2026-07-19T14:33:55.6112627Z","Exact portable report identity sidecar and report hash verified."
"39","sip_maxret75","continuous_2015_2020","sip_maxret75_continuous_2015_2020_m1","REPORT_FOUND","7C6B1A33DEF4CDB7CC6480FFA90C3C03BCC65A2265E33BD83FB85A7EBDCB7617","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","911C38949234AC08A6DF8490369658DEAC76D5974906C2C50D75AAB9578B5510","52582","2026-07-19T14:34:11.9326440Z","Exact portable report identity sidecar and report hash verified."
"40","sip_lookback4","older_2015_2018","sip_lookback4_older_2015_2018_m1","REPORT_FOUND","1874DF2AD1E6C99A38D56C598C4E87CC06255ADD3CAAB4555F4023D1E76289BD","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","A447BE1922014460599E35B2C22753580A06AA7052FC8FDD9D70B1938BE08D13","48618","2026-07-19T14:34:27.8321180Z","Exact portable report identity sidecar and report hash verified."
"41","sip_lookback4","discovery_2019_2020","sip_lookback4_discovery_2019_2020_m1","REPORT_FOUND","1B311E902C347DA44CAECE6A41EBB30790C34D0E752634894D7DA3C01FFBE9E5","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","0D902FDD458F81B1FD06FAE97F95DFC9D72DC574EA9EC4B038CB5A04C45A3508","42712","2026-07-19T14:34:41.2459290Z","Exact portable report identity sidecar and report hash verified."
"42","sip_lookback4","continuous_2015_2020","sip_lookback4_continuous_2015_2020_m1","REPORT_FOUND","12A188C35B74BDA9A3B265A3E5844E38FA00F75C9C38149E96B8C3D877C544C4","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","9095D538DA150B3BC45C23EA302AC8194CEAE60D6CC7DAE90C00A1DB5BC79421","48660","2026-07-19T14:34:56.2481609Z","Exact portable report identity sidecar and report hash verified."
"43","sip_lookback8","older_2015_2018","sip_lookback8_older_2015_2018_m1","REPORT_FOUND","39B27185655D4F3DAACA63AD64175733FF4A220E826B7CCAEB5EA00F9B0ED556","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","F40B50AFFE7AFFFE0FFCEC20B219843C6ADF07D1F84A0A3668CE4FDF2A8F5F52","48618","2026-07-19T14:35:12.3020182Z","Exact portable report identity sidecar and report hash verified."
"44","sip_lookback8","discovery_2019_2020","sip_lookback8_discovery_2019_2020_m1","REPORT_FOUND","DE1E256AC8B173C39672F4E2384B1870AF262253E1F306FB8E52FC8F08C1EE72","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","E4B96C194AFFD7842344B1C265A9FB3F6A8931E10AB78CD3FCACADB4A1560468","42712","2026-07-19T14:35:25.4784996Z","Exact portable report identity sidecar and report hash verified."
"45","sip_lookback8","continuous_2015_2020","sip_lookback8_continuous_2015_2020_m1","REPORT_FOUND","BD64BF5D5FEF87C15E5D64FE6E99BF1FCCE8295DCCAE271DFD6C7D4703397192","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","E2C4B7FACF3AE3BD7F8DB3BF7DC62468CB2B2B64E148F71D805A6BA5A5AFDBFF","48660","2026-07-19T14:35:41.6186066Z","Exact portable report identity sidecar and report hash verified."
