"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","Role","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","Thesis","Overrides","StopRule"
"11","re_may140","11","range_elite_risk_shape_probe","11","phase4_range_elite_risk_shape_model4","re_may140.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\011_re_may140_2025_full_m4.ini","re_risk_re_may140_2025_m4","profiles\re_may140.set","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"12","re_may140","12","range_elite_risk_shape_probe","12","phase4_range_elite_risk_shape_model4","re_may140.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\012_re_may140_2026_ytd_m4.ini","re_risk_re_may140_2026ytd_m4","profiles\re_may140.set","3FE2680F6E781E0F8BE4C5302029D0E40F86AAEC1FD83422BCC6B26C4177A6C6","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Keep a smaller May opportunity boost without letting May dominate account risk.","InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"13","re_blockliq","13","range_elite_risk_shape_probe","13","phase4_range_elite_risk_shape_model4","re_blockliq.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\013_re_blockliq_2019_full_m4.ini","re_risk_re_blockliq_2019_m4","profiles\re_blockliq.set","9CF5DFD820088D007701E77FD05BF2971E10505698FF7AC19B51E07F59FD5D88","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic fallback when the setup is also a liquidity-sweep setup.","InpDiagnosticFallbackBlockLiquiditySweep=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"14","re_blockliq","14","range_elite_risk_shape_probe","14","phase4_range_elite_risk_shape_model4","re_blockliq.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\014_re_blockliq_2021_full_m4.ini","re_risk_re_blockliq_2021_m4","profiles\re_blockliq.set","9CF5DFD820088D007701E77FD05BF2971E10505698FF7AC19B51E07F59FD5D88","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic fallback when the setup is also a liquidity-sweep setup.","InpDiagnosticFallbackBlockLiquiditySweep=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"15","re_blockliq","15","range_elite_risk_shape_probe","15","phase4_range_elite_risk_shape_model4","re_blockliq.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\015_re_blockliq_2023_full_m4.ini","re_risk_re_blockliq_2023_m4","profiles\re_blockliq.set","9CF5DFD820088D007701E77FD05BF2971E10505698FF7AC19B51E07F59FD5D88","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic fallback when the setup is also a liquidity-sweep setup.","InpDiagnosticFallbackBlockLiquiditySweep=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"16","re_blockliq","16","range_elite_risk_shape_probe","16","phase4_range_elite_risk_shape_model4","re_blockliq.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\016_re_blockliq_2024_full_m4.ini","re_risk_re_blockliq_2024_m4","profiles\re_blockliq.set","9CF5DFD820088D007701E77FD05BF2971E10505698FF7AC19B51E07F59FD5D88","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic fallback when the setup is also a liquidity-sweep setup.","InpDiagnosticFallbackBlockLiquiditySweep=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"17","re_blockliq","17","range_elite_risk_shape_probe","17","phase4_range_elite_risk_shape_model4","re_blockliq.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\017_re_blockliq_2025_full_m4.ini","re_risk_re_blockliq_2025_m4","profiles\re_blockliq.set","9CF5DFD820088D007701E77FD05BF2971E10505698FF7AC19B51E07F59FD5D88","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic fallback when the setup is also a liquidity-sweep setup.","InpDiagnosticFallbackBlockLiquiditySweep=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"18","re_blockliq","18","range_elite_risk_shape_probe","18","phase4_range_elite_risk_shape_model4","re_blockliq.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\018_re_blockliq_2026_ytd_m4.ini","re_risk_re_blockliq_2026ytd_m4","profiles\re_blockliq.set","9CF5DFD820088D007701E77FD05BF2971E10505698FF7AC19B51E07F59FD5D88","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic fallback when the setup is also a liquidity-sweep setup.","InpDiagnosticFallbackBlockLiquiditySweep=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"19","re_blockliq_may140","19","range_elite_risk_shape_probe","19","phase4_range_elite_risk_shape_model4","re_blockliq_may140.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\019_re_blockliq_may140_2019_full_m4.ini","re_risk_re_blockliq_may140_2019_m4","profiles\re_blockliq_may140.set","D624F8FD8237039E3F20EF1A36FDBEDEBF6D44F60BEA3C3AD74323BDFBFC4923","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic/liquidity conflict and keep a smaller May risk boost.","InpDiagnosticFallbackBlockLiquiditySweep=true;InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"20","re_blockliq_may140","20","range_elite_risk_shape_probe","20","phase4_range_elite_risk_shape_model4","re_blockliq_may140.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\020_re_blockliq_may140_2021_full_m4.ini","re_risk_re_blockliq_may140_2021_m4","profiles\re_blockliq_may140.set","D624F8FD8237039E3F20EF1A36FDBEDEBF6D44F60BEA3C3AD74323BDFBFC4923","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic/liquidity conflict and keep a smaller May risk boost.","InpDiagnosticFallbackBlockLiquiditySweep=true;InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"21","re_blockliq_may140","21","range_elite_risk_shape_probe","21","phase4_range_elite_risk_shape_model4","re_blockliq_may140.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\021_re_blockliq_may140_2023_full_m4.ini","re_risk_re_blockliq_may140_2023_m4","profiles\re_blockliq_may140.set","D624F8FD8237039E3F20EF1A36FDBEDEBF6D44F60BEA3C3AD74323BDFBFC4923","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic/liquidity conflict and keep a smaller May risk boost.","InpDiagnosticFallbackBlockLiquiditySweep=true;InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"22","re_blockliq_may140","22","range_elite_risk_shape_probe","22","phase4_range_elite_risk_shape_model4","re_blockliq_may140.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\022_re_blockliq_may140_2024_full_m4.ini","re_risk_re_blockliq_may140_2024_m4","profiles\re_blockliq_may140.set","D624F8FD8237039E3F20EF1A36FDBEDEBF6D44F60BEA3C3AD74323BDFBFC4923","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic/liquidity conflict and keep a smaller May risk boost.","InpDiagnosticFallbackBlockLiquiditySweep=true;InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"23","re_blockliq_may140","23","range_elite_risk_shape_probe","23","phase4_range_elite_risk_shape_model4","re_blockliq_may140.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\023_re_blockliq_may140_2025_full_m4.ini","re_risk_re_blockliq_may140_2025_m4","profiles\re_blockliq_may140.set","D624F8FD8237039E3F20EF1A36FDBEDEBF6D44F60BEA3C3AD74323BDFBFC4923","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic/liquidity conflict and keep a smaller May risk boost.","InpDiagnosticFallbackBlockLiquiditySweep=true;InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"24","re_blockliq_may140","24","range_elite_risk_shape_probe","24","phase4_range_elite_risk_shape_model4","re_blockliq_may140.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\024_re_blockliq_may140_2026_ytd_m4.ini","re_risk_re_blockliq_may140_2026ytd_m4","profiles\re_blockliq_may140.set","D624F8FD8237039E3F20EF1A36FDBEDEBF6D44F60BEA3C3AD74323BDFBFC4923","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Block diagnostic/liquidity conflict and keep a smaller May risk boost.","InpDiagnosticFallbackBlockLiquiditySweep=true;InpMayRiskMultiplier=1.40","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
