"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Deposit"
"28","28","discovery_model1","dnrb_volume000","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_volume000_older_2015_2018_m1","10000"
"29","29","discovery_model1","dnrb_volume000","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_volume000_discovery_2019_2020_m1","10000"
"30","30","discovery_model1","dnrb_volume000","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_volume000_continuous_2015_2020_m1","10000"
"31","31","discovery_model1","dnrb_volume115","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_volume115_older_2015_2018_m1","10000"
"32","32","discovery_model1","dnrb_volume115","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_volume115_discovery_2019_2020_m1","10000"
"33","33","discovery_model1","dnrb_volume115","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_volume115_continuous_2015_2020_m1","10000"
"34","34","discovery_model1","dnrb_ema20","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_ema20_older_2015_2018_m1","10000"
"35","35","discovery_model1","dnrb_ema20","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_ema20_discovery_2019_2020_m1","10000"
"36","36","discovery_model1","dnrb_ema20","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_ema20_continuous_2015_2020_m1","10000"
"37","37","discovery_model1","dnrb_ema100","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_ema100_older_2015_2018_m1","10000"
"38","38","discovery_model1","dnrb_ema100","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_ema100_discovery_2019_2020_m1","10000"
"39","39","discovery_model1","dnrb_ema100","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_ema100_continuous_2015_2020_m1","10000"
"40","40","discovery_model1","dnrb_noema","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_noema_older_2015_2018_m1","10000"
"41","41","discovery_model1","dnrb_noema","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_noema_discovery_2019_2020_m1","10000"
"42","42","discovery_model1","dnrb_noema","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_noema_continuous_2015_2020_m1","10000"
"43","43","discovery_model1","dnrb_adx18","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_adx18_older_2015_2018_m1","10000"
"44","44","discovery_model1","dnrb_adx18","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_adx18_discovery_2019_2020_m1","10000"
"45","45","discovery_model1","dnrb_adx18","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_adx18_continuous_2015_2020_m1","10000"
"46","46","discovery_model1","dnrb_tp200","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_tp200_older_2015_2018_m1","10000"
"47","47","discovery_model1","dnrb_tp200","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_tp200_discovery_2019_2020_m1","10000"
"48","48","discovery_model1","dnrb_tp200","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_tp200_continuous_2015_2020_m1","10000"
"49","49","discovery_model1","dnrb_tp400","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_tp400_older_2015_2018_m1","10000"
"50","50","discovery_model1","dnrb_tp400","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_tp400_discovery_2019_2020_m1","10000"
"51","51","discovery_model1","dnrb_tp400","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_tp400_continuous_2015_2020_m1","10000"
"52","52","discovery_model1","dnrb_no_trail","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_no_trail_older_2015_2018_m1","10000"
"53","53","discovery_model1","dnrb_no_trail","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_no_trail_discovery_2019_2020_m1","10000"
"54","54","discovery_model1","dnrb_no_trail","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_no_trail_continuous_2015_2020_m1","10000"
