"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"23","lowatr_exit_mfe_early_r25","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\023_lowatr_exit_mfe_early_r25_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\023_lowatr_exit_mfe_early_r25_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_early_r25_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_early_r25_continuous_m1","FE9DBB2CA2034B5D2BED45E4F93C8EAF0DCEA9E1A5440B34A5AE40147D6ABF19","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"24","lowatr_exit_mfe_early_r30","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\024_lowatr_exit_mfe_early_r30_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\024_lowatr_exit_mfe_early_r30_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_early_r30_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_early_r30_continuous_m1","DE4385279569B168095CED9EEE1D00592DF0873F6251B5BB52E43F29EC7CB8A1","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"25","lowatr_exit_mfe_early_r35","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\025_lowatr_exit_mfe_early_r35_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\025_lowatr_exit_mfe_early_r35_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_early_r35_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_early_r35_continuous_m1","81148A00F6362594EAB38CBD375B653A0B11D0BA932BCA818A6E07512172A76E","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"26","lowatr_exit_mfe_early_r40","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\026_lowatr_exit_mfe_early_r40_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\026_lowatr_exit_mfe_early_r40_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_early_r40_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_early_r40_continuous_m1","CE0BEE90200300BF1B05486043DFFB04258750EA0E6587077D2E40C71C07F07E","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"27","lowatr_exit_mfe_early_r50","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\027_lowatr_exit_mfe_early_r50_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\027_lowatr_exit_mfe_early_r50_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_mfe_early_r50_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_mfe_early_r50_continuous_m1","7B10276170B2172BA246FF84BBF502360CBEDDEE60FBE98626D861E53941C7C6","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"28","lowatr_exit_loss_scale_r25","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\028_lowatr_exit_loss_scale_r25_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\028_lowatr_exit_loss_scale_r25_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_loss_scale_r25_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_loss_scale_r25_continuous_m1","46A5FB4AD7EB03C7C45793F54A669A60484E82E2439385464A4D3BBDFE724512","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"29","lowatr_exit_loss_scale_r30","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\029_lowatr_exit_loss_scale_r30_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\029_lowatr_exit_loss_scale_r30_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_loss_scale_r30_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_loss_scale_r30_continuous_m1","671A37A2B5C87D3EDF7B531689EEDBA03B2231381AAE6C4F7C0A0D6B51C9FE18","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"30","lowatr_exit_loss_scale_r35","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\030_lowatr_exit_loss_scale_r35_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\030_lowatr_exit_loss_scale_r35_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_loss_scale_r35_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_loss_scale_r35_continuous_m1","5443DA3A4318041B918DDF104CDBC7E6BDC6D5744D3DAADAADE80FB9A4EF31B3","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"31","lowatr_exit_loss_scale_r40","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\031_lowatr_exit_loss_scale_r40_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\031_lowatr_exit_loss_scale_r40_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_loss_scale_r40_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_loss_scale_r40_continuous_m1","487B23DDC8E6134EED1D95125AAAFEBB8D6D509E1D159A86BE05D4B40CCAF819","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
"32","lowatr_exit_loss_scale_r50","phase0_fast_model1","continuous Model1 fast exit sweep","continuous_2024_2026","1","outputs\lowatr_exit_sweep_package\configs\032_lowatr_exit_loss_scale_r50_continuous_m1.ini","outputs\lowatr_exit_sweep_package\configs\032_lowatr_exit_loss_scale_r50_continuous_m1.ini","lowatr_exit_sweep_lowatr_exit_loss_scale_r50_continuous_m1","outputs\lowatr_exit_sweep_package\reports_here\lowatr_exit_sweep_lowatr_exit_loss_scale_r50_continuous_m1","B113552C3D8BB0EF6BEF5A3EBB18CD3CA356F7375CECF106E512F753D7A6A645","Reject if red, too sparse, or drawdown remains above the first-pass risk cap."
