"QueueRank","Candidate","Role","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","AnnualContractSha256","NetProfit","TotalReturnPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","msec_control","exact_control","year_2025","2025.01.01","2025.12.31","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","17.78","0.18","2.91","3","66.67","0.12","1.4235","2.4","1","E191486CD0353B249C0F6D109F51C21446838BA8485E8B525C1BCD3324F8C021"
"12","msec_control","exact_control","year_2026_ytd","2026.01.01","2026.07.12","4","EBF91F101273422422008BE481D8FF97448556384EBCCF561E7CBFC563A741F1","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","209.18","2.09","0","2","100","1.19","1.7253","0.31","0","C2A474686B0C2978F05A5614D275FEA7D06E88E0D60585C98DE49BC4419ABBEF"
"13","msec_center_060","frozen_center","year_2015","2015.01.01","2015.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","195.25","1.95","2.14","26","53.85","0.86","2.2236","17.74","2","116C87EA959B0DB5DF012843912044E004BE9A4A1A7033EBAD03EA1EB081D972"
"14","msec_center_060","frozen_center","year_2016","2016.01.01","2016.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","314.75","3.15","2.57","40","47.5","0.74","4.1967","23.6","5","CF94DC1FF961E3C147A284470022360062D4DF9F22A64F3192DBF7C98693B007"
"15","msec_center_060","frozen_center","year_2017","2017.01.01","2017.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","99.65","1","1.25","55","38.18","1.18","0.8437","10.29","6","F99D9E15F83E28C1EA77C9BC1074050B69A13EFB251DB71838ECEF15485C8BE8"
"16","msec_center_060","frozen_center","year_2018","2018.01.01","2018.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","348.46","3.48","2.25","62","48.39","0.55","6.1209","25.88","5","A0738BB4790300D3BF3281146F44C1596D030C930CF48F713E5589BF606232BC"
"17","msec_center_060","frozen_center","year_2019","2019.01.01","2019.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","13.01","0.13","1.07","36","38.89","1.08","0.1195","0.51","6","F111C3C40B5885D0FBCC8FC882074986F511D56A8F733D03045BDCDA7D6C1B0E"
"18","msec_center_060","frozen_center","year_2020","2020.01.01","2020.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","235.07","2.35","2.17","29","48.28","0.71","3.2495","8.19","3","DD575D01BB88BD85E28C15BF31FB254621F8C93942303797C95E293F6CD65D0D"
"19","msec_center_060","frozen_center","year_2021","2021.01.01","2021.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","392.11","3.92","2.7","30","30","1.16","3.387","43.76","8","C971CA288557ECD987DA19709862C4E78942E9F3EF720606709A0FEE6465E7CB"
"20","msec_center_060","frozen_center","year_2022","2022.01.01","2022.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","49.32","0.49","1.22","36","41.67","0.96","0.5158","7.82","4","1931608312418966644EB11D0FD0225A403773C9946A08CFF6B669F5040E9EC2"
"21","msec_center_060","frozen_center","year_2023","2023.01.01","2023.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","181.54","1.82","1.75","41","46.34","1.24","1.443","16.47","6","6FB33DE1AA9E9951373FC1AD3544EA640FFAE75C10B36C97E7B89456DF175E47"
"22","msec_center_060","frozen_center","year_2024","2024.01.01","2024.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","234.99","2.35","2.46","28","50","1.08","2.1656","21.97","4","DB638ED0EFDFF5BDA35C01E89E1E2DF276E7A2DDCFD45613FAF24E5288BE9565"
"23","msec_center_060","frozen_center","year_2025","2025.01.01","2025.12.31","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","17.78","0.18","2.91","3","66.67","0.12","1.4235","2.4","1","949D1AA9655CA9ADF1C788094B23EBC9B7D7548FF49D5B5DEC13AD66C3D8E694"
"24","msec_center_060","frozen_center","year_2026_ytd","2026.01.01","2026.07.12","4","ACFCE73E2A48723334CC416715F047E3CEA87018D46B12B8A6CB0663E025BA1C","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D85336B07A8C34C4567537D5C9BD7CDC0F31D0B8ED67B73BAC1088B19E126123","ECD8C11737A268A816C5546A194E4A8DA8D2406A362427E17BFA01367F8088E3","209.18","2.09","0","2","100","1.19","1.7253","0.31","0","C63F342F071289D3848172A7A9A530CB7E5A6CDFBEACB821EE741C633229DE4A"
