"QueueRank","Candidate","CandidateRank","Window","From","To","Model","Deposit","Enabled","MinimumProfitR","BreakoutLookbackBars","RiskMultiplier","PrimaryLockR","LockedProfitCoverage","Status","ReportPath","ReportSha256","ConfigSha256","ProfileSha256","SourceSha256","PortableBinarySha256","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","AddOnEntries"
"21","pwa_risk025","7","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","6","0.25","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_risk025_continuous_2015_2020_m1.htm","46FBB17431434B68FFEEEA181172148DBC558CFB7FA8EED2E905582F8EB6765F","D7A2BA7927E52E20C00315B8F8A06EFBEEB70F698A235671CF24E4B2DCA50730","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1189.18","11189.18","11.89","1.98","1.89","1.77","4.47","4.95","45.11","266","112.66","1.02","10.5555","1"
"22","pwa_risk060","8","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","6","0.60","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_risk060_older_2015_2018_m1.htm","A49095A7772446D371F6C0226E309B4DB568C1802D6B496DD4860D94A031B333","DCD0F3B310BB99629EE1DDC9837D9AA2AB5A7201BDFB2D65A4FF4326801573B9","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","850.44","10850.44","8.5","2.13","2.06","1.77","4.45","5.03","43.98","191","105.2","1","8.084","5"
"23","pwa_risk060","8","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","6","0.60","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_risk060_discovery_2019_2020_m1.htm","DC3A7379CB2CBDE899B8589D032548D69C513202C0D4406E805260C8C03EE934","AB105012E62214E16172FD3EE8E07716DC4B9B124595EEA7AD72836762285AC8","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"24","pwa_risk060","8","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","6","0.60","0.75","1.25","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_risk060_continuous_2015_2020_m1.htm","767983AE4B1CA9D54A782BB5A195AC863BF31950D43D8D33C15EF951CA62B4F0","F2162AF768758B6B577B288B375A50834D30B283660697D46D90CF11E5A79931","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1194.48","11194.48","11.94","1.99","1.9","1.77","4.42","4.95","44.81","270","112.66","1.02","10.6025","6"
"25","pwa_coverage100","9","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","6","0.50","0.75","1.00","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_coverage100_older_2015_2018_m1.htm","C4D746F28917658CCBD187B86C2198C6F5D162851E3C2B5C1AD9F5D217CEB2D8","1872F6DCF115623AB83EED308B1CA0C478D251AF1DD5ED3B18DBE21037BE5F47","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","871.4","10871.4","8.71","2.18","2.11","1.8","4.59","5.15","44.74","190","103.84","0.99","8.3918","5"
"26","pwa_coverage100","9","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","6","0.50","0.75","1.00","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_coverage100_discovery_2019_2020_m1.htm","25B410DE194017A5B727CB37BB0CC04C8D19AED4EE7EEACAEDB50E5EFC0E7F97","3242E414033663C9F047833454C612AD171217CCC8634A1C092177DEDD70B69C","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","343.23","10343.23","3.43","1.72","1.7","1.88","4.52","5.71","47.37","76","94.65","0.93","3.6263","1"
"27","pwa_coverage100","9","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","6","0.50","0.75","1.00","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_coverage100_continuous_2015_2020_m1.htm","23B17057217B8D9E2D8D0E1A74CA1F75A18D1286458C7860E83947315F811B8F","7D747B1022AD4D827317B4871FF36176BA8B89E8391B0043B777EE69D628A89C","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1215.44","11215.44","12.15","2.03","1.93","1.79","4.52","5.04","45.35","269","112.66","1.02","10.7886","6"
"28","pwa_coverage150","10","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","1.25","6","0.50","0.75","1.50","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_coverage150_older_2015_2018_m1.htm","0A9E07934C3039E3CA2EFB0D971220A8047268086AF33A4EC68EB2AC89863474","C76C243F591AECA0131B12791571B132ADC6F28103F1973CE036E8DB6E225F72","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","879.69","10879.69","8.8","2.2","2.13","1.81","4.65","5.2","44.97","189","103.84","0.99","8.4716","4"
"29","pwa_coverage150","10","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","1.25","6","0.50","0.75","1.50","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_coverage150_discovery_2019_2020_m1.htm","FDC017CF8BF4712A3EB96E8B32947F6F18EE9427DE742E2E278C56EE2F1B2F57","55D0B3064D06C1EB7D7DF753DFCD51D9987D775BF0BE1B30249FFC581608BC26","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","330.02","10330.02","3.3","1.65","1.64","1.84","4.4","5.54","46.67","75","94.65","0.93","3.4867","0"
"30","pwa_coverage150","10","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","1.25","6","0.50","0.75","1.50","PARSED","outputs\three_lane_protected_winner_addon_discovery_exact_model1_package\reports_here\pwa_coverage150_continuous_2015_2020_m1.htm","CD1B9B4F97BC40CFC127C035D7E46906F97A3249202A3379A879966D0371C5E9","FB57FA6AA63B3FB6486038F5122AD98671547DB9ACE89C5F3F48A143D45770FF","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","3334836C955F4F97C5769FF2CF87B7ACB9A9C7BF38ECE70BC692A6149376311D","10000","1209.19","11209.19","12.09","2.02","1.92","1.79","4.53","5.03","45.32","267","112.66","1.02","10.7331","4"
