"QueueRank","Rank","Candidate","Profile","Phase","Set","Window","From","To","Model","Deposit","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","RunLabel","StopRule"
"11","11","dir_mo015_di08_strict","dir_mo015_di08_strict","discovery_model1","rc2_di_repair_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\011_dir_mo015_di08_strict_repair_2020_m1.ini","dir_mo015_di08_strict_repair_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_repair_2020_m1","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"12","12","dir_mo015_di08_strict","dir_mo015_di08_strict","discovery_model1","rc2_di_repair_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\012_dir_mo015_di08_strict_continuous_2015_2020_m1.ini","dir_mo015_di08_strict_continuous_2015_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_continuous_2015_2020_m1","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"13","13","dir_mo020_di12_control","dir_mo020_di12_control","discovery_model1","rc2_di_repair_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\013_dir_mo020_di12_control_older_2015_2018_m1.ini","dir_mo020_di12_control_older_2015_2018_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_older_2015_2018_m1","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"14","14","dir_mo020_di12_control","dir_mo020_di12_control","discovery_model1","rc2_di_repair_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\014_dir_mo020_di12_control_repair_2019_m1.ini","dir_mo020_di12_control_repair_2019_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_repair_2019_m1","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"15","15","dir_mo020_di12_control","dir_mo020_di12_control","discovery_model1","rc2_di_repair_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\015_dir_mo020_di12_control_repair_2020_m1.ini","dir_mo020_di12_control_repair_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_repair_2020_m1","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"16","16","dir_mo020_di12_control","dir_mo020_di12_control","discovery_model1","rc2_di_repair_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\016_dir_mo020_di12_control_continuous_2015_2020_m1.ini","dir_mo020_di12_control_continuous_2015_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_continuous_2015_2020_m1","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"17","17","dir_mo020_di10_center","dir_mo020_di10_center","discovery_model1","rc2_di_repair_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\017_dir_mo020_di10_center_older_2015_2018_m1.ini","dir_mo020_di10_center_older_2015_2018_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_older_2015_2018_m1","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"18","18","dir_mo020_di10_center","dir_mo020_di10_center","discovery_model1","rc2_di_repair_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\018_dir_mo020_di10_center_repair_2019_m1.ini","dir_mo020_di10_center_repair_2019_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_repair_2019_m1","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"19","19","dir_mo020_di10_center","dir_mo020_di10_center","discovery_model1","rc2_di_repair_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\019_dir_mo020_di10_center_repair_2020_m1.ini","dir_mo020_di10_center_repair_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_repair_2020_m1","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"20","20","dir_mo020_di10_center","dir_mo020_di10_center","discovery_model1","rc2_di_repair_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\020_dir_mo020_di10_center_continuous_2015_2020_m1.ini","dir_mo020_di10_center_continuous_2015_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_continuous_2015_2020_m1","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"21","21","dir_mo020_di08_strict","dir_mo020_di08_strict","discovery_model1","rc2_di_repair_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\021_dir_mo020_di08_strict_older_2015_2018_m1.ini","dir_mo020_di08_strict_older_2015_2018_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_older_2015_2018_m1","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"22","22","dir_mo020_di08_strict","dir_mo020_di08_strict","discovery_model1","rc2_di_repair_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\022_dir_mo020_di08_strict_repair_2019_m1.ini","dir_mo020_di08_strict_repair_2019_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_repair_2019_m1","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"23","23","dir_mo020_di08_strict","dir_mo020_di08_strict","discovery_model1","rc2_di_repair_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\023_dir_mo020_di08_strict_repair_2020_m1.ini","dir_mo020_di08_strict_repair_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_repair_2020_m1","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"24","24","dir_mo020_di08_strict","dir_mo020_di08_strict","discovery_model1","rc2_di_repair_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\rc2_di_repair_portfolio_discovery_model1_package\configs\024_dir_mo020_di08_strict_continuous_2015_2020_m1.ini","dir_mo020_di08_strict_continuous_2015_2020_m1","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_continuous_2015_2020_m1","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
