"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PullbackLookbackBars","MinimumADX","TakeProfitR","MinimumSignalBodyPercent","RequirePriorCloseBeyondVWAP","UseSignalVolumeFilter","SessionStartHour","SessionEndHour","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"11","m15dvc_adx16","4","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx16.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15dvc_adx16_discovery_2019_2020_m1.ini","m15dvc_adx16_discovery_2019_2020_m1","profiles\m15dvc_adx16.set","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","16.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx16_discovery_2019_2020_m1.htm","65A5D2C63992A95607C6F95D6124C6CF2275C231407850B1B4AD91BCDD6739B4","10000","730","1.9986","-179.53","9820.47","-1.8","-0.9","-0.9","0.64","-2.14","-5","32.14","84","11","278.06","2.77","215.97","278.06","-0.6457","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"12","m15dvc_adx16","4","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx16.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15dvc_adx16_continuous_2015_2020_m1.ini","m15dvc_adx16_continuous_2015_2020_m1","profiles\m15dvc_adx16.set","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","16.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx16_continuous_2015_2020_m1.htm","BCDD1579F33BDF898945FC4EB881081A892F3B672D5D6229F955502DF592DA07","10000","2191","5.9986","-500.12","9499.88","-5","-0.83","-0.85","0.58","-2.62","-5","30.89","191","11","502.32","5.02","500.12","502.32","-0.9956","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"13","m15dvc_adx20","5","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15dvc_adx20_older_2015_2018_m1.ini","m15dvc_adx20_older_2015_2018_m1","profiles\m15dvc_adx20.set","8EFB5CA605CE96285A15BE40FB695D8444C71FADB164D213FF370B43C1B98657","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","20.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx20_older_2015_2018_m1.htm","48840B5E57452A48246DC4F4DA87B2E0CCC18B1F2B4D633399BE7517C597057E","10000","1460","3.9973","-308.43","9691.57","-3.08","-0.77","-0.78","0.61","-2.57","-5","28.33","120","8","336.92","3.37","327.29","336.92","-0.9154","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"14","m15dvc_adx20","5","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m15dvc_adx20_discovery_2019_2020_m1.ini","m15dvc_adx20_discovery_2019_2020_m1","profiles\m15dvc_adx20.set","8EFB5CA605CE96285A15BE40FB695D8444C71FADB164D213FF370B43C1B98657","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","20.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx20_discovery_2019_2020_m1.htm","A587B6A2F7A5F6A0A3B290C2E546F1212A4ABAA31CBD01D0050CB32DE23067C2","10000","730","1.9986","-129.24","9870.76","-1.29","-0.65","-0.65","0.7","-1.8","-5","31.94","72","9","243.71","2.42","187.58","243.71","-0.5303","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"15","m15dvc_adx20","5","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m15dvc_adx20_continuous_2015_2020_m1.ini","m15dvc_adx20_continuous_2015_2020_m1","profiles\m15dvc_adx20.set","8EFB5CA605CE96285A15BE40FB695D8444C71FADB164D213FF370B43C1B98657","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","20.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx20_continuous_2015_2020_m1.htm","ADD00BC968E112AA5E0937E762CAA2FB92904DE7D1635C728063AA66A54F3475","10000","2191","5.9986","-414.15","9585.85","-4.14","-0.69","-0.7","0.65","-2.17","-5","29.84","191","9","488.64","4.89","483.74","488.64","-0.8476","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"16","m15dvc_adx22","6","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx22.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m15dvc_adx22_older_2015_2018_m1.ini","m15dvc_adx22_older_2015_2018_m1","profiles\m15dvc_adx22.set","DF6BD7664BA1F6D84E02F4C1B326409B3A49677690EAF3A1CD546F2A66D8FEED","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","22.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx22_older_2015_2018_m1.htm","D24091293944EFDD6D232310559A2DD84E57EAC85FF08D63203D23ED58418088","10000","1460","3.9973","-247.53","9752.47","-2.48","-0.62","-0.63","0.66","-2.29","-5","27.78","108","8","283.6","2.84","273.48","283.6","-0.8728","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"17","m15dvc_adx22","6","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx22.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m15dvc_adx22_discovery_2019_2020_m1.ini","m15dvc_adx22_discovery_2019_2020_m1","profiles\m15dvc_adx22.set","DF6BD7664BA1F6D84E02F4C1B326409B3A49677690EAF3A1CD546F2A66D8FEED","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","22.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx22_discovery_2019_2020_m1.htm","4E7426A108EA46DAEAD68D47B507CB0D740B73E915E5DF0A80784A5F1A022ED0","10000","730","1.9986","-70.45","9929.55","-0.7","-0.35","-0.35","0.81","-1.14","-3.53","32.26","62","7","216.15","2.15","150.62","216.15","-0.3259","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"18","m15dvc_adx22","6","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx22.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m15dvc_adx22_continuous_2015_2020_m1.ini","m15dvc_adx22_continuous_2015_2020_m1","profiles\m15dvc_adx22.set","DF6BD7664BA1F6D84E02F4C1B326409B3A49677690EAF3A1CD546F2A66D8FEED","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","22.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx22_continuous_2015_2020_m1.htm","2846EFD8D25EDD55B99B443633639FD88772F36A4E731BBCAD09BF2FBFE76C6C","10000","2191","5.9986","-306.93","9693.07","-3.07","-0.51","-0.52","0.71","-1.82","-5","29.59","169","9","393.68","3.94","388.78","393.68","-0.7796","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"19","m15dvc_tp150","7","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m15dvc_tp150_older_2015_2018_m1.ini","m15dvc_tp150_older_2015_2018_m1","profiles\m15dvc_tp150.set","3B8278002C5B899D55A95A27B1FCE1248220BEF04156A4F1C236690D904020DC","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","1.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_tp150_older_2015_2018_m1.htm","605492DB3CB6EB131DB7A27DDA4ED045AE524B5E80C777DA1AD996597217FD0C","10000","1460","3.9973","-306.23","9693.77","-3.06","-0.77","-0.78","0.65","-2.16","-5","32.39","142","9","323.99","3.24","317.64","323.99","-0.9452","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"20","m15dvc_tp150","7","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m15dvc_tp150_discovery_2019_2020_m1.ini","m15dvc_tp150_discovery_2019_2020_m1","profiles\m15dvc_tp150.set","3B8278002C5B899D55A95A27B1FCE1248220BEF04156A4F1C236690D904020DC","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","1.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_tp150_discovery_2019_2020_m1.htm","A3F0451F9B7C7BC072FCAA7A124C9587F8DDD7D26BA890E400F07E426E9EDBC0","10000","730","1.9986","-236.21","9763.79","-2.36","-1.18","-1.19","0.5","-3.03","-5","30.77","78","10","284.96","2.84","236.21","284.96","-0.8289","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"21","m15dvc_tp150","7","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m15dvc_tp150_continuous_2015_2020_m1.ini","m15dvc_tp150_continuous_2015_2020_m1","profiles\m15dvc_tp150.set","3B8278002C5B899D55A95A27B1FCE1248220BEF04156A4F1C236690D904020DC","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","1.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_tp150_continuous_2015_2020_m1.htm","F326FA7713673AAB12C364E43C94F037F5A66CC8FD718134F20662E530555CA7","10000","2191","5.9986","-504.74","9495.26","-5.05","-0.84","-0.86","0.6","-2.38","-5","32.55","212","10","506.94","5.07","504.74","506.94","-0.9957","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"22","m15dvc_tp250","8","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp250.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_m15dvc_tp250_older_2015_2018_m1.ini","m15dvc_tp250_older_2015_2018_m1","profiles\m15dvc_tp250.set","37DBAEAEBFE0E000432C061BBB17FCDEA766097A8C4352023BCBDCCDC514115F","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_tp250_older_2015_2018_m1.htm","9EC7176692B9314F84FFE235B97186C34F94A8ADB2E25CA82FF6DC1848E2160F","10000","1460","3.9973","-266.74","9733.26","-2.67","-0.67","-0.67","0.7","-1.88","-5","31.69","142","9","284.62","2.85","277.52","284.62","-0.9372","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"23","m15dvc_tp250","8","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp250.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_m15dvc_tp250_discovery_2019_2020_m1.ini","m15dvc_tp250_discovery_2019_2020_m1","profiles\m15dvc_tp250.set","37DBAEAEBFE0E000432C061BBB17FCDEA766097A8C4352023BCBDCCDC514115F","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_tp250_discovery_2019_2020_m1.htm","9C6B62753342953D87D0DBA3F583AEC4D247FF581BF3BDBAA9C8F78ED6D402A1","10000","730","1.9986","-155.67","9844.33","-1.56","-0.78","-0.78","0.67","-2","-5","30.77","78","10","252.29","2.51","191.57","252.29","-0.617","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
