"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PullbackEMAPeriod","PullbackLookbackBars","MinimumADX","TakeProfitR","UseSignalVolumeFilter","StopRule"
"21","m15tpb_adx22","7","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx22.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m15tpb_adx22_continuous_2015_2020_m1.ini","m15tpb_adx22_continuous_2015_2020_m1","profiles\m15tpb_adx22.set","D646F3A586F8B5FF321220A9EF7DEB2F8FF07A64D742946D20B3A5F671BEDB05","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","22.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"22","m15tpb_tp150","8","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_m15tpb_tp150_older_2015_2018_m1.ini","m15tpb_tp150_older_2015_2018_m1","profiles\m15tpb_tp150.set","A439629A124426B59C23BAC61B3142724171D24F6E70548936F17EE2984E7CB9","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.50","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"23","m15tpb_tp150","8","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_m15tpb_tp150_discovery_2019_2020_m1.ini","m15tpb_tp150_discovery_2019_2020_m1","profiles\m15tpb_tp150.set","A439629A124426B59C23BAC61B3142724171D24F6E70548936F17EE2984E7CB9","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.50","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"24","m15tpb_tp150","8","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_m15tpb_tp150_continuous_2015_2020_m1.ini","m15tpb_tp150_continuous_2015_2020_m1","profiles\m15tpb_tp150.set","A439629A124426B59C23BAC61B3142724171D24F6E70548936F17EE2984E7CB9","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.50","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"25","m15tpb_tp200","9","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_m15tpb_tp200_older_2015_2018_m1.ini","m15tpb_tp200_older_2015_2018_m1","profiles\m15tpb_tp200.set","5C5C7113BE0DE9D523F24B911CA43C2249AB777C2F8E510A9284AA4B35264A59","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","2.00","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"26","m15tpb_tp200","9","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_m15tpb_tp200_discovery_2019_2020_m1.ini","m15tpb_tp200_discovery_2019_2020_m1","profiles\m15tpb_tp200.set","5C5C7113BE0DE9D523F24B911CA43C2249AB777C2F8E510A9284AA4B35264A59","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","2.00","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"27","m15tpb_tp200","9","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_m15tpb_tp200_continuous_2015_2020_m1.ini","m15tpb_tp200_continuous_2015_2020_m1","profiles\m15tpb_tp200.set","5C5C7113BE0DE9D523F24B911CA43C2249AB777C2F8E510A9284AA4B35264A59","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","2.00","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"28","m15tpb_volume105","10","independent_m15_trend_pullback","1","discovery_model1","m15tpb_volume105.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_m15tpb_volume105_older_2015_2018_m1.ini","m15tpb_volume105_older_2015_2018_m1","profiles\m15tpb_volume105.set","EC07484C134CA5CF9A44B0B4D7707468834750046ABB0A670D4C8EA2289B2D18","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.75","true","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"29","m15tpb_volume105","10","independent_m15_trend_pullback","1","discovery_model1","m15tpb_volume105.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_m15tpb_volume105_discovery_2019_2020_m1.ini","m15tpb_volume105_discovery_2019_2020_m1","profiles\m15tpb_volume105.set","EC07484C134CA5CF9A44B0B4D7707468834750046ABB0A670D4C8EA2289B2D18","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.75","true","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"30","m15tpb_volume105","10","independent_m15_trend_pullback","1","discovery_model1","m15tpb_volume105.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_m15tpb_volume105_continuous_2015_2020_m1.ini","m15tpb_volume105_continuous_2015_2020_m1","profiles\m15tpb_volume105.set","EC07484C134CA5CF9A44B0B4D7707468834750046ABB0A670D4C8EA2289B2D18","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.75","true","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
