"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","BoxLookbackBars","MaximumBreakoutAgeBars","MinimumBoxRangeATR","MaximumBoxRangeATR","BreakRangeATR","ReclaimDepthRatio","BreakVolume","ReclaimVolume","MaximumADX","BoxOppositeTarget","MinimumTargetR","TakeProfitR","StopRule"
"11","m5fbt_b14_fixed_r200","6","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_fixed_r200.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\011_m5fbt_b14_fixed_r200_older_2015_2017_m1.ini","m5fbt_b14_fixed_r200_older_2015_2017_m1","profiles\m5fbt_b14_fixed_r200.set","C1F8E80C4E3E8A9948E4AE3EAC1A7F9B02D286B7F05496205546C5F9C6A17975","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","2.00","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"12","m5fbt_b14_fixed_r200","6","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b14_fixed_r200.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\012_m5fbt_b14_fixed_r200_discovery_2018_2020_m1.ini","m5fbt_b14_fixed_r200_discovery_2018_2020_m1","profiles\m5fbt_b14_fixed_r200.set","C1F8E80C4E3E8A9948E4AE3EAC1A7F9B02D286B7F05496205546C5F9C6A17975","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","14","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","2.00","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"13","m5fbt_b16_fixed_r125","7","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_fixed_r125.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\013_m5fbt_b16_fixed_r125_older_2015_2017_m1.ini","m5fbt_b16_fixed_r125_older_2015_2017_m1","profiles\m5fbt_b16_fixed_r125.set","F3EC31A9EF2A8C6871560AD7519202B78AC3D89EB412F31C653FC4A16C70EA1D","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.25","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"14","m5fbt_b16_fixed_r125","7","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_fixed_r125.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\014_m5fbt_b16_fixed_r125_discovery_2018_2020_m1.ini","m5fbt_b16_fixed_r125_discovery_2018_2020_m1","profiles\m5fbt_b16_fixed_r125.set","F3EC31A9EF2A8C6871560AD7519202B78AC3D89EB412F31C653FC4A16C70EA1D","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.25","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"15","m5fbt_b16_fixed_r150","8","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_fixed_r150.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\015_m5fbt_b16_fixed_r150_older_2015_2017_m1.ini","m5fbt_b16_fixed_r150_older_2015_2017_m1","profiles\m5fbt_b16_fixed_r150.set","FA3D1FEFE08DC756230D7E5A4608EC5C576933E509789120C50C46F07D9C8569","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"16","m5fbt_b16_fixed_r150","8","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_fixed_r150.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\016_m5fbt_b16_fixed_r150_discovery_2018_2020_m1.ini","m5fbt_b16_fixed_r150_discovery_2018_2020_m1","profiles\m5fbt_b16_fixed_r150.set","FA3D1FEFE08DC756230D7E5A4608EC5C576933E509789120C50C46F07D9C8569","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"17","m5fbt_b16_fixed_r200","9","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_fixed_r200.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\017_m5fbt_b16_fixed_r200_older_2015_2017_m1.ini","m5fbt_b16_fixed_r200_older_2015_2017_m1","profiles\m5fbt_b16_fixed_r200.set","65926BAC0E4EC7E35ABF5BBD5602CC9DC9ECE5A995B9D0E6901EC079CE5E5655","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","2.00","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"18","m5fbt_b16_fixed_r200","9","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b16_fixed_r200.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\018_m5fbt_b16_fixed_r200_discovery_2018_2020_m1.ini","m5fbt_b16_fixed_r200_discovery_2018_2020_m1","profiles\m5fbt_b16_fixed_r200.set","65926BAC0E4EC7E35ABF5BBD5602CC9DC9ECE5A995B9D0E6901EC079CE5E5655","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","16","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","2.00","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"19","m5fbt_b18_fixed_r125","10","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_fixed_r125.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\019_m5fbt_b18_fixed_r125_older_2015_2017_m1.ini","m5fbt_b18_fixed_r125_older_2015_2017_m1","profiles\m5fbt_b18_fixed_r125.set","35395C66F9707E1DD7B0A07FEF9EC168D1CF5E836B98DDDA25CCCCFECAEA9D31","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.25","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"20","m5fbt_b18_fixed_r125","10","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_fixed_r125.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\020_m5fbt_b18_fixed_r125_discovery_2018_2020_m1.ini","m5fbt_b18_fixed_r125_discovery_2018_2020_m1","profiles\m5fbt_b18_fixed_r125.set","35395C66F9707E1DD7B0A07FEF9EC168D1CF5E836B98DDDA25CCCCFECAEA9D31","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.25","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"21","m5fbt_b18_fixed_r150","11","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_fixed_r150.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\021_m5fbt_b18_fixed_r150_older_2015_2017_m1.ini","m5fbt_b18_fixed_r150_older_2015_2017_m1","profiles\m5fbt_b18_fixed_r150.set","CD3EAA2B951DD4BA4D6FC81066F3C6AA25D30D87AED11875762FFC3B4DC372C5","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"22","m5fbt_b18_fixed_r150","11","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_fixed_r150.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\022_m5fbt_b18_fixed_r150_discovery_2018_2020_m1.ini","m5fbt_b18_fixed_r150_discovery_2018_2020_m1","profiles\m5fbt_b18_fixed_r150.set","CD3EAA2B951DD4BA4D6FC81066F3C6AA25D30D87AED11875762FFC3B4DC372C5","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","1.50","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"23","m5fbt_b18_fixed_r200","12","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_fixed_r200.set","older_2015_2017","2015.01.01","2017.12.31","1","10000","configs\023_m5fbt_b18_fixed_r200_older_2015_2017_m1.ini","m5fbt_b18_fixed_r200_older_2015_2017_m1","profiles\m5fbt_b18_fixed_r200.set","67515AC071695A593A4A5A22E2C64B5E84089EFC2B29E75922DA61557EA87F72","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","2.00","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
"24","m5fbt_b18_fixed_r200","12","independent_m5_failed_breakout_trap","1","discovery_model1","m5fbt_b18_fixed_r200.set","discovery_2018_2020","2018.01.01","2020.12.31","1","10000","configs\024_m5fbt_b18_fixed_r200_discovery_2018_2020_m1.ini","m5fbt_b18_fixed_r200_discovery_2018_2020_m1","profiles\m5fbt_b18_fixed_r200.set","67515AC071695A593A4A5A22E2C64B5E84089EFC2B29E75922DA61557EA87F72","6774D7E94A78E985630C34EE372086BF2C8A6EA4C77690078F15641B86119D3B","5","18","4","0.80","2.50","0.45","0.15","false","false","26.0","false","1.00","2.00","M5 discovery only through 2020: both equal eras must be profitable with PF >= 1.10, DD <= 5%, and >= 100 trades each. A supported box/exit neighborhood is required before continuous, recent-data, or Model4 testing."
