"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","SetupAge","BreakBufferATR","BreakRangeATR","BreakBodyPercent","RetestToleranceATR","RetestPenetrationATR","RetestReclaimATR","TrendFilter","ADXFilter","SessionFilter","TakeProfitR","StopRule"
"11","pwbr_buffer15","4","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_buffer15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_pwbr_buffer15_discovery_2019_2020_m1.ini","pwbr_buffer15_discovery_2019_2020_m1","profiles\pwbr_buffer15.set","D95A9FBC63BFC92864373643B83D12D3FF3D956C2EA764B120296E54F233EDE3","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.15","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"12","pwbr_buffer15","4","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_buffer15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_pwbr_buffer15_continuous_2015_2020_m1.ini","pwbr_buffer15_continuous_2015_2020_m1","profiles\pwbr_buffer15.set","D95A9FBC63BFC92864373643B83D12D3FF3D956C2EA764B120296E54F233EDE3","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.15","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"13","pwbr_age4","5","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_age4.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_pwbr_age4_older_2015_2018_m1.ini","pwbr_age4_older_2015_2018_m1","profiles\pwbr_age4.set","3C360EDE732C8078FC6AFA1E774802880433D275053179E0ACF08B4336A2CA8F","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","4","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"14","pwbr_age4","5","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_age4.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_pwbr_age4_discovery_2019_2020_m1.ini","pwbr_age4_discovery_2019_2020_m1","profiles\pwbr_age4.set","3C360EDE732C8078FC6AFA1E774802880433D275053179E0ACF08B4336A2CA8F","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","4","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"15","pwbr_age4","5","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_age4.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_pwbr_age4_continuous_2015_2020_m1.ini","pwbr_age4_continuous_2015_2020_m1","profiles\pwbr_age4.set","3C360EDE732C8078FC6AFA1E774802880433D275053179E0ACF08B4336A2CA8F","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","4","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"16","pwbr_age12","6","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_age12.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_pwbr_age12_older_2015_2018_m1.ini","pwbr_age12_older_2015_2018_m1","profiles\pwbr_age12.set","60F1D7BB02A019152BA4217068823F7AD19C5003D3C76BC0CD8A89BC470D4F55","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","12","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"17","pwbr_age12","6","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_age12.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_pwbr_age12_discovery_2019_2020_m1.ini","pwbr_age12_discovery_2019_2020_m1","profiles\pwbr_age12.set","60F1D7BB02A019152BA4217068823F7AD19C5003D3C76BC0CD8A89BC470D4F55","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","12","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"18","pwbr_age12","6","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_age12.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_pwbr_age12_continuous_2015_2020_m1.ini","pwbr_age12_continuous_2015_2020_m1","profiles\pwbr_age12.set","60F1D7BB02A019152BA4217068823F7AD19C5003D3C76BC0CD8A89BC470D4F55","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","12","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"19","pwbr_retest_tight","7","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_retest_tight.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_pwbr_retest_tight_older_2015_2018_m1.ini","pwbr_retest_tight_older_2015_2018_m1","profiles\pwbr_retest_tight.set","A90F306E02B2848D51805212076A94A1F17E4D3C52FDC76BF0A31FE07C2F9A36","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.10","0.25","0.05","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"20","pwbr_retest_tight","7","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_retest_tight.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_pwbr_retest_tight_discovery_2019_2020_m1.ini","pwbr_retest_tight_discovery_2019_2020_m1","profiles\pwbr_retest_tight.set","A90F306E02B2848D51805212076A94A1F17E4D3C52FDC76BF0A31FE07C2F9A36","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.10","0.25","0.05","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"21","pwbr_retest_tight","7","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_retest_tight.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_pwbr_retest_tight_continuous_2015_2020_m1.ini","pwbr_retest_tight_continuous_2015_2020_m1","profiles\pwbr_retest_tight.set","A90F306E02B2848D51805212076A94A1F17E4D3C52FDC76BF0A31FE07C2F9A36","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.10","0.25","0.05","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"22","pwbr_retest_loose","8","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_retest_loose.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_pwbr_retest_loose_older_2015_2018_m1.ini","pwbr_retest_loose_older_2015_2018_m1","profiles\pwbr_retest_loose.set","B53C9BDCD4DA69E80FA6A829BAEB1926BA4CC745AC561E7B8BBE22FCCAE812C7","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.30","0.50","0.00","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"23","pwbr_retest_loose","8","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_retest_loose.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_pwbr_retest_loose_discovery_2019_2020_m1.ini","pwbr_retest_loose_discovery_2019_2020_m1","profiles\pwbr_retest_loose.set","B53C9BDCD4DA69E80FA6A829BAEB1926BA4CC745AC561E7B8BBE22FCCAE812C7","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.30","0.50","0.00","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"24","pwbr_retest_loose","8","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_retest_loose.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_pwbr_retest_loose_continuous_2015_2020_m1.ini","pwbr_retest_loose_continuous_2015_2020_m1","profiles\pwbr_retest_loose.set","B53C9BDCD4DA69E80FA6A829BAEB1926BA4CC745AC561E7B8BBE22FCCAE812C7","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.30","0.50","0.00","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"25","pwbr_volume_both","9","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_volume_both.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_pwbr_volume_both_older_2015_2018_m1.ini","pwbr_volume_both_older_2015_2018_m1","profiles\pwbr_volume_both.set","61C03FA4B8681F58B91C091D266226E6E9292205CE27EBECFDEB5A04B6BF8B7D","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"26","pwbr_volume_both","9","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_volume_both.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_pwbr_volume_both_discovery_2019_2020_m1.ini","pwbr_volume_both_discovery_2019_2020_m1","profiles\pwbr_volume_both.set","61C03FA4B8681F58B91C091D266226E6E9292205CE27EBECFDEB5A04B6BF8B7D","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"27","pwbr_volume_both","9","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_volume_both.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_pwbr_volume_both_continuous_2015_2020_m1.ini","pwbr_volume_both_continuous_2015_2020_m1","profiles\pwbr_volume_both.set","61C03FA4B8681F58B91C091D266226E6E9292205CE27EBECFDEB5A04B6BF8B7D","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"28","pwbr_no_trend","10","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_no_trend.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_pwbr_no_trend_older_2015_2018_m1.ini","pwbr_no_trend_older_2015_2018_m1","profiles\pwbr_no_trend.set","430D4B1DA79459DBF2D7F46F3A258CC107107DF8D7977BB9C647F687DFC6780F","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","false","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"29","pwbr_no_trend","10","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_no_trend.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_pwbr_no_trend_discovery_2019_2020_m1.ini","pwbr_no_trend_discovery_2019_2020_m1","profiles\pwbr_no_trend.set","430D4B1DA79459DBF2D7F46F3A258CC107107DF8D7977BB9C647F687DFC6780F","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","false","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"30","pwbr_no_trend","10","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_no_trend.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_pwbr_no_trend_continuous_2015_2020_m1.ini","pwbr_no_trend_continuous_2015_2020_m1","profiles\pwbr_no_trend.set","430D4B1DA79459DBF2D7F46F3A258CC107107DF8D7977BB9C647F687DFC6780F","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","false","false","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"31","pwbr_adx18","11","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_adx18.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_pwbr_adx18_older_2015_2018_m1.ini","pwbr_adx18_older_2015_2018_m1","profiles\pwbr_adx18.set","1D59D17BEEB4B7CB78E09794BF3BC2A9B9E20FABB6A81F03E4AF01BBE777B0C0","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","true","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"32","pwbr_adx18","11","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_adx18.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_pwbr_adx18_discovery_2019_2020_m1.ini","pwbr_adx18_discovery_2019_2020_m1","profiles\pwbr_adx18.set","1D59D17BEEB4B7CB78E09794BF3BC2A9B9E20FABB6A81F03E4AF01BBE777B0C0","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","true","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"33","pwbr_adx18","11","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_adx18.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_pwbr_adx18_continuous_2015_2020_m1.ini","pwbr_adx18_continuous_2015_2020_m1","profiles\pwbr_adx18.set","1D59D17BEEB4B7CB78E09794BF3BC2A9B9E20FABB6A81F03E4AF01BBE777B0C0","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","true","true","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"34","pwbr_session_off","12","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_session_off.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_pwbr_session_off_older_2015_2018_m1.ini","pwbr_session_off_older_2015_2018_m1","profiles\pwbr_session_off.set","F85843F1CB889D28D796BB36580B40D11472E8BE7C79665E617935CA17B1DD8C","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","false","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"35","pwbr_session_off","12","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_session_off.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_pwbr_session_off_discovery_2019_2020_m1.ini","pwbr_session_off_discovery_2019_2020_m1","profiles\pwbr_session_off.set","F85843F1CB889D28D796BB36580B40D11472E8BE7C79665E617935CA17B1DD8C","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","false","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"36","pwbr_session_off","12","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_session_off.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_pwbr_session_off_continuous_2015_2020_m1.ini","pwbr_session_off_continuous_2015_2020_m1","profiles\pwbr_session_off.set","F85843F1CB889D28D796BB36580B40D11472E8BE7C79665E617935CA17B1DD8C","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","false","2.00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"37","pwbr_rr15","13","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_rr15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_pwbr_rr15_older_2015_2018_m1.ini","pwbr_rr15_older_2015_2018_m1","profiles\pwbr_rr15.set","8A26AAC92C37276F1A746308FD79585A785F6CD36B7DF80DF8605876AD7D9894","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","1.50","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"38","pwbr_rr15","13","independent_h1_prevweek_break_retest","1","discovery_model1","pwbr_rr15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_pwbr_rr15_discovery_2019_2020_m1.ini","pwbr_rr15_discovery_2019_2020_m1","profiles\pwbr_rr15.set","8A26AAC92C37276F1A746308FD79585A785F6CD36B7DF80DF8605876AD7D9894","1A5799C5829D0E7108F60CBB331EB98BE39DACD0422C592020B6973C17147F26","16385","8","0.08","0.70","40.0","0.20","0.35","0.02","true","false","true","1.50","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
