"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"11","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\011_tlat_rc2_decomp_atb150_recent_2023_2026_m4.ini","tlat_rc2_decomp_atb150_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb150_recent_2023_2026_m4","FDDBBBD8FA91749AF4B258B2B320E2CE315B3D90C538CB03FADE97CBD5B88A3F","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"12","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\012_tlat_rc2_decomp_atb150_continuous_2015_2026_m4.ini","tlat_rc2_decomp_atb150_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_atb150_continuous_2015_2026_m4","757D2149B53DD473323C2259387C26D3412189556C0CE07A8FFEDD74CF01C57B","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"13","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\013_tlat_rc2_decomp_mo125_older_2015_2018_m4.ini","tlat_rc2_decomp_mo125_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_mo125_older_2015_2018_m4","1DA041338F831D07C456C95BF0DF5AA8124D84463014E36C407472C8E4C960F5","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"14","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\014_tlat_rc2_decomp_mo125_middle_2019_2022_m4.ini","tlat_rc2_decomp_mo125_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_mo125_middle_2019_2022_m4","A59A6D269F02E3B083621688C4C350961BD897523A591DD052E26D0C81206729","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"15","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\015_tlat_rc2_decomp_mo125_recent_2023_2026_m4.ini","tlat_rc2_decomp_mo125_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_mo125_recent_2023_2026_m4","F71FA7FB97F262E71FC157065BBBA178090E17386BB60DC6E8087E6025901141","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"16","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\016_tlat_rc2_decomp_mo125_continuous_2015_2026_m4.ini","tlat_rc2_decomp_mo125_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_mo125_continuous_2015_2026_m4","940BB8AE30233B50B3D146886B955D36640115079DF2A5D1F29F1AF40DA1B367","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"17","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","4","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\017_tlat_rc2_decomp_rv125_older_2015_2018_m4.ini","tlat_rc2_decomp_rv125_older_2015_2018_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_rv125_older_2015_2018_m4","3C6A52BE0863A8FAF7CA0A8821C4C47CF7B8A3CF1021A3624FEAAAA61377A046","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
"18","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","4","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\018_tlat_rc2_decomp_rv125_middle_2019_2022_m4.ini","tlat_rc2_decomp_rv125_middle_2019_2022_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_rv125_middle_2019_2022_m4","DFA4124750611312A2E6F13E2A1BACD19A58B29C70712DA7E520EE2EFC9C78E6","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
"19","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","4","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\019_tlat_rc2_decomp_rv125_recent_2023_2026_m4.ini","tlat_rc2_decomp_rv125_recent_2023_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_rv125_recent_2023_2026_m4","F619F788C0E160D7431A726FCF3FE78A9CDF8AB3D6D8A375246AACB779ACE9F7","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
"20","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","4","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\configs\020_tlat_rc2_decomp_rv125_continuous_2015_2026_m4.ini","tlat_rc2_decomp_rv125_continuous_2015_2026_m4","outputs\three_lane_trade_ready_rc2_growth_decomp_model4_package\reports_here\tlat_rc2_decomp_rv125_continuous_2015_2026_m4","103A630A32D45D685AFC47C5BFA59DE11E7E79C46FE7060A8E3590ED9B691C32","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
