"Rank","Profile","Phase","Set","Window","Config","Passed","FailedChecks","Sha256"
"12","tp38_sl18","phase1_fast_triage","opportunity","2025_Q1","outputs\next_test_handoff\configs\012_tp38_sl18_opportunity_2025_Q1_phase1_fast_triage.ini","True","","3845E216CBEEDE39E45BC26472EC4B9F56F19398F148326A64813167C78FD2C7"
"13","tp38_sl18","phase1_fast_triage","opportunity","2026_Q2","outputs\next_test_handoff\configs\013_tp38_sl18_opportunity_2026_Q2_phase1_fast_triage.ini","True","","66CC2673DE147B4138B7C203E81BB7AB0025FA293961A9AFFF889D7875BBA4EC"
"14","giveback25_tp38","phase1_fast_triage","stress","2024_Q1","outputs\next_test_handoff\configs\014_giveback25_tp38_stress_2024_Q1_phase1_fast_triage.ini","True","","D9659D441B2CADAD3674BAEDC7E74F452CAC79852AF0F243DF39B7E2719DA08C"
"15","giveback25_tp38","phase1_fast_triage","stress","2024_Q3","outputs\next_test_handoff\configs\015_giveback25_tp38_stress_2024_Q3_phase1_fast_triage.ini","True","","28F2011E18CE0425D14D42A5C1D4B2E2D23A036FD0C2500E0A4E3CA91B675857"
"16","giveback25_tp38","phase1_fast_triage","stress","2025_Q2","outputs\next_test_handoff\configs\016_giveback25_tp38_stress_2025_Q2_phase1_fast_triage.ini","True","","3EF1B16135F4E3199CE5C06E0401FA59A9449EDCB0CF306ED6352B90E20701BA"
"17","giveback25_tp38","phase1_fast_triage","stress","2025_Q3","outputs\next_test_handoff\configs\017_giveback25_tp38_stress_2025_Q3_phase1_fast_triage.ini","True","","4B6ABBA258FB9D700737E0DEA95E8F09B203EE2D218F9CAC423BA9F3AABFED51"
"18","giveback35_tp38","phase1_fast_triage","stress","2024_Q1","outputs\next_test_handoff\configs\018_giveback35_tp38_stress_2024_Q1_phase1_fast_triage.ini","True","","0584673A7A4E2C256763B333A8C8D67EE9C4AA70A4BC990ACD4A45DD8A1CA946"
"19","giveback35_tp38","phase1_fast_triage","stress","2024_Q3","outputs\next_test_handoff\configs\019_giveback35_tp38_stress_2024_Q3_phase1_fast_triage.ini","True","","985A001EA9114FDFF374FBE6DADD7E4D44027DF420620EC1CB994DFFB6275189"
"20","giveback35_tp38","phase1_fast_triage","stress","2025_Q2","outputs\next_test_handoff\configs\020_giveback35_tp38_stress_2025_Q2_phase1_fast_triage.ini","True","","D458B30F5AE1D503BB941736B515E28B38277B548AB1F6733E59EE1632FFCAD6"
"21","giveback35_tp38","phase1_fast_triage","stress","2025_Q3","outputs\next_test_handoff\configs\021_giveback35_tp38_stress_2025_Q3_phase1_fast_triage.ini","True","","361DBCF08F4163C892918B07DBCA63A46A8C5C6370D4D26F5873E43F50ADBDE4"
"22","baseline_promoted","phase1_fast_triage","opportunity","2024_Q4","outputs\next_test_handoff\configs\022_baseline_promoted_opportunity_2024_Q4_phase1_fast_triage.ini","True","","C9593134CED8A0626CA171DB4533ECCAA0150D9CA1FEEB0AF665A4315465F5EC"
"23","baseline_promoted","phase1_fast_triage","opportunity","2025_Q1","outputs\next_test_handoff\configs\023_baseline_promoted_opportunity_2025_Q1_phase1_fast_triage.ini","True","","A515008991A85EE81120EBE5AA678702521D91ECB849756EE563ED8A362DB23D"
"24","baseline_promoted","phase1_fast_triage","opportunity","2026_Q2","outputs\next_test_handoff\configs\024_baseline_promoted_opportunity_2026_Q2_phase1_fast_triage.ini","True","","D8B4E7AB727521CED187B165208FA79417D097A1ADE1F6A842E380C9A1084CF7"
