"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","EntryLookback","ExitLookback","EMAFilter","FixedTakeProfit","TakeProfitR","SessionFilter","StopLookback","MaxStopATR","MaxStopPriceDistance","StopRule"
"13","m30sc_48_24_tp25","5","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m30sc_48_24_tp25_older_2015_2018_m1.ini","m30sc_48_24_tp25_older_2015_2018_m1","profiles\m30sc_48_24_tp25.set","042EA393B16E7A45CCD6ACE9240C92CE8FDC7224249F4523975AB870C82E4CF9","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.50","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"14","m30sc_48_24_tp25","5","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m30sc_48_24_tp25_discovery_2019_2020_m1.ini","m30sc_48_24_tp25_discovery_2019_2020_m1","profiles\m30sc_48_24_tp25.set","042EA393B16E7A45CCD6ACE9240C92CE8FDC7224249F4523975AB870C82E4CF9","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.50","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"15","m30sc_48_24_tp25","5","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m30sc_48_24_tp25_continuous_2015_2020_m1.ini","m30sc_48_24_tp25_continuous_2015_2020_m1","profiles\m30sc_48_24_tp25.set","042EA393B16E7A45CCD6ACE9240C92CE8FDC7224249F4523975AB870C82E4CF9","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.50","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"16","m30sc_48_24_channel","6","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_channel.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m30sc_48_24_channel_older_2015_2018_m1.ini","m30sc_48_24_channel_older_2015_2018_m1","profiles\m30sc_48_24_channel.set","5B43DF8EF62E5EBDB543BD5E84133D7807C2111A142C85D440354934FBCD5BDD","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","false","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"17","m30sc_48_24_channel","6","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_channel.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m30sc_48_24_channel_discovery_2019_2020_m1.ini","m30sc_48_24_channel_discovery_2019_2020_m1","profiles\m30sc_48_24_channel.set","5B43DF8EF62E5EBDB543BD5E84133D7807C2111A142C85D440354934FBCD5BDD","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","false","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"18","m30sc_48_24_channel","6","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_channel.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m30sc_48_24_channel_continuous_2015_2020_m1.ini","m30sc_48_24_channel_continuous_2015_2020_m1","profiles\m30sc_48_24_channel.set","5B43DF8EF62E5EBDB543BD5E84133D7807C2111A142C85D440354934FBCD5BDD","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","false","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"19","m30sc_48_24_session","7","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_session.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m30sc_48_24_session_older_2015_2018_m1.ini","m30sc_48_24_session_older_2015_2018_m1","profiles\m30sc_48_24_session.set","B389E7C152D80ACBDE358DC6A3430B49FB64CA36973EF711B0F819AB9AF75805","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","true","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"20","m30sc_48_24_session","7","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_session.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m30sc_48_24_session_discovery_2019_2020_m1.ini","m30sc_48_24_session_discovery_2019_2020_m1","profiles\m30sc_48_24_session.set","B389E7C152D80ACBDE358DC6A3430B49FB64CA36973EF711B0F819AB9AF75805","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","true","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"21","m30sc_48_24_session","7","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_session.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m30sc_48_24_session_continuous_2015_2020_m1.ini","m30sc_48_24_session_continuous_2015_2020_m1","profiles\m30sc_48_24_session.set","B389E7C152D80ACBDE358DC6A3430B49FB64CA36973EF711B0F819AB9AF75805","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","true","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"22","m30sc_48_24_noema","8","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_noema.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_m30sc_48_24_noema_older_2015_2018_m1.ini","m30sc_48_24_noema_older_2015_2018_m1","profiles\m30sc_48_24_noema.set","EDFDB832CF9E5E1E0E30960E15652B8A9EAE327C4E8B1740674458915E44C297","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","false","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"23","m30sc_48_24_noema","8","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_noema.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_m30sc_48_24_noema_discovery_2019_2020_m1.ini","m30sc_48_24_noema_discovery_2019_2020_m1","profiles\m30sc_48_24_noema.set","EDFDB832CF9E5E1E0E30960E15652B8A9EAE327C4E8B1740674458915E44C297","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","false","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"24","m30sc_48_24_noema","8","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_noema.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_m30sc_48_24_noema_continuous_2015_2020_m1.ini","m30sc_48_24_noema_continuous_2015_2020_m1","profiles\m30sc_48_24_noema.set","EDFDB832CF9E5E1E0E30960E15652B8A9EAE327C4E8B1740674458915E44C297","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","false","true","2.00","false","3","2.00","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"25","m30sc_48_24_stop2_d8","9","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop2_d8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_m30sc_48_24_stop2_d8_older_2015_2018_m1.ini","m30sc_48_24_stop2_d8_older_2015_2018_m1","profiles\m30sc_48_24_stop2_d8.set","75BAB15CA27037CD917C8A2822007575C1110E4F56B72EFBCED2B6B952C481F5","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","2","1.75","8.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"26","m30sc_48_24_stop2_d8","9","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop2_d8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_m30sc_48_24_stop2_d8_discovery_2019_2020_m1.ini","m30sc_48_24_stop2_d8_discovery_2019_2020_m1","profiles\m30sc_48_24_stop2_d8.set","75BAB15CA27037CD917C8A2822007575C1110E4F56B72EFBCED2B6B952C481F5","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","2","1.75","8.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"27","m30sc_48_24_stop2_d8","9","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop2_d8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_m30sc_48_24_stop2_d8_continuous_2015_2020_m1.ini","m30sc_48_24_stop2_d8_continuous_2015_2020_m1","profiles\m30sc_48_24_stop2_d8.set","75BAB15CA27037CD917C8A2822007575C1110E4F56B72EFBCED2B6B952C481F5","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","2","1.75","8.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"28","m30sc_48_24_stop5","10","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop5.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_m30sc_48_24_stop5_older_2015_2018_m1.ini","m30sc_48_24_stop5_older_2015_2018_m1","profiles\m30sc_48_24_stop5.set","49EDD6BE92C5B056C3F7C8BA04FEFACB51E1668E17FCE1AFAE645FF69F190D90","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","5","2.25","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"29","m30sc_48_24_stop5","10","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop5.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_m30sc_48_24_stop5_discovery_2019_2020_m1.ini","m30sc_48_24_stop5_discovery_2019_2020_m1","profiles\m30sc_48_24_stop5.set","49EDD6BE92C5B056C3F7C8BA04FEFACB51E1668E17FCE1AFAE645FF69F190D90","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","5","2.25","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"30","m30sc_48_24_stop5","10","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop5.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_m30sc_48_24_stop5_continuous_2015_2020_m1.ini","m30sc_48_24_stop5_continuous_2015_2020_m1","profiles\m30sc_48_24_stop5.set","49EDD6BE92C5B056C3F7C8BA04FEFACB51E1668E17FCE1AFAE645FF69F190D90","4A524A8C6565B669FE9D68E84B4EE9B8C2AEAB49E0A7173FE6750A930B4594BB","30","48","24","true","true","2.00","false","5","2.25","10.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
