"PositionIdentifier","EntryTime","ExitTime","Year","TrainingSplit","Side","InitialVolume","ExitVolume","ExitDeals","EntryPrice","InitialStop","InitialRiskMoney","Profit","RiskR","HoldHours","BreakoutATR","BodyRatio","CloseLocation","RangeATR","ExpansionRatio","ChannelWidthATR","SqueezeRangeATR","TickVolumeRatio","ATRPercent","ADX","TrendDistanceATR","TrendSlopeATR","SqueezeRatioMean","SqueezeRatioMax","StopATR"
"140","2016-07-12T12:45:00.0000000","2016-07-12T13:26:40.0000000","2016","training_2015_2016","sell","0.06","0.06","1","1352","1353.63","9.78","-9.78","-1","0.6944","0.48216","0.4","0.709524","1.350048","1.25498","3.008679","1.075753","1.539407","0.115053","27.314282","2.958789","0.045273","0.79913","0.850961","1.045034"
"142","2016-07-19T08:45:00.0000000","2016-07-19T09:20:40.0000000","2016","training_2015_2016","sell","0.07","0.07","1","1328.17","1329.58","9.87","-9.87","-1","0.5944","0.428182","0.554286","0.777143","1.362398","2.734375","1.603737","0.498248","1.528601","0.096718","18.387041","4.594401","0.229036","0.896278","0.932935","1.096497"
"144","2016-07-20T09:00:00.0000000","2016-07-20T10:30:40.0000000","2016","training_2015_2016","sell","0.06","0.06","2","1329.81","1331.5","10.14","25.82","2.546351","1.5111","0.716672","0.657143","0.72381","1.275433","2.571429","1.603401","0.496002","1.494655","0.123814","21.243303","2.001602","0.059889","0.609245","0.648121","1.029244"
"153","2016-08-08T09:30:00.0000000","2016-08-08T10:41:20.0000000","2016","training_2015_2016","sell","0.07","0.07","2","1334.82","1336.15","9.31","13.47","1.446831","1.1889","0.411067","0.75","0.762821","1.233202","1.314607","2.252964","0.938076","1.395898","0.094769","26.050971","12.389007","0.651485","0.775392","0.921591","1.048617"
"162","2016-09-01T07:15:00.0000000","2016-09-01T07:30:40.0000000","2016","training_2015_2016","sell","0.16","0.16","1","1309.35","1309.98","10.08","-10.08","-1","0.2611","0.103725","0.671875","0.8125","0.603489","1.136095","1.951909","0.531196","0.740794","0.080994","16.509148","8.143965","0.446864","0.687938","0.709799","0.590335"
"170","2016-09-29T08:30:00.0000000","2016-09-29T09:16:40.0000000","2016","training_2015_2016","sell","0.13","0.13","2","1323.39","1324.18","10.27","15.17","1.477118","0.7778","0.616997","0.67","0.77","1.164144","1.304348","1.559953","0.892511","0.860167","0.064912","26.332376","6.089089","0.282259","0.810445","0.833164","0.914901"
"175","2016-10-12T13:45:00.0000000","2016-10-12T14:59:20.0000000","2016","training_2015_2016","sell","0.11","0.11","2","1254.93","1255.83","9.9","14.4","1.454545","1.2389","0.057252","0.732673","0.792079","0.96374","1.429245","1.431298","0.6743","0.745347","0.083511","18.342392","6.900586","0.393129","0.726937","0.753601","0.863359"
"188","2016-11-23T14:00:00.0000000","2016-11-23T14:59:40.0000000","2016","training_2015_2016","sell","0.07","0.07","2","1211.12","1212.58","10.22","14.94","1.46184","0.9944","0.121689","0.736486","0.858108","1.059413","1.436893","1.524696","0.737294","0.720895","0.115343","17.547599","3.916572","0.207781","0.833225","0.840704","1.044882"
"191","2016-11-25T17:30:00.0000000","2016-11-25T19:54:40.0000000","2016","training_2015_2016","sell","0.04","0.04","2","1184.71","1186.95","8.96","16.03","1.789062","2.4111","0.225299","0.682432","0.685811","1.389345","1.132653","2.605022","1.226629","1.026146","0.179833","19.290707","6.368981","0.330981","0.679646","0.728678","1.052828"
"194","2016-11-30T11:30:00.0000000","2016-11-30T12:05:40.0000000","2016","training_2015_2016","sell","0.05","0.05","1","1185.97","1187.8","9.15","-9.15","-1","0.5944","0.288462","0.760766","0.803828","1.339744","1.115658","2.314103","1.200855","2.143729","0.131539","28.641387","3.981905","0.142503","0.710241","0.736141","1.170513"
"196","2016-12-07T07:00:00.0000000","2016-12-07T07:47:40.0000000","2016","training_2015_2016","sell","0.11","0.11","2","1167.87","1168.77","9.9","20.32","2.052525","0.7944","0.503408","0.578431","0.77451","1.069743","1.372197","1.541689","0.779584","1.274558","0.081644","24.492459","5.811195","0.295641","0.693835","0.718534","0.939014"
"202","2016-12-14T15:15:00.0000000","2016-12-14T15:30:20.0000000","2016","training_2015_2016","sell","0.08","0.08","1","1160.35","1161.55","9.6","-9.6","-1","0.2556","0.664024","0.709677","0.895161","1.22894","1.196141","1.942517","1.02742","1.464744","0.086957","27.379734","2.5336","0.062171","0.796248","0.862903","1.190188"
"210","2016-12-22T06:30:00.0000000","2016-12-22T07:08:40.0000000","2016","training_2015_2016","sell","0.12","0.12","1","1130.02","1130.84","9.84","-9.84","-1","0.6444","0.701565","0.831325","0.879518","0.895845","1.33871","1.672963","0.669185","1.543169","0.08199","19.282075","6.912808","0.318721","0.557186","0.58196","0.887911"
"215","2017-01-11T07:30:00.0000000","2017-01-11T09:00:40.0000000","2017","training_2017_2018","buy","0.09","0.09","2","1188.8","1187.65","10.35","17.23","1.664734","1.5111","0.084467","0.45098","0.72549","0.957297","1.514851","1.501642","0.631941","0.878389","0.089651","20.871161","10.020145","0.563553","0.636974","0.666448","1.076068"
"232","2017-02-23T07:00:00.0000000","2017-02-23T07:24:20.0000000","2017","training_2017_2018","buy","0.12","0.12","1","1237.78","1236.91","10.44","-10.44","-1","0.4056","0.271739","0.784314","0.980392","0.692935","1.29661","1.399457","0.53442","0.681662","0.059476","19.357943","3.101791","0.1455","0.591411","0.617552","1.186957"
"241","2017-03-09T06:00:00.0000000","2017-03-09T07:03:40.0000000","2017","training_2017_2018","sell","0.13","0.13","2","1206.51","1207.29","10.14","22.01","2.170611","1.0611","0.409066","0.744186","0.77907","0.950802","1.72","1.227197","0.552792","1.520546","0.074967","14.579918","17.663278","1.06722","0.683904","0.719556","0.862852"
"259","2017-03-31T12:45:00.0000000","2017-03-31T12:58:40.0000000","2017","training_2017_2018","sell","0.14","0.14","1","1241.8","1242.55","10.5","-10.5","-1","0.2278","0.390371","0.697674","0.802326","1.119063","1.283582","1.613533","0.871828","0.860261","0.061887","17.174816","8.248916","0.426288","0.607575","0.775237","0.971828"
"263","2017-04-24T14:45:00.0000000","2017-04-24T15:24:40.0000000","2017","training_2017_2018","sell","0.09","0.09","2","1270.31","1271.42","9.99","19.23","1.924925","0.6611","0.412148","0.359155","0.78169","1.54013","1.760331","1.659436","0.87491","0.672368","0.072586","18.304839","10.168795","0.560464","0.572568","0.615682","1.206291"
"292","2017-08-15T13:15:00.0000000","2017-08-15T13:15:40.0000000","2017","training_2017_2018","sell","0.12","0.12","1","1273.18","1274.05","10.44","-10.44","-1","0.0111","0.528376","0.987013","1","0.753425","1.276243","1.604697","0.590346","0.713523","0.080271","23.150457","5.321882","0.255341","0.633214","0.64814","0.853425"
"304","2017-09-18T15:00:00.0000000","2017-09-18T15:31:40.0000000","2017","training_2017_2018","sell","0.08","0.08","2","1313.24","1314.44","9.6","14.76","1.5375","0.5278","0.556439","0.751724","0.751724","1.152623","1.279412","1.486486","0.900901","1.099529","0.095795","25.381816","9.329355","0.519363","0.659924","0.683168","0.950556"
"313","2017-09-28T07:00:00.0000000","2017-09-28T09:10:40.0000000","2017","training_2017_2018","sell","0.1","0.1","2","1281.1","1282.16","10.6","15.44","1.456604","2.1778","0.817204","0.609589","0.678082","1.569892","1.42671","2.193548","1.100358","1.97277","0.072595","25.947436","15.676617","0.877767","0.688655","0.811254","1.143011"
"316","2017-09-29T15:15:00.0000000","2017-09-29T15:30:40.0000000","2017","training_2017_2018","sell","0.09","0.09","1","1286.41","1287.55","10.26","-10.26","-1","0.2611","0.098965","0.602837","0.695035","1.268556","1.424242","2.94197","0.890688","0.791586","0.0864","25.567775","4.0059","0.153751","0.798343","0.807068","1.026676"
"332","2017-11-30T07:45:00.0000000","2017-11-30T08:00:40.0000000","2017","training_2017_2018","sell","0.22","0.22","1","1283.64","1284.11","10.34","-10.34","-1","0.2611","0.119149","0.683333","0.683333","1.021277","1.417323","1.378723","0.720567","0.938862","0.045768","24.535069","10.699032","0.608059","0.767185","0.771312","0.797872"
"336","2017-12-06T13:45:00.0000000","2017-12-06T14:00:40.0000000","2017","training_2017_2018","sell","0.17","0.17","1","1267.38","1267.99","10.37","-10.37","-1","0.2611","0.136333","0.676923","0.815385","0.886162","1.203704","2.235855","0.736196","0.748731","0.057875","21.850378","9.849131","0.574351","0.640267","0.647445","0.836196"
"368","2018-02-07T12:00:00.0000000","2018-02-07T14:20:20.0000000","2018","training_2017_2018","sell","0.09","0.09","2","1328.61","1329.8","10.71","27.27","2.546218","2.3389","0.247855","0.709402","0.931624","1.115348","1.314607","2.21163","0.848427","0.957531","0.078955","19.787808","7.257988","0.389221","0.918659","0.977112","1.139085"
"371","2018-02-13T06:00:00.0000000","2018-02-13T06:31:40.0000000","2018","training_2017_2018","buy","0.12","0.12","2","1324.14","1323.27","10.44","17.31","1.658046","0.5278","0.217729","0.552941","0.705882","0.881286","1.613924","1.544842","0.546051","0.993676","0.072849","19.943767","1.61496","0.064943","0.603153","0.621687","0.898341"
"382","2018-02-19T12:45:00.0000000","2018-02-19T14:35:40.0000000","2018","training_2017_2018","buy","0.09","0.09","1","1348.34","1347.21","10.17","-10.17","-1","1.8444","0.077071","0.588889","0.955556","0.867052","1.398964","1.666667","0.619782","0.636442","0.076993","16.020291","3.000741","0.144438","0.645846","0.675108","1.092293"
"388","2018-03-14T14:00:00.0000000","2018-03-14T14:23:40.0000000","2018","training_2017_2018","buy","0.09","0.09","1","1326.28","1325.16","10.08","0.99","0.098214","0.3944","0.039761","0.745763","0.771186","1.172962","1.315985","2.147117","0.891319","0.945643","0.075858","19.08156","2.582398","0.11249","0.697008","0.711373","1.113917"
"390","2018-03-20T07:15:00.0000000","2018-03-20T07:38:40.0000000","2018","training_2017_2018","sell","0.13","0.13","1","1314.83","1315.63","10.4","-10.4","-1","0.3944","0.535714","0.827586","0.827586","1.294643","1.395722","2.157738","0.927579","0.901043","0.051109","27.631404","4.279774","0.14044","0.754815","0.843861","1.18631"
"418","2018-06-04T07:45:00.0000000","2018-06-04T08:47:40.0000000","2018","training_2017_2018","sell","0.14","0.14","2","1292.7","1293.48","10.92","22.82","2.089744","1.0444","0.180932","0.930556","0.972222","1.002088","1.180328","1.433542","0.848991","0.727089","0.055581","24.347474","7.910154","0.444196","0.484272","0.554584","1.08817"
"434","2018-06-28T08:00:00.0000000","2018-06-28T08:45:40.0000000","2018","training_2017_2018","sell","0.17","0.17","1","1251.98","1252.61","10.71","1.02","0.095238","0.7611","0.307692","0.508772","0.982456","0.762542","1.276119","1.645485","0.597547","0.559272","0.059705","32.772651","12.942851","0.742107","0.690796","0.727901","0.849164"
