"Window","EntryTime","ExitTime","Year","Month","MonthName","Ticket","Bias","Lane","EntryReason","ExitReason","Volume","EntryPrice","ExitPrice","EntryRR","RealizedR","Profit","EntryATR","EntrySpread","MaxFavorableR","MaxAdverseR","HeldBars","IsWin"
"2023_full","2023-05-03 08:15:00","2023-05-03 08:50:20","2023","5","2023-05","10","buy","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","sl 2014.64","0.13","2016.51","2014.64","2.18","-10.02","-24.31","1.16","8","-0.04","-0.26","2","0"
"2023_full","2023-05-04 07:00:00","2023-05-04 09:08:40","2023","5","2023-05","12","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 2040.79","0.06","2040.98","2040.79","3.14","-0.51","-1.14","3.33","8","1.04","0.37","8","0"
"2023_full","2023-05-08 08:00:00","2023-05-08 09:15:00","2023","5","2023-05","14","sell","DiagnosticFallback","Diagnostic trend fallback;","","0.14","2023.75","2022.58","3.24","6.81","16.38","1.59","7","1.59","0.31","5","1"
"2023_full","2023-05-09 10:30:00","2023-05-09 11:21:40","2023","5","2023-05","16","buy","LiquiditySweep","Liquidity sweep;","sl 2021.61","0.13","2022.86","2021.61","3.24","-6.52","-16.25","1.78","7","0.94","0.62","3","0"
"2023_full","2023-08-03 07:30:00","2023-08-03 10:06:40","2023","8","2023-08","18","sell","DiagnosticFallback","Diagnostic trend fallback;","tp 1931.97","0.1","1936.89","1931.97","2.01","20.12","49.2","1.4","8","1.34","0.67","10","1"
"2023_full","2023-08-04 07:00:00","2023-08-04 08:28:40","2023","8","2023-08","20","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1936.20","0.07","1935.21","1936.2","1.6","-2.99","-6.93","1.52","8","0.46","0.06","5","0"
"2023_full","2023-08-04 13:30:00","2023-08-04 15:30:20","2023","8","2023-08","22","sell","DiagnosticFallback","BOS;Diagnostic trend fallback;","tp 1927.43","0.09","1931.96","1927.43","1.68","16.84","40.77","1.29","8","0.22","-0.4","8","1"
"2023_full","2023-08-07 15:15:00","2023-08-07 15:58:40","2023","8","2023-08","24","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 1938.08","0.09","1935.13","1938.08","1.68","-10.01","-26.55","1.41","8","-0.53","-0.55","2","0"
"2023_full","2023-08-14 08:45:00","2023-08-14 10:37:40","2023","8","2023-08","26","sell","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","sl 1913.87","0.15","1913.35","1913.87","2.09","-3.1","-7.8","1","8","0.73","0.07","7","0"
"2024_full","2024-03-04 07:30:00","2024-03-04 09:03:20","2024","3","2024-03","2","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 2084.86","0.12","2081.1","2084.86","1.81","18.08","45.12","1.07","17","1.15","0.17","6","1"
"2024_full","2024-03-05 14:45:00","2024-03-05 15:28:40","2024","3","2024-03","4","buy","LiquiditySweep","Liquidity sweep;","tp 2131.43","0.06","2122.48","2131.43","2.06","20.63","53.7","2.56","12","1.11","0.46","2","1"
"2024_full","2024-03-06 13:00:00","2024-03-06 14:54:40","2024","3","2024-03","6","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 2134.32","0.1","2125.83","2134.32","3.24","32.4","84.9","2.43","13","2.84","0.58","7","1"
"2024_full","2024-03-07 13:45:00","2024-03-07 15:05:40","2024","3","2024-03","8","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 2162.37","0.12","2154.84","2162.37","3.24","32.41","90.36","2.15","13","1.58","0.21","5","1"
"2024_full","2024-05-03 08:30:00","2024-05-03 09:54:40","2024","5","2024-05","10","sell","DiagnosticFallback","Diagnostic trend fallback;","tp 2300.12","0.12","2306.44","2300.12","2.18","21.83","75.84","1.81","12","1.72","-0.5","5","1"
"2024_full","2024-05-06 08:15:00","2024-05-06 10:39:40","2024","5","2024-05","12","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 2321.16","0.05","2311.21","2321.16","1.56","15.59","49.75","2.84","16","0.82","-0.04","9","1"
"2024_full","2024-05-07 08:00:00","2024-05-07 09:11:40","2024","5","2024-05","14","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 2319.12","0.1","2322.77","2319.12","2.06","-9.41","-36.5","2.28","16","-0.01","-0.45","4","0"
"2024_full","2024-06-11 07:30:00","2024-06-11 08:41:40","2024","6","2024-06","16","sell","ISLP","In-session liquidity pullback score 7;ISLP fast EMA;ISLP trend EMA;ISLP VWAP pullback;ISLP liquidity/retest;ISLP order flow;ISLP;In-session liquidity pullback;Diagnostic trend fallback;In-session liquidity pullback lane;Flat month opportunity x1.15;","tp 2298.07","0.05","2302.2","2298.07","1.48","14.77","20.65","3.06","7","0.39","-0.53","4","1"
"2024_full","2024-08-06 08:15:00","2024-08-06 08:45:40","2024","8","2024-08","18","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 2404.80","0.06","2410.28","2404.8","2.03","-10","-32.88","3.18","33","-0.09","-0.85","2","0"
"2024_full","2024-08-07 08:30:00","2024-08-07 09:29:40","2024","8","2024-08","20","sell","LiquiditySweep","Liquidity sweep;","sl 2396.53","0.1","2394.99","2396.53","3.24","-4.77","-15.4","2.99","36","1.02","0.46","3","0"
"2024_full","2024-08-12 15:00:00","2024-08-12 16:32:40","2024","8","2024-08","22","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 2449.49","0.09","2441.81","2449.49","2.13","21.27","69.12","2.19","33","1.15","0.37","6","1"
"2024_full","2024-08-13 08:30:00","2024-08-13 11:03:20","2024","8","2024-08","24","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 2462.29","0.13","2460.32","2462.29","3.24","7.62","25.61","2.39","33","1.66","-0.18","10","1"
"2024_full","2024-08-14 07:00:00","2024-08-14 11:03:40","2024","8","2024-08","26","buy","DiagnosticFallback","Diagnostic trend fallback;","tp 2471.95","0.06","2461.08","2471.95","1.88","18.77","65.22","3.1","33","1.68","-0.08","16","1"
"2024_full","2024-08-15 10:15:00","2024-08-15 13:03:40","2024","8","2024-08","28","sell","DiagnosticFallback","Diagnostic trend fallback;","sl 2458.67","0.1","2455.02","2458.67","2.24","-10","-36.5","2.34","33","0.03","-0.55","11","0"
"2024_full","2024-08-16 07:15:00","2024-08-16 10:07:40","2024","8","2024-08","30","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 2454.19","0.11","2453.01","2454.19","2.67","3.75","12.98","2.4","33","1.3","-0.12","11","1"
"2024_full","2024-08-19 07:00:00","2024-08-19 10:34:20","2024","8","2024-08","32","buy","DiagnosticFallback","Diagnostic trend fallback;","sl 2499.94","0.04","2503.51","2499.94","1.52","-4.14","-14.28","3.74","33","0.09","-0.41","14","0"
"2024_full","2024-08-19 14:15:00","2024-08-19 14:22:40","2024","8","2024-08","34","buy","LiquiditySweep","Liquidity sweep;Diagnostic trend fallback;","sl 2487.17","0.08","2491.4","2487.17","2.33","-9.99","-33.84","2.82","35",,,"0","0"
"2024_full","2024-10-31 14:00:00","2024-10-31 14:25:40","2024","10","2024-10","36","buy","FMR","Flat month micro reversion score 7;FMR liquidity;FMR rejection;FMR location extreme;FMR VWAP;Flat month micro reversion;Diagnostic trend fallback;Range reversion stop/target;Range reversion trade RR 0.97;Flat month opportunity x1.15;","sl 2777.06","0.04","2779.58","2777.06","0.97","-8","-10.08","2.7","15","0.57","0.57","1","0"
