"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"21","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\021_ri2_m12_r40_continuous_2015_2020_m1.ini","ri2_m12_r40_continuous_2015_2020_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_continuous_2015_2020_m1.htm","10000","2191","5.9986","262.63","10262.63","2.63","0.44","0.43","2.87","11.42","2.67","52.17","23","3","78.71","0.78","49.6","78.71","3.34","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"22","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2015","2015.01.01","2015.12.31","1","configs\022_ri2_m12_r40_year_2015_m1.ini","ri2_m12_r40_year_2015_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_year_2015_m1.htm","10000","364","0.9966","16.24","10016.24","0.16","0.16","0.16","1.96","8.12","0.03","50","2","1","42.54","0.42","16.95","42.54","0.38","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"23","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2016","2016.01.01","2016.12.31","1","configs\023_ri2_m12_r40_year_2016_m1.ini","ri2_m12_r40_year_2016_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_year_2016_m1.htm","10000","365","0.9993","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"24","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2017","2017.01.01","2017.12.31","1","configs\024_ri2_m12_r40_year_2017_m1.ini","ri2_m12_r40_year_2017_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_year_2017_m1.htm","10000","364","0.9966","-24.42","9975.58","-0.24","-0.25","-0.25","0","-12.21","-0.87","0","2","2","27.02","0.27","24.42","27.02","-0.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"25","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2018","2018.01.01","2018.12.31","1","configs\025_ri2_m12_r40_year_2018_m1.ini","ri2_m12_r40_year_2018_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_year_2018_m1.htm","10000","364","0.9966","47.84","10047.84","0.48","0.48","0.48","3.56","11.96","0.35","75","4","1","31.81","0.32","18.71","31.81","1.5","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"26","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2019","2019.01.01","2019.12.31","1","configs\026_ri2_m12_r40_year_2019_m1.ini","ri2_m12_r40_year_2019_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_year_2019_m1.htm","10000","364","0.9966","-15.65","9984.35","-0.16","-0.16","-0.16","0","-15.65","-0.27","0","1","1","15.65","0.16","15.65","15.65","-1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"27","ri2_m12_r40","3","reversion_independent_v2","1","corrected_discovery_model1","ri2_m12_r40.set","year_2020","2020.01.01","2020.12.31","1","configs\027_ri2_m12_r40_year_2020_m1.ini","ri2_m12_r40_year_2020_m1","profiles\ri2_m12_r40.set","8E5CBED06AA98136F09299DB1E5DF7FA2193B7BA97B56714F77829C5D9C273B2","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m12_r40_year_2020_m1.htm","10000","365","0.9993","121.86","10121.86","1.22","1.22","1.22","3.01","11.08","4.72","54.55","11","2","49.88","0.49","37.53","49.88","2.44","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"28","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\028_ri2_m10_r30_older_2015_2018_m1.ini","ri2_m10_r30_older_2015_2018_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m10_r30_older_2015_2018_m1.htm","10000","1460","3.9973","191.47","10191.47","1.91","0.48","0.48","4.87","19.15","0.49","60","10","2","72.93","0.72","18.71","72.93","2.63","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"29","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\029_ri2_m10_r30_discovery_2019_2020_m1.ini","ri2_m10_r30_discovery_2019_2020_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m10_r30_discovery_2019_2020_m1.htm","10000","730","1.9986","104.88","10104.88","1.05","0.52","0.52","3","10.49","5.47","60","10","1","39.15","0.39","23.26","39.15","2.68","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"30","ri2_m10_r30","4","reversion_independent_v2","1","corrected_discovery_model1","ri2_m10_r30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\030_ri2_m10_r30_continuous_2015_2020_m1.ini","ri2_m10_r30_continuous_2015_2020_m1","profiles\ri2_m10_r30.set","BBDB7A23DFB402B0AF6E8583328D10652691F8FBAD7702EB1552B5C3FF283D76","Corrected discovery only through 2020: require exact control compatibility, each candidate broad-era net at least control, no active annual result worse than control, continuous net above control, PF at least 3.00, DD at or below 1.00%, and neighboring DI/risk support before any retrospective 2021-2026 implementation check.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\ri2_m10_r30_continuous_2015_2020_m1.htm","10000","2191","5.9986","279.9","10279.9","2.8","0.47","0.46","3.56","13.33","2.65","57.14","21","3","72.93","0.72","41.74","72.93","3.84","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
