"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"11","re_may140","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\011_re_may140_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\011_re_may140_2019_full_m1.ini","re_risk_re_may140_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may140_2019_m1","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"12","re_may140","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\012_re_may140_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\012_re_may140_2021_full_m1.ini","re_risk_re_may140_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may140_2021_m1","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"13","re_may140","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\013_re_may140_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\013_re_may140_2023_full_m1.ini","re_risk_re_may140_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may140_2023_m1","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"14","re_may140","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_risk_shape_probe_package\configs\014_re_may140_2024_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\014_re_may140_2024_full_m1.ini","re_risk_re_may140_2024_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may140_2024_m1","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"15","re_may140","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_risk_shape_probe_package\configs\015_re_may140_2026_ytd_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\015_re_may140_2026_ytd_m1.ini","re_risk_re_may140_2026ytd_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may140_2026ytd_m1","41A3A35650F4BA18C080F3ABE535B7FD7C3E205042D003BC393539C196793885","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"16","re_may200","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\016_re_may200_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\016_re_may200_2019_full_m1.ini","re_risk_re_may200_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may200_2019_m1","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"17","re_may200","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\017_re_may200_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\017_re_may200_2021_full_m1.ini","re_risk_re_may200_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may200_2021_m1","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"18","re_may200","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\018_re_may200_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\018_re_may200_2023_full_m1.ini","re_risk_re_may200_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may200_2023_m1","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"19","re_may200","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_risk_shape_probe_package\configs\019_re_may200_2024_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\019_re_may200_2024_full_m1.ini","re_risk_re_may200_2024_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may200_2024_m1","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"20","re_may200","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_risk_shape_probe_package\configs\020_re_may200_2026_ytd_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\020_re_may200_2026_ytd_m1.ini","re_risk_re_may200_2026ytd_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_may200_2026ytd_m1","6BFCEDFD617E173AB2F34CF9A27EEC8D6EAD0F222EC2A0BBED1B3DA8E4C8AEA0","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"21","re_maxrisk100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\021_re_maxrisk100_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\021_re_maxrisk100_2019_full_m1.ini","re_risk_re_maxrisk100_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_maxrisk100_2019_m1","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"22","re_maxrisk100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\022_re_maxrisk100_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\022_re_maxrisk100_2021_full_m1.ini","re_risk_re_maxrisk100_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_maxrisk100_2021_m1","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"23","re_maxrisk100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\023_re_maxrisk100_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\023_re_maxrisk100_2023_full_m1.ini","re_risk_re_maxrisk100_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_maxrisk100_2023_m1","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
