"QueueRank","Candidate","Phase","Window","Model","Deposit","PackageConfig","ReportDestination","ExpectedReportName","ProfileSha256","SourceSha256","RunLabel","StopRule"
"11","ars_reclaim05","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\011_ars_reclaim05_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_repair_2019_2020_m1","ars_reclaim05_repair_2019_2020_m1","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"12","ars_reclaim05","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\012_ars_reclaim05_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_continuous_2015_2020_m1","ars_reclaim05_continuous_2015_2020_m1","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"13","ars_wick15","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\013_ars_wick15_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_older_2015_2018_m1","ars_wick15_older_2015_2018_m1","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"14","ars_wick15","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\014_ars_wick15_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_repair_2019_2020_m1","ars_wick15_repair_2019_2020_m1","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"15","ars_wick15","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\015_ars_wick15_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_continuous_2015_2020_m1","ars_wick15_continuous_2015_2020_m1","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"16","ars_volume105","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\016_ars_volume105_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_volume105_older_2015_2018_m1","ars_volume105_older_2015_2018_m1","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"17","ars_volume105","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\017_ars_volume105_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_volume105_repair_2019_2020_m1","ars_volume105_repair_2019_2020_m1","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"18","ars_volume105","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\018_ars_volume105_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_volume105_continuous_2015_2020_m1","ars_volume105_continuous_2015_2020_m1","50B9C89AC3CBEE83D06B060C7F9F0C8805B66B93AEFDD9932034D1BA745DFCC0","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"19","ars_adx24","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\019_ars_adx24_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_adx24_older_2015_2018_m1","ars_adx24_older_2015_2018_m1","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"20","ars_adx24","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\020_ars_adx24_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_adx24_repair_2019_2020_m1","ars_adx24_repair_2019_2020_m1","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"21","ars_adx24","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\021_ars_adx24_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_adx24_continuous_2015_2020_m1","ars_adx24_continuous_2015_2020_m1","9CA6F63087E32B07E116A958916371073BE011D668875F945AF502A2CCCF69A5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"22","ars_rr20","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\022_ars_rr20_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_rr20_older_2015_2018_m1","ars_rr20_older_2015_2018_m1","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"23","ars_rr20","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\023_ars_rr20_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_rr20_repair_2019_2020_m1","ars_rr20_repair_2019_2020_m1","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"24","ars_rr20","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\024_ars_rr20_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_rr20_continuous_2015_2020_m1","ars_rr20_continuous_2015_2020_m1","1EE0BD245698AD47860FAB37F4043265C099709117274EE54BE8EB3752F641D9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"25","ars_midpoint","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\025_ars_midpoint_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_midpoint_older_2015_2018_m1","ars_midpoint_older_2015_2018_m1","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"26","ars_midpoint","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\026_ars_midpoint_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_midpoint_repair_2019_2020_m1","ars_midpoint_repair_2019_2020_m1","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"27","ars_midpoint","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\027_ars_midpoint_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_midpoint_continuous_2015_2020_m1","ars_midpoint_continuous_2015_2020_m1","6FD87223240C2EAD1A14F85D730003C3896F6C98B6BA6BEE6B8DD91187729795","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"28","ars_entry10","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\028_ars_entry10_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_entry10_older_2015_2018_m1","ars_entry10_older_2015_2018_m1","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"29","ars_entry10","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\029_ars_entry10_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_entry10_repair_2019_2020_m1","ars_entry10_repair_2019_2020_m1","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"30","ars_entry10","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\030_ars_entry10_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_entry10_continuous_2015_2020_m1","ars_entry10_continuous_2015_2020_m1","8EEA2DD5B60FF1B4ED749DE74BC3BC62AC793E8A1AC793553A5204FAD2FD707D","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
