"QueueRank","Candidate","CandidateRank","SourceType","Phase","Window","Model","Deposit","ExpectedReportName","ProfileSha256","SourceSha256","StopRule","To","Set","BreakoutBufferATR","LookbackDays","Config","ADXFilter","EMAFilter","MinimumBodyPercent","MaximumSetupRangeATR","From","TakeProfitR","EMAPeriod","ChandelierTrail","MinimumVolumeRatio","ProfileSnapshot"
"24","dnrb_body025","8","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_body025_continuous_2015_2020_m1","A90265864377DE4E3100B3071FE550924FF782B9BC56C04A7F098FA7E1F935A0","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_body025.set","0.05","7","configs\024_dnrb_body025_continuous_2015_2020_m1.ini","false","true","25.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_body025.set"
"25","dnrb_body045","9","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_body045_older_2015_2018_m1","C581C18BB3C4D3052D9BFA71819496B45CFD9F05C25ED7F187972FF5CD2BD40E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_body045.set","0.05","7","configs\025_dnrb_body045_older_2015_2018_m1.ini","false","true","45.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_body045.set"
"26","dnrb_body045","9","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_body045_discovery_2019_2020_m1","C581C18BB3C4D3052D9BFA71819496B45CFD9F05C25ED7F187972FF5CD2BD40E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_body045.set","0.05","7","configs\026_dnrb_body045_discovery_2019_2020_m1.ini","false","true","45.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_body045.set"
"27","dnrb_body045","9","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_body045_continuous_2015_2020_m1","C581C18BB3C4D3052D9BFA71819496B45CFD9F05C25ED7F187972FF5CD2BD40E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_body045.set","0.05","7","configs\027_dnrb_body045_continuous_2015_2020_m1.ini","false","true","45.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_body045.set"
"28","dnrb_volume000","10","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_volume000_older_2015_2018_m1","D2ABA9FFEB4BC2D6B12B3F1822B3AA8769AB3C609F62F6672B1BB17179D68B3D","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_volume000.set","0.05","7","configs\028_dnrb_volume000_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","0.00","profiles\dnrb_volume000.set"
"29","dnrb_volume000","10","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_volume000_discovery_2019_2020_m1","D2ABA9FFEB4BC2D6B12B3F1822B3AA8769AB3C609F62F6672B1BB17179D68B3D","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_volume000.set","0.05","7","configs\029_dnrb_volume000_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","0.00","profiles\dnrb_volume000.set"
"30","dnrb_volume000","10","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_volume000_continuous_2015_2020_m1","D2ABA9FFEB4BC2D6B12B3F1822B3AA8769AB3C609F62F6672B1BB17179D68B3D","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_volume000.set","0.05","7","configs\030_dnrb_volume000_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","0.00","profiles\dnrb_volume000.set"
"31","dnrb_volume115","11","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_volume115_older_2015_2018_m1","753C98627F1719CAF928F32BDF77646EB933C697DB68B7B8B8D31BC9FB44C1FA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_volume115.set","0.05","7","configs\031_dnrb_volume115_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.15","profiles\dnrb_volume115.set"
"32","dnrb_volume115","11","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_volume115_discovery_2019_2020_m1","753C98627F1719CAF928F32BDF77646EB933C697DB68B7B8B8D31BC9FB44C1FA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_volume115.set","0.05","7","configs\032_dnrb_volume115_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","1.15","profiles\dnrb_volume115.set"
"33","dnrb_volume115","11","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_volume115_continuous_2015_2020_m1","753C98627F1719CAF928F32BDF77646EB933C697DB68B7B8B8D31BC9FB44C1FA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_volume115.set","0.05","7","configs\033_dnrb_volume115_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.15","profiles\dnrb_volume115.set"
"34","dnrb_ema20","12","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_ema20_older_2015_2018_m1","20CBFB687AAADB79B9B21EC4759C2ADC743839F243BB8B5A797B9E20B7FC3A59","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_ema20.set","0.05","7","configs\034_dnrb_ema20_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","20","true","1.00","profiles\dnrb_ema20.set"
"35","dnrb_ema20","12","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_ema20_discovery_2019_2020_m1","20CBFB687AAADB79B9B21EC4759C2ADC743839F243BB8B5A797B9E20B7FC3A59","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_ema20.set","0.05","7","configs\035_dnrb_ema20_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","20","true","1.00","profiles\dnrb_ema20.set"
"36","dnrb_ema20","12","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_ema20_continuous_2015_2020_m1","20CBFB687AAADB79B9B21EC4759C2ADC743839F243BB8B5A797B9E20B7FC3A59","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_ema20.set","0.05","7","configs\036_dnrb_ema20_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","20","true","1.00","profiles\dnrb_ema20.set"
