"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","Role","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","Thesis","Overrides","StopRule"
"11","re_may140_late15_dgf_liq_reject1_cush50","11","range_elite_risk_shape_probe","11","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\011_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 50% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"12","re_may140_late15_dgf_liq_reject1_cush50","12","range_elite_risk_shape_probe","12","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\012_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50.set","1087439C4B251BDE8C14C074FA730E032A3DE786114ED6BEABF2A9FF6B59FA3C","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 50% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"13","re_may140_late15_dgf_liq_reject1_cush35","13","range_elite_risk_shape_probe","13","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\013_re_may140_late15_dgf_liq_reject1_cush35_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2019_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 35% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.35;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"14","re_may140_late15_dgf_liq_reject1_cush35","14","range_elite_risk_shape_probe","14","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\014_re_may140_late15_dgf_liq_reject1_cush35_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2021_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 35% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.35;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"15","re_may140_late15_dgf_liq_reject1_cush35","15","range_elite_risk_shape_probe","15","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\015_re_may140_late15_dgf_liq_reject1_cush35_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2023_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 35% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.35;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"16","re_may140_late15_dgf_liq_reject1_cush35","16","range_elite_risk_shape_probe","16","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\016_re_may140_late15_dgf_liq_reject1_cush35_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2024_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 35% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.35;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"17","re_may140_late15_dgf_liq_reject1_cush35","17","range_elite_risk_shape_probe","17","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\017_re_may140_late15_dgf_liq_reject1_cush35_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2025_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 35% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.35;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"18","re_may140_late15_dgf_liq_reject1_cush35","18","range_elite_risk_shape_probe","18","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush35.set","2026_ytd","high_dd_recent","2026.01.01","2026.07.12","4","configs\018_re_may140_late15_dgf_liq_reject1_cush35_2026_ytd_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush35_2026ytd_m4","profiles\re_may140_late15_dgf_liq_reject1_cush35.set","7FEAC316EDC328EA691AC76940431814473470FA0727B7EF78E3A7DA60774670","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Throttle DGF to 35% risk until the account has a 5% closed-profit cushion.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.35;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"19","re_may140_late15_dgf_liq_reject1_cush50_augoff","19","range_elite_risk_shape_probe","19","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50_augoff.set","2019_full","red_year","2019.01.01","2019.12.31","4","configs\019_re_may140_late15_dgf_liq_reject1_cush50_augoff_2019_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_augoff_2019_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50_augoff.set","520125C444AB641DE5E78CD7CAFF47CFB17A2BFFC7F7C9EDB82B84EF8BB32A89","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Provisional summer-liquidity control: DGF cushion throttle plus August disabled.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpTradeAugust=false;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"20","re_may140_late15_dgf_liq_reject1_cush50_augoff","20","range_elite_risk_shape_probe","20","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50_augoff.set","2021_full","red_year","2021.01.01","2021.12.31","4","configs\020_re_may140_late15_dgf_liq_reject1_cush50_augoff_2021_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_augoff_2021_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50_augoff.set","520125C444AB641DE5E78CD7CAFF47CFB17A2BFFC7F7C9EDB82B84EF8BB32A89","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Provisional summer-liquidity control: DGF cushion throttle plus August disabled.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpTradeAugust=false;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"21","re_may140_late15_dgf_liq_reject1_cush50_augoff","21","range_elite_risk_shape_probe","21","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50_augoff.set","2023_full","red_year","2023.01.01","2023.12.31","4","configs\021_re_may140_late15_dgf_liq_reject1_cush50_augoff_2023_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_augoff_2023_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50_augoff.set","520125C444AB641DE5E78CD7CAFF47CFB17A2BFFC7F7C9EDB82B84EF8BB32A89","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Provisional summer-liquidity control: DGF cushion throttle plus August disabled.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpTradeAugust=false;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"22","re_may140_late15_dgf_liq_reject1_cush50_augoff","22","range_elite_risk_shape_probe","22","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50_augoff.set","2024_full","profit_control","2024.01.01","2024.12.31","4","configs\022_re_may140_late15_dgf_liq_reject1_cush50_augoff_2024_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_augoff_2024_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50_augoff.set","520125C444AB641DE5E78CD7CAFF47CFB17A2BFFC7F7C9EDB82B84EF8BB32A89","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Provisional summer-liquidity control: DGF cushion throttle plus August disabled.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpTradeAugust=false;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"23","re_may140_late15_dgf_liq_reject1_cush50_augoff","23","range_elite_risk_shape_probe","23","phase4_range_elite_risk_shape_model4","re_may140_late15_dgf_liq_reject1_cush50_augoff.set","2025_full","profit_control","2025.01.01","2025.12.31","4","configs\023_re_may140_late15_dgf_liq_reject1_cush50_augoff_2025_full_m4.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_augoff_2025_m4","profiles\re_may140_late15_dgf_liq_reject1_cush50_augoff.set","520125C444AB641DE5E78CD7CAFF47CFB17A2BFFC7F7C9EDB82B84EF8BB32A89","AD6C1D1607BD7809FFBBB25DD068A1AB18E4EE2FBC879114F6A02DBCA06D1894","Provisional summer-liquidity control: DGF cushion throttle plus August disabled.","InpDiagnosticFallbackCushionProfitPercent=5.00;InpDiagnosticFallbackLateSessionPureOnly=true;InpDiagnosticFallbackLateSessionStartHour=15;InpDiagnosticFallbackLiquidityRejectMaxConfirmations=1;InpDiagnosticFallbackNoCushionRiskMultiplier=0.50;InpDiagnosticFallbackRejectLiquiditySweepSignal=true;InpMayRiskMultiplier=1.40;InpTradeAugust=false;InpUseDiagnosticFallbackCushionRiskThrottle=true;InpUseDiagnosticFallbackLateSessionGuard=true","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
