"QueueRank","Candidate","Role","Window","From","To","Model","BollingerDeviation","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"11","rvbd_center180","center","older_2015_2018","2015.01.01","2018.12.31","1","1.8","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","671.92","6.72","1.64","1.61","181","44.2","1.34","4.78","5.0149","3.99","6","BFA82F32CEE0AC04AFF15F01BCDF742F836397F691F68D8E383BD9C154D084CB"
"12","rvbd_center180","center","middle_2019_2020","2019.01.01","2020.12.31","1","1.8","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","111.27","1.11","0.56","1.23","74","44.59","1.07","1.0242","1.0374","1.8","6","56E91D6A103953E3B81FA663A1ED02A32214A7C282B871DF80147FF91C572686"
"13","rvbd_center180","center","recent_2021_2023","2021.01.01","2023.12.31","1","1.8","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","612.68","6.13","2.01","1.77","110","40","1.3","4.5093","4.7154","5","8","FF787454502C75BF05FA91E8232623C13FE06A6BCF8F53E763F039743C93014D"
"14","rvbd_center180","center","latest_2024_2026","2024.01.01","2026.07.12","1","1.8","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","367.16","3.67","1.44","2.38","35","51.43","1.42","2.5624","2.5845","6.64","4","0F2DA306D38D0874D617B9E1BF7DE3A82F387E2BBB141D8E395B15D390A3E248"
"15","rvbd_center180","center","continuous_2015_2026","2015.01.01","2026.07.12","1","1.8","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","1915.92","19.16","1.53","1.68","407","44.23","1.37","12.3385","13.9854","3.92","8","0F8A206D72E1385CC38C600478BB6FC6E157E112DC6A3A20C00C0705FBCA5840"
"16","rvbd_neighbor170","aggressive_neighbor","older_2015_2018","2015.01.01","2018.12.31","1","1.7","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","374.25","3.74","0.92","1.32","180","42.78","1.86","1.9626","2.0108","2.51","6","8B266A0274B528A5CCC2100AF2E5ADA2428B9D5D68FD657CCFEF6BB53B0F495E"
"17","rvbd_neighbor170","aggressive_neighbor","middle_2019_2020","2019.01.01","2020.12.31","1","1.7","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","169.69","1.7","0.85","1.39","73","45.21","1.06","1.5619","1.6038","2.77","6","1D51D72C423F459FC62B4DF20C97BF970148C185601D90EF23009EE6A931A2E1"
"18","rvbd_neighbor170","aggressive_neighbor","recent_2021_2023","2021.01.01","2023.12.31","1","1.7","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","327.09","3.27","1.08","1.38","108","37.96","1.63","1.9682","2.0061","2.69","8","881822410C8AF31D928C670E5179784CDE5FBDA161E431770812A72B55AD7691"
"19","rvbd_neighbor170","aggressive_neighbor","latest_2024_2026","2024.01.01","2026.07.12","1","1.7","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","363.42","3.63","1.42","2.36","35","51.43","1.42","2.5363","2.5563","6.61","4","5378606728D477A6F5440BE17CDBA4A7CE5848AC8633F1059AB38F6133A6F1F4"
"20","rvbd_neighbor170","aggressive_neighbor","continuous_2015_2026","2015.01.01","2026.07.12","1","1.7","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","1260.43","12.6","1.04","1.44","400","42.75","1.8","6.4647","7","2.68","8","5A0574DF97BA93FB87075ED9D6E2172F0B4D97BD27D6DFE8BBFEA03BFD49664B"
