"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","PortfolioOpenRiskPercent","StopRule"
"11","dir_mo015_di08_strict","3","strict_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\011_dir_mo015_di08_strict_repair_2020_m1.ini","dir_mo015_di08_strict_repair_2020_m1","profiles\dir_mo015_di08_strict.set","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"12","dir_mo015_di08_strict","3","strict_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_dir_mo015_di08_strict_continuous_2015_2020_m1.ini","dir_mo015_di08_strict_continuous_2015_2020_m1","profiles\dir_mo015_di08_strict.set","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"13","dir_mo020_di12_control","4","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_dir_mo020_di12_control_older_2015_2018_m1.ini","dir_mo020_di12_control_older_2015_2018_m1","profiles\dir_mo020_di12_control.set","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"14","dir_mo020_di12_control","4","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\014_dir_mo020_di12_control_repair_2019_m1.ini","dir_mo020_di12_control_repair_2019_m1","profiles\dir_mo020_di12_control.set","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"15","dir_mo020_di12_control","4","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\015_dir_mo020_di12_control_repair_2020_m1.ini","dir_mo020_di12_control_repair_2020_m1","profiles\dir_mo020_di12_control.set","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"16","dir_mo020_di12_control","4","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\016_dir_mo020_di12_control_continuous_2015_2020_m1.ini","dir_mo020_di12_control_continuous_2015_2020_m1","profiles\dir_mo020_di12_control.set","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"17","dir_mo020_di10_center","5","primary_repair_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\017_dir_mo020_di10_center_older_2015_2018_m1.ini","dir_mo020_di10_center_older_2015_2018_m1","profiles\dir_mo020_di10_center.set","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"18","dir_mo020_di10_center","5","primary_repair_center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\018_dir_mo020_di10_center_repair_2019_m1.ini","dir_mo020_di10_center_repair_2019_m1","profiles\dir_mo020_di10_center.set","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"19","dir_mo020_di10_center","5","primary_repair_center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\019_dir_mo020_di10_center_repair_2020_m1.ini","dir_mo020_di10_center_repair_2020_m1","profiles\dir_mo020_di10_center.set","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"20","dir_mo020_di10_center","5","primary_repair_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\020_dir_mo020_di10_center_continuous_2015_2020_m1.ini","dir_mo020_di10_center_continuous_2015_2020_m1","profiles\dir_mo020_di10_center.set","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"21","dir_mo020_di08_strict","6","strict_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\021_dir_mo020_di08_strict_older_2015_2018_m1.ini","dir_mo020_di08_strict_older_2015_2018_m1","profiles\dir_mo020_di08_strict.set","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"22","dir_mo020_di08_strict","6","strict_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\022_dir_mo020_di08_strict_repair_2019_m1.ini","dir_mo020_di08_strict_repair_2019_m1","profiles\dir_mo020_di08_strict.set","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"23","dir_mo020_di08_strict","6","strict_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\023_dir_mo020_di08_strict_repair_2020_m1.ini","dir_mo020_di08_strict_repair_2020_m1","profiles\dir_mo020_di08_strict.set","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"24","dir_mo020_di08_strict","6","strict_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_dir_mo020_di08_strict_continuous_2015_2020_m1.ini","dir_mo020_di08_strict_continuous_2015_2020_m1","profiles\dir_mo020_di08_strict.set","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
