"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","MinimumSweepATR","MinimumReclaimATR","WickToBodyRatio","UseTickVolumeFilter","MinimumVolumeRatio","UseTrendEMAFilter","UseMaximumADXFilter","MaximumADX","TakeProfitR","UsePreviousDayMidpointTarget","SessionStartHour","SessionEndHour","StopRule"
"21","pds_adx24","7","independent_m15_prevday_sweep","1","discovery_model1","pds_adx24.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_pds_adx24_continuous_2015_2020_m1.ini","pds_adx24_continuous_2015_2020_m1","profiles\pds_adx24.set","499B7A603F798328F766B178F4043F8CCB5D52684C599F11DE937D57F8393D34","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","true","24.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"22","pds_rr20","8","independent_m15_prevday_sweep","1","discovery_model1","pds_rr20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_pds_rr20_older_2015_2018_m1.ini","pds_rr20_older_2015_2018_m1","profiles\pds_rr20.set","959AB532C0DFBAEF62FF1D0F07172E9F1894EC4009C7FD275FA7396E12F1B33D","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","2.00","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"23","pds_rr20","8","independent_m15_prevday_sweep","1","discovery_model1","pds_rr20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_pds_rr20_discovery_2019_2020_m1.ini","pds_rr20_discovery_2019_2020_m1","profiles\pds_rr20.set","959AB532C0DFBAEF62FF1D0F07172E9F1894EC4009C7FD275FA7396E12F1B33D","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","2.00","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"24","pds_rr20","8","independent_m15_prevday_sweep","1","discovery_model1","pds_rr20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_pds_rr20_continuous_2015_2020_m1.ini","pds_rr20_continuous_2015_2020_m1","profiles\pds_rr20.set","959AB532C0DFBAEF62FF1D0F07172E9F1894EC4009C7FD275FA7396E12F1B33D","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","2.00","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"25","pds_midpoint","9","independent_m15_prevday_sweep","1","discovery_model1","pds_midpoint.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_pds_midpoint_older_2015_2018_m1.ini","pds_midpoint_older_2015_2018_m1","profiles\pds_midpoint.set","DA3D6D4D21CAF55705CBEA297968B65350C5C36E3AA404AF5E6702C176F46E0F","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","true","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"26","pds_midpoint","9","independent_m15_prevday_sweep","1","discovery_model1","pds_midpoint.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_pds_midpoint_discovery_2019_2020_m1.ini","pds_midpoint_discovery_2019_2020_m1","profiles\pds_midpoint.set","DA3D6D4D21CAF55705CBEA297968B65350C5C36E3AA404AF5E6702C176F46E0F","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","true","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"27","pds_midpoint","9","independent_m15_prevday_sweep","1","discovery_model1","pds_midpoint.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_pds_midpoint_continuous_2015_2020_m1.ini","pds_midpoint_continuous_2015_2020_m1","profiles\pds_midpoint.set","DA3D6D4D21CAF55705CBEA297968B65350C5C36E3AA404AF5E6702C176F46E0F","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","true","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"28","pds_session12_22","10","independent_m15_prevday_sweep","1","discovery_model1","pds_session12_22.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_pds_session12_22_older_2015_2018_m1.ini","pds_session12_22_older_2015_2018_m1","profiles\pds_session12_22.set","A52CD81A9DF9B2E164F69923025E7A4CB61B5B980C3E1A76B93AAA920FF0A305","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","false","12","22","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"29","pds_session12_22","10","independent_m15_prevday_sweep","1","discovery_model1","pds_session12_22.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_pds_session12_22_discovery_2019_2020_m1.ini","pds_session12_22_discovery_2019_2020_m1","profiles\pds_session12_22.set","A52CD81A9DF9B2E164F69923025E7A4CB61B5B980C3E1A76B93AAA920FF0A305","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","false","12","22","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"30","pds_session12_22","10","independent_m15_prevday_sweep","1","discovery_model1","pds_session12_22.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_pds_session12_22_continuous_2015_2020_m1.ini","pds_session12_22_continuous_2015_2020_m1","profiles\pds_session12_22.set","A52CD81A9DF9B2E164F69923025E7A4CB61B5B980C3E1A76B93AAA920FF0A305","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","false","12","22","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
