Feature,FeatureIndex,Direction,Quantile,NeighborOffset,Threshold,Trades,KeptTrades,RemovedTrades,Retention,BaselineNet,KeptNet,RemovedNet,Improvement,BaselinePF,KeptPF,early_improvement,early_removed,late_improvement,late_removed,TrainingSupport
SqueezeRangeATR,6,maximum,0.25000000,1,0.94048550,55,41,14,0.74545455,186.06000000,183.44000000,2.62000000,-2.62000000,1.69957888,2.01119012,30.62000000,12,-33.24000000,2,False
TickVolumeRatio,7,minimum,0.15000000,-1,0.71360820,55,46,9,0.83636364,186.06000000,137.34000000,48.72000000,-48.72000000,1.69957888,1.58464944,-59.52000000,4,10.80000000,5,False
TickVolumeRatio,7,minimum,0.20000000,0,0.72585020,55,44,11,0.80000000,186.06000000,130.90000000,55.16000000,-55.16000000,1.69957888,1.57815468,-65.96000000,6,10.80000000,5,False
TickVolumeRatio,7,minimum,0.25000000,1,0.74307050,55,41,14,0.74545455,186.06000000,117.20000000,68.86000000,-68.86000000,1.69957888,1.54176490,-56.84000000,8,-12.02000000,6,False
TickVolumeRatio,7,maximum,0.15000000,-1,1.52779550,55,46,9,0.83636364,186.06000000,213.96000000,-27.90000000,27.90000000,1.69957888,2.06798443,43.34000000,8,-15.44000000,1,False
TickVolumeRatio,7,maximum,0.20000000,0,1.47072620,55,44,11,0.80000000,186.06000000,166.13000000,19.93000000,-19.93000000,1.69957888,1.82924029,17.52000000,9,-37.45000000,2,False
TickVolumeRatio,7,maximum,0.25000000,1,1.27003000,55,41,14,0.74545455,186.06000000,141.94000000,44.12000000,-44.12000000,1.69957888,1.74415435,-6.67000000,12,-37.45000000,2,False
ATRPercent,8,minimum,0.15000000,-1,0.05788500,55,46,9,0.83636364,186.06000000,125.79000000,60.27000000,-60.27000000,1.69957888,1.56239102,-43.96000000,2,-16.31000000,7,False
ATRPercent,8,minimum,0.20000000,0,0.05965920,55,44,11,0.80000000,186.06000000,146.23000000,39.83000000,-39.83000000,1.69957888,1.71952960,-33.96000000,3,-5.87000000,8,False
ATRPercent,8,minimum,0.25000000,1,0.06339950,55,41,14,0.74545455,186.06000000,165.31000000,20.75000000,-20.75000000,1.69957888,1.90269208,-24.36000000,4,3.61000000,10,False
ATRPercent,8,maximum,0.15000000,-1,0.11311900,55,46,9,0.83636364,186.06000000,184.28000000,1.78000000,-1.78000000,1.69957888,1.87357194,-1.78000000,9,0.00000000,0,False
ATRPercent,8,maximum,0.20000000,0,0.10352940,55,44,11,0.80000000,186.06000000,179.96000000,6.10000000,-6.10000000,1.69957888,1.89270301,-6.10000000,11,0.00000000,0,False
ATRPercent,8,maximum,0.25000000,1,0.09930350,55,41,14,0.74545455,186.06000000,183.50000000,2.56000000,-2.56000000,1.69957888,2.00757742,-12.43000000,13,9.87000000,1,False
ADX,9,minimum,0.15000000,-1,16.97006150,55,46,9,0.83636364,186.06000000,168.67000000,17.39000000,-17.39000000,1.69957888,1.77940021,-15.42000000,6,-1.97000000,3,False
ADX,9,minimum,0.20000000,0,18.15339100,55,44,11,0.80000000,186.06000000,164.23000000,21.83000000,-21.83000000,1.69957888,1.79758147,-30.36000000,7,8.53000000,4,False
ADX,9,minimum,0.25000000,1,18.73430050,55,41,14,0.74545455,186.06000000,140.47000000,45.59000000,-45.59000000,1.69957888,1.71653744,-34.89000000,9,-10.70000000,5,False
