"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","dir_mo015_di08_strict","strict_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","dir_mo015_di08_strict_repair_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_repair_2020_m1.htm","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","10000","365","0.9993","163.81","10163.81","1.64","1.64","1.64","1.9","5.65","8.69","48.28","29","3","118.34","1.16","1.3842"
"12","dir_mo015_di08_strict","strict_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dir_mo015_di08_strict_continuous_2015_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_continuous_2015_2020_m1.htm","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","10000","2191","5.9986","736.17","10736.17","7.36","1.23","1.19","1.57","3.51","5.43","43.81","210","6","119.13","1.11","6.1796"
"13","dir_mo020_di12_control","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dir_mo020_di12_control_older_2015_2018_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_older_2015_2018_m1.htm","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","10000","1460","3.9973","936.3","10936.3","9.36","2.34","2.26","1.73","6.16","6.82","46.05","152","5","129.15","1.22","7.2497"
"14","dir_mo020_di12_control","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","dir_mo020_di12_control_repair_2019_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_repair_2019_m1.htm","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"15","dir_mo020_di12_control","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","dir_mo020_di12_control_repair_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_repair_2020_m1.htm","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","10000","365","0.9993","-82.98","9917.02","-0.83","-0.83","-0.83","0.84","-2.37","-2.47","40","35","6","341.46","3.34","-0.243"
"16","dir_mo020_di12_control","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dir_mo020_di12_control_continuous_2015_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di12_control_continuous_2015_2020_m1.htm","618C664E09BC06CC214F12D778B7700AEE0A9E3612B54E51C5115FB2D66C5089","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-12.0","10000","2191","5.9986","889.12","10889.12","8.89","1.48","1.43","1.41","3.95","4.39","43.11","225","7","340.67","3.05","2.6099"
"17","dir_mo020_di10_center","primary_repair_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dir_mo020_di10_center_older_2015_2018_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_older_2015_2018_m1.htm","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","10000","1460","3.9973","816.88","10816.88","8.17","2.04","1.98","1.67","5.56","6.36","45.58","147","5","129.15","1.23","6.325"
"18","dir_mo020_di10_center","primary_repair_center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","dir_mo020_di10_center_repair_2019_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_repair_2019_m1.htm","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","10000","364","0.9966","-2.17","9997.83","-0.02","-0.02","-0.02","0.99","-0.06","-0.08","35.14","37","7","184.48","1.81","-0.0118"
"19","dir_mo020_di10_center","primary_repair_center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","dir_mo020_di10_center_repair_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_repair_2020_m1.htm","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","10000","365","0.9993","83.79","10083.79","0.84","0.84","0.84","1.24","2.7","3.44","45.16","31","3","192.55","1.89","0.4352"
"20","dir_mo020_di10_center","primary_repair_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dir_mo020_di10_center_continuous_2015_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di10_center_continuous_2015_2020_m1.htm","9DB22C010941A117A053FD4F75538AC9C9423A01B844F8FD18FC8602F8839381","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-10.0","10000","2191","5.9986","954.8","10954.8","9.55","1.59","1.53","1.49","4.42","5.22","43.52","216","7","192.55","1.74","4.9587"
"21","dir_mo020_di08_strict","strict_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dir_mo020_di08_strict_older_2015_2018_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_older_2015_2018_m1.htm","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","10000","1460","3.9973","707.08","10707.08","7.07","1.77","1.72","1.59","4.91","5.7","45.14","144","5","124.97","1.19","5.658"
"22","dir_mo020_di08_strict","strict_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","dir_mo020_di08_strict_repair_2019_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_repair_2019_m1.htm","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","10000","364","0.9966","29.13","10029.13","0.29","0.29","0.29","1.1","0.81","1.07","36.11","36","6","153.18","1.51","0.1902"
"23","dir_mo020_di08_strict","strict_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","dir_mo020_di08_strict_repair_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_repair_2020_m1.htm","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","10000","365","0.9993","179.59","10179.59","1.8","1.8","1.8","1.66","6.19","7.64","48.28","29","3","149.53","1.46","1.201"
"24","dir_mo020_di08_strict","strict_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dir_mo020_di08_strict_continuous_2015_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo020_di08_strict_continuous_2015_2020_m1.htm","D3BDEC6138F0FA919A9CDE5936D12D526915781FC9638C99795636E83A3253DA","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.20","-8.0","10000","2191","5.9986","939.03","10939.03","9.39","1.57","1.51","1.52","4.47","5.29","43.81","210","6","155.08","1.44","6.0551"
