"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PullbackEMAPeriod","PullbackLookbackBars","MinimumADX","TakeProfitR","UseSignalVolumeFilter","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"11","m15tpb_pb2","4","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb2.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15tpb_pb2_discovery_2019_2020_m1.ini","m15tpb_pb2_discovery_2019_2020_m1","profiles\m15tpb_pb2.set","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","2","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb2_discovery_2019_2020_m1.htm","CAA633661C763061991B8827CF0D625869734227176D5D1C82B5CD173857A70F","10000","730","1.9986","-89.17","9910.83","-0.89","-0.45","-0.45","0.29","-4.25","-5","33.33","21","7","93.66","0.94","89.17","93.66","-0.9521","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"12","m15tpb_pb2","4","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb2.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15tpb_pb2_continuous_2015_2020_m1.ini","m15tpb_pb2_continuous_2015_2020_m1","profiles\m15tpb_pb2.set","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","2","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb2_continuous_2015_2020_m1.htm","DCED08749992E45384D21E7B4355D7CF893182FEEB255C4CA0ECF43B88B59215","10000","2191","5.9986","-243.86","9756.14","-2.44","-0.41","-0.41","0.36","-3.81","-5","34.38","64","9","252.46","2.52","243.86","252.46","-0.9659","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"13","m15tpb_pb4","5","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb4.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15tpb_pb4_older_2015_2018_m1.ini","m15tpb_pb4_older_2015_2018_m1","profiles\m15tpb_pb4.set","1F6D095C77E357F6774814324A19E174DE29EC1F41B4835AC32178331C73EA97","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","4","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb4_older_2015_2018_m1.htm","87CC7DF0AA48B57353B715914E0B2B2E1F371D127C5F0D2C5DE1F1CD616816F8","10000","1460","3.9973","-218.51","9781.49","-2.19","-0.55","-0.55","0.33","-4.37","-5","30","50","8","224.88","2.25","220.68","224.88","-0.9717","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"14","m15tpb_pb4","5","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb4.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m15tpb_pb4_discovery_2019_2020_m1.ini","m15tpb_pb4_discovery_2019_2020_m1","profiles\m15tpb_pb4.set","1F6D095C77E357F6774814324A19E174DE29EC1F41B4835AC32178331C73EA97","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","4","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb4_discovery_2019_2020_m1.htm","77AE287CE9A449CBDEEB135064455306323FBD1070652ACF3581B8053F917214","10000","730","1.9986","-200.28","9799.72","-2","-1","-1.01","0.24","-5.56","-5","19.44","36","9","208.73","2.09","200.28","208.73","-0.9595","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"15","m15tpb_pb4","5","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb4.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m15tpb_pb4_continuous_2015_2020_m1.ini","m15tpb_pb4_continuous_2015_2020_m1","profiles\m15tpb_pb4.set","1F6D095C77E357F6774814324A19E174DE29EC1F41B4835AC32178331C73EA97","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","4","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb4_continuous_2015_2020_m1.htm","A6E4EDAC15B8F95D08C11DF51538F905C0750C1530D765D834F1E33F4AD6331D","10000","2191","5.9986","-417.72","9582.28","-4.18","-0.7","-0.71","0.28","-4.86","-5","25.58","86","9","424.09","4.24","419.89","424.09","-0.985","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"16","m15tpb_adx14","6","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx14.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m15tpb_adx14_older_2015_2018_m1.ini","m15tpb_adx14_older_2015_2018_m1","profiles\m15tpb_adx14.set","4329F48015B60EC7609D233DF00DB15C94F69EB1E56D9E829EC8E8FB04F1DC84","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","14.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_adx14_older_2015_2018_m1.htm","0C66F92BAABFFD65554FE3DB30EB2AD69D662EBF3C1C657DBCE6323D55278ECC","10000","1460","3.9973","-205.59","9794.41","-2.06","-0.51","-0.52","0.34","-4.03","-5","33.33","51","11","240.51","2.4","235.44","240.51","-0.8548","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"17","m15tpb_adx14","6","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx14.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m15tpb_adx14_discovery_2019_2020_m1.ini","m15tpb_adx14_discovery_2019_2020_m1","profiles\m15tpb_adx14.set","4329F48015B60EC7609D233DF00DB15C94F69EB1E56D9E829EC8E8FB04F1DC84","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","14.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_adx14_discovery_2019_2020_m1.htm","78A8DC5AAA82E06A8B583CAFDA7E632BED7B4FCDB63709DC1A16DF4F968614A7","10000","730","1.9986","-140.69","9859.31","-1.41","-0.7","-0.71","0.4","-3.8","-5","29.73","37","6","167.85","1.68","158.16","167.85","-0.8382","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"18","m15tpb_adx14","6","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx14.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m15tpb_adx14_continuous_2015_2020_m1.ini","m15tpb_adx14_continuous_2015_2020_m1","profiles\m15tpb_adx14.set","4329F48015B60EC7609D233DF00DB15C94F69EB1E56D9E829EC8E8FB04F1DC84","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","14.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_adx14_continuous_2015_2020_m1.htm","F68B8569D8A894B1A27467ED44ADB63DA82F078DB95505A5A64E70DADF7600C4","10000","2191","5.9986","-339.78","9660.22","-3.4","-0.57","-0.57","0.37","-3.86","-5","31.82","88","11","393.88","3.93","386.11","393.88","-0.8626","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"19","m15tpb_adx22","7","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx22.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m15tpb_adx22_older_2015_2018_m1.ini","m15tpb_adx22_older_2015_2018_m1","profiles\m15tpb_adx22.set","D646F3A586F8B5FF321220A9EF7DEB2F8FF07A64D742946D20B3A5F671BEDB05","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","22.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_adx22_older_2015_2018_m1.htm","D7A4E8C9E27B960AA8D2372675764EE9377E98E6596182C3AF33E3F04590592A","10000","1460","3.9973","-149.37","9850.63","-1.49","-0.37","-0.38","0.27","-4.67","-5","31.25","32","9","163.16","1.63","150.28","163.16","-0.9155","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"20","m15tpb_adx22","7","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx22.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m15tpb_adx22_discovery_2019_2020_m1.ini","m15tpb_adx22_discovery_2019_2020_m1","profiles\m15tpb_adx22.set","D646F3A586F8B5FF321220A9EF7DEB2F8FF07A64D742946D20B3A5F671BEDB05","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","22.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_adx22_discovery_2019_2020_m1.htm","944EFEC89C154416A9032818B0F4D3FE0DCEA1BDFC3348AC8EC93565268CC330","10000","730","1.9986","-153.1","9846.9","-1.53","-0.77","-0.77","0.15","-5.89","-5","23.08","26","12","163.54","1.63","153.85","163.54","-0.9362","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"21","m15tpb_adx22","7","independent_m15_trend_pullback","1","discovery_model1","m15tpb_adx22.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m15tpb_adx22_continuous_2015_2020_m1.ini","m15tpb_adx22_continuous_2015_2020_m1","profiles\m15tpb_adx22.set","D646F3A586F8B5FF321220A9EF7DEB2F8FF07A64D742946D20B3A5F671BEDB05","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","22.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_adx22_continuous_2015_2020_m1.htm","CDCF885FA573D1B2796C02421E975F785E12C2D4F6CB93B784DF311E88A06256","10000","2191","5.9986","-297.2","9702.8","-2.97","-0.5","-0.5","0.22","-5.12","-5","27.59","58","12","313.13","3.13","297.95","313.13","-0.9491","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"22","m15tpb_tp150","8","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_m15tpb_tp150_older_2015_2018_m1.ini","m15tpb_tp150_older_2015_2018_m1","profiles\m15tpb_tp150.set","A439629A124426B59C23BAC61B3142724171D24F6E70548936F17EE2984E7CB9","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","18.0","1.50","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_tp150_older_2015_2018_m1.htm","9DB405216ACF4DAF0C74F47D27EB5C9FFDEA2CABA22B59C0F3EE17BB5DE8DFB8","10000","1460","3.9973","-119.04","9880.96","-1.19","-0.3","-0.3","0.53","-2.77","-5","37.21","43","10","161.47","1.61","149.12","161.47","-0.7372","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"23","m15tpb_tp150","8","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_m15tpb_tp150_discovery_2019_2020_m1.ini","m15tpb_tp150_discovery_2019_2020_m1","profiles\m15tpb_tp150.set","A439629A124426B59C23BAC61B3142724171D24F6E70548936F17EE2984E7CB9","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","18.0","1.50","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_tp150_discovery_2019_2020_m1.htm","ACF4C0E48C287E82A30837A3D673D2C87BECD6B7B3F957625FB2661752F11AC0","10000","730","1.9986","-152.3","9847.7","-1.52","-0.76","-0.76","0.27","-4.91","-5","25.81","31","7","179.48","1.79","169.79","179.48","-0.8486","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"24","m15tpb_tp150","8","independent_m15_trend_pullback","1","discovery_model1","m15tpb_tp150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_m15tpb_tp150_continuous_2015_2020_m1.ini","m15tpb_tp150_continuous_2015_2020_m1","profiles\m15tpb_tp150.set","A439629A124426B59C23BAC61B3142724171D24F6E70548936F17EE2984E7CB9","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","18.0","1.50","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_tp150_continuous_2015_2020_m1.htm","266B205C253FF507CAE5DBA19415C00DBE71A3C178AFB5FBE0052778AB944A54","10000","2191","5.9986","-266.07","9733.93","-2.66","-0.44","-0.45","0.41","-3.6","-5","32.43","74","10","327.7","3.26","312.65","327.7","-0.8119","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
