"QueueRank","Candidate","Window","From","To","Model","PriceNormalizedStopCap","MaximumStopPriceDistance","MaximumStopPricePercent","Promotable","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"11","drns_pct030","older_2015_2018","2015.01.01","2018.12.31","1","true","6.00","0.30","True","D8F58A52E4EAD2C621ACD1E31C04F67121A17C5A25745B04D2A1F3C579756076","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","187.2","1.87","0.47","1.39","103","50.49","103.73","1.04","1.8047","1.7981","943A3681FFF2A0724418AB2701188045306E944E32E9CDB87555F11C9F674EF4"
"12","drns_pct030","pre_2019_2020","2019.01.01","2020.12.31","1","true","6.00","0.30","True","D8F58A52E4EAD2C621ACD1E31C04F67121A17C5A25745B04D2A1F3C579756076","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","65.02","0.65","0.32","1.18","73","46.58","88.88","0.89","0.7315","0.7303","384B1B932945F928DAA313EB5E248B4D01DA1EAE1F8B5C2790A91B0960B2A76E"
"13","drns_pct030","transition_2021_2023","2021.01.01","2023.12.31","1","true","6.00","0.30","True","D8F58A52E4EAD2C621ACD1E31C04F67121A17C5A25745B04D2A1F3C579756076","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","187.84","1.88","0.62","1.37","119","52.1","71.32","0.7","2.6338","2.6857","9D519D118FEF27E038EEE6E5BC4F9877BB9A3933FC8A114F6AD26CCC75A22832"
"14","drns_pct030","recent_2024_2026","2024.01.01","2026.07.17","1","true","6.00","0.30","True","D8F58A52E4EAD2C621ACD1E31C04F67121A17C5A25745B04D2A1F3C579756076","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","-7.93","-0.08","-0.03","0.98","71","43.66","93.22","0.93","-0.0851","-0.086","B48F73CAF1A1566B83A36EACA640785420C0A9AFF58DF256D0037C053FF79739"
"15","drns_pct030","continuous_2015_2026","2015.01.01","2026.07.17","1","true","6.00","0.30","True","D8F58A52E4EAD2C621ACD1E31C04F67121A17C5A25745B04D2A1F3C579756076","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","430.93","4.31","0.37","1.25","366","48.91","105.87","1.01","4.0704","4.2673","811153536BDEF038C575618C3480DA697C4A45C3DF4DA6D3E8BB095611F541F2"
"16","drns_pct035","older_2015_2018","2015.01.01","2018.12.31","1","true","6.00","0.35","True","C00E71006AA800340E87DAF69080AA4586E3049E3F794F658B46A5D7A689CB9C","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","187.2","1.87","0.47","1.39","103","50.49","103.73","1.04","1.8047","1.7981","9A4465CC9FF35D8430ACB1016E762D407527BB2A5A81378F656F1A5E16242B52"
"17","drns_pct035","pre_2019_2020","2019.01.01","2020.12.31","1","true","6.00","0.35","True","C00E71006AA800340E87DAF69080AA4586E3049E3F794F658B46A5D7A689CB9C","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","59.59","0.6","0.3","1.17","74","45.95","88.88","0.89","0.6705","0.6742","52C34682A86F9A42CC363F000B0BB8AC4DC5F12D3D14392E972D6F82B10DCA02"
"18","drns_pct035","transition_2021_2023","2021.01.01","2023.12.31","1","true","6.00","0.35","True","C00E71006AA800340E87DAF69080AA4586E3049E3F794F658B46A5D7A689CB9C","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","181.94","1.82","0.6","1.35","120","51.67","71.32","0.7","2.551","2.6","EF02B7A3A0252548B2AF1F44947865E8E62F8CF24044FFC1F266882227F57595"
"19","drns_pct035","recent_2024_2026","2024.01.01","2026.07.17","1","true","6.00","0.35","True","C00E71006AA800340E87DAF69080AA4586E3049E3F794F658B46A5D7A689CB9C","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","-7.93","-0.08","-0.03","0.98","71","43.66","93.22","0.93","-0.0851","-0.086","9B3EBF67781AD7AA93C9E6EE26006FCBCDDBB4E05519E74BBC3C98E0E9B35698"
"20","drns_pct035","continuous_2015_2026","2015.01.01","2026.07.17","1","true","6.00","0.35","True","C00E71006AA800340E87DAF69080AA4586E3049E3F794F658B46A5D7A689CB9C","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","423.08","4.23","0.36","1.25","368","48.64","103.73","1.04","4.0787","4.0673","F47BABB49A3B4054B063CF0A0858BE6BD17855B8C192C12B58EE7A31C1E90E8E"
"21","drns_atr_only","older_2015_2018","2015.01.01","2018.12.31","1","false","0.00","0.30","False","7736078518CEDCEBC66AD04D10531875170F84BDA7FFE01B070B878A2A752FFA","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","187.2","1.87","0.47","1.39","103","50.49","103.73","1.04","1.8047","1.7981","3D935487684D68C3CDE69FCF5032EF816CBBC5535DD27CA673A4BF24A4A2862C"
"22","drns_atr_only","pre_2019_2020","2019.01.01","2020.12.31","1","false","0.00","0.30","False","7736078518CEDCEBC66AD04D10531875170F84BDA7FFE01B070B878A2A752FFA","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","59.59","0.6","0.3","1.17","74","45.95","88.88","0.89","0.6705","0.6742","A5488731E90A30CC60DCB3FF01603ECF4F5F06B12BD08916D7B9EE2F9D26C882"
"23","drns_atr_only","transition_2021_2023","2021.01.01","2023.12.31","1","false","0.00","0.30","False","7736078518CEDCEBC66AD04D10531875170F84BDA7FFE01B070B878A2A752FFA","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","181.94","1.82","0.6","1.35","120","51.67","71.32","0.7","2.551","2.6","67295B6D4E50C6697D4387D4FD82AE32F268ECFA62835B21B6EDC40BDD04599C"
"24","drns_atr_only","recent_2024_2026","2024.01.01","2026.07.17","1","false","0.00","0.30","False","7736078518CEDCEBC66AD04D10531875170F84BDA7FFE01B070B878A2A752FFA","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","-7.93","-0.08","-0.03","0.98","71","43.66","93.22","0.93","-0.0851","-0.086","6749A78AB50FE9D8A6577724F91FC607DF1D48104FEFF2DA1527B34BAAE9A9FA"
"25","drns_atr_only","continuous_2015_2026","2015.01.01","2026.07.17","1","false","0.00","0.30","False","7736078518CEDCEBC66AD04D10531875170F84BDA7FFE01B070B878A2A752FFA","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","423.08","4.23","0.36","1.25","368","48.64","103.73","1.04","4.0787","4.0673","A283B1676939820681F2F863D09062787725E3F2696C87AD0AEADC080940D585"
