"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","ObservationEndHour","MinimumImpulseATR","MinimumEfficiency","MinimumDirectionalBarsPercent","MinimumPullbackRetracement","MaximumPullbackRetracement","PullbackLookbackBars","TakeProfitR","StopRule"
"12","sip_impulse40","4","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse40.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_sip_impulse40_continuous_2015_2020_m1.ini","sip_impulse40_continuous_2015_2020_m1","profiles\sip_impulse40.set","B6FC40AFF943FFF4610C3FB95BA0F2CD416F4E07FE48A9D2551B70F9C95B2F11","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.40","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"13","sip_impulse80","5","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse80.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_sip_impulse80_older_2015_2018_m1.ini","sip_impulse80_older_2015_2018_m1","profiles\sip_impulse80.set","5F2DF08E98EDA46C4FDC1B077A5285FF3CD6E2123188851B3270C15124425D53","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.80","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"14","sip_impulse80","5","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse80.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_sip_impulse80_discovery_2019_2020_m1.ini","sip_impulse80_discovery_2019_2020_m1","profiles\sip_impulse80.set","5F2DF08E98EDA46C4FDC1B077A5285FF3CD6E2123188851B3270C15124425D53","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.80","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"15","sip_impulse80","5","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse80.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_sip_impulse80_continuous_2015_2020_m1.ini","sip_impulse80_continuous_2015_2020_m1","profiles\sip_impulse80.set","5F2DF08E98EDA46C4FDC1B077A5285FF3CD6E2123188851B3270C15124425D53","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.80","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"16","sip_eff35","6","independent_m15_session_impulse_pullback","1","discovery_model1","sip_eff35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_sip_eff35_older_2015_2018_m1.ini","sip_eff35_older_2015_2018_m1","profiles\sip_eff35.set","9CA6CBDAA004F9D60CCBD38A310708F2C4E36BF9CFAAF08461FE061BADFF8C4C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.35","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"17","sip_eff35","6","independent_m15_session_impulse_pullback","1","discovery_model1","sip_eff35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_sip_eff35_discovery_2019_2020_m1.ini","sip_eff35_discovery_2019_2020_m1","profiles\sip_eff35.set","9CA6CBDAA004F9D60CCBD38A310708F2C4E36BF9CFAAF08461FE061BADFF8C4C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.35","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"18","sip_eff35","6","independent_m15_session_impulse_pullback","1","discovery_model1","sip_eff35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_sip_eff35_continuous_2015_2020_m1.ini","sip_eff35_continuous_2015_2020_m1","profiles\sip_eff35.set","9CA6CBDAA004F9D60CCBD38A310708F2C4E36BF9CFAAF08461FE061BADFF8C4C","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.35","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"19","sip_eff55","7","independent_m15_session_impulse_pullback","1","discovery_model1","sip_eff55.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_sip_eff55_older_2015_2018_m1.ini","sip_eff55_older_2015_2018_m1","profiles\sip_eff55.set","74151FDF3DBD60EA28812D7887604E9F069323A34F615EF527793E1B07F38C1A","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.55","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"20","sip_eff55","7","independent_m15_session_impulse_pullback","1","discovery_model1","sip_eff55.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_sip_eff55_discovery_2019_2020_m1.ini","sip_eff55_discovery_2019_2020_m1","profiles\sip_eff55.set","74151FDF3DBD60EA28812D7887604E9F069323A34F615EF527793E1B07F38C1A","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.55","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"21","sip_eff55","7","independent_m15_session_impulse_pullback","1","discovery_model1","sip_eff55.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_sip_eff55_continuous_2015_2020_m1.ini","sip_eff55_continuous_2015_2020_m1","profiles\sip_eff55.set","74151FDF3DBD60EA28812D7887604E9F069323A34F615EF527793E1B07F38C1A","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.55","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"22","sip_dir45","8","independent_m15_session_impulse_pullback","1","discovery_model1","sip_dir45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_sip_dir45_older_2015_2018_m1.ini","sip_dir45_older_2015_2018_m1","profiles\sip_dir45.set","9EA27019D464AEA40CFB1DE45D59B1940900CD12A608E7670D7359BF394CDFF8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","45.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"23","sip_dir45","8","independent_m15_session_impulse_pullback","1","discovery_model1","sip_dir45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_sip_dir45_discovery_2019_2020_m1.ini","sip_dir45_discovery_2019_2020_m1","profiles\sip_dir45.set","9EA27019D464AEA40CFB1DE45D59B1940900CD12A608E7670D7359BF394CDFF8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","45.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"24","sip_dir45","8","independent_m15_session_impulse_pullback","1","discovery_model1","sip_dir45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_sip_dir45_continuous_2015_2020_m1.ini","sip_dir45_continuous_2015_2020_m1","profiles\sip_dir45.set","9EA27019D464AEA40CFB1DE45D59B1940900CD12A608E7670D7359BF394CDFF8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","45.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"25","sip_dir65","9","independent_m15_session_impulse_pullback","1","discovery_model1","sip_dir65.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_sip_dir65_older_2015_2018_m1.ini","sip_dir65_older_2015_2018_m1","profiles\sip_dir65.set","01E65165553E112E006A1B741875484F5975996818AF398898C4EDD40DB5FA36","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","65.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"26","sip_dir65","9","independent_m15_session_impulse_pullback","1","discovery_model1","sip_dir65.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_sip_dir65_discovery_2019_2020_m1.ini","sip_dir65_discovery_2019_2020_m1","profiles\sip_dir65.set","01E65165553E112E006A1B741875484F5975996818AF398898C4EDD40DB5FA36","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","65.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"27","sip_dir65","9","independent_m15_session_impulse_pullback","1","discovery_model1","sip_dir65.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_sip_dir65_continuous_2015_2020_m1.ini","sip_dir65_continuous_2015_2020_m1","profiles\sip_dir65.set","01E65165553E112E006A1B741875484F5975996818AF398898C4EDD40DB5FA36","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","65.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"28","sip_minret10","10","independent_m15_session_impulse_pullback","1","discovery_model1","sip_minret10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_sip_minret10_older_2015_2018_m1.ini","sip_minret10_older_2015_2018_m1","profiles\sip_minret10.set","75F18FF1B61CDDD99568AE4A2E2C33349C6FAAF4251E4D499C5DC078DDBBCACA","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.10","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"29","sip_minret10","10","independent_m15_session_impulse_pullback","1","discovery_model1","sip_minret10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_sip_minret10_discovery_2019_2020_m1.ini","sip_minret10_discovery_2019_2020_m1","profiles\sip_minret10.set","75F18FF1B61CDDD99568AE4A2E2C33349C6FAAF4251E4D499C5DC078DDBBCACA","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.10","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"30","sip_minret10","10","independent_m15_session_impulse_pullback","1","discovery_model1","sip_minret10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_sip_minret10_continuous_2015_2020_m1.ini","sip_minret10_continuous_2015_2020_m1","profiles\sip_minret10.set","75F18FF1B61CDDD99568AE4A2E2C33349C6FAAF4251E4D499C5DC078DDBBCACA","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.10","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"31","sip_minret30","11","independent_m15_session_impulse_pullback","1","discovery_model1","sip_minret30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_sip_minret30_older_2015_2018_m1.ini","sip_minret30_older_2015_2018_m1","profiles\sip_minret30.set","B2C7811879385A571A57100C4DFCCAF301A522020B40B7ED93890F92BBC44BCB","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.30","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"32","sip_minret30","11","independent_m15_session_impulse_pullback","1","discovery_model1","sip_minret30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_sip_minret30_discovery_2019_2020_m1.ini","sip_minret30_discovery_2019_2020_m1","profiles\sip_minret30.set","B2C7811879385A571A57100C4DFCCAF301A522020B40B7ED93890F92BBC44BCB","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.30","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"33","sip_minret30","11","independent_m15_session_impulse_pullback","1","discovery_model1","sip_minret30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_sip_minret30_continuous_2015_2020_m1.ini","sip_minret30_continuous_2015_2020_m1","profiles\sip_minret30.set","B2C7811879385A571A57100C4DFCCAF301A522020B40B7ED93890F92BBC44BCB","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.30","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"34","sip_maxret45","12","independent_m15_session_impulse_pullback","1","discovery_model1","sip_maxret45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_sip_maxret45_older_2015_2018_m1.ini","sip_maxret45_older_2015_2018_m1","profiles\sip_maxret45.set","9CD0BB91D491842CE665E41694EB547C46A3C2A6043C4D402F56608DB87B78FA","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.45","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"35","sip_maxret45","12","independent_m15_session_impulse_pullback","1","discovery_model1","sip_maxret45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_sip_maxret45_discovery_2019_2020_m1.ini","sip_maxret45_discovery_2019_2020_m1","profiles\sip_maxret45.set","9CD0BB91D491842CE665E41694EB547C46A3C2A6043C4D402F56608DB87B78FA","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.45","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"36","sip_maxret45","12","independent_m15_session_impulse_pullback","1","discovery_model1","sip_maxret45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_sip_maxret45_continuous_2015_2020_m1.ini","sip_maxret45_continuous_2015_2020_m1","profiles\sip_maxret45.set","9CD0BB91D491842CE665E41694EB547C46A3C2A6043C4D402F56608DB87B78FA","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.45","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"37","sip_maxret75","13","independent_m15_session_impulse_pullback","1","discovery_model1","sip_maxret75.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_sip_maxret75_older_2015_2018_m1.ini","sip_maxret75_older_2015_2018_m1","profiles\sip_maxret75.set","90ACC76E527B2EC890241E401E4D8635832686D4617DDD2EC646A62F3C2C1375","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.75","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"38","sip_maxret75","13","independent_m15_session_impulse_pullback","1","discovery_model1","sip_maxret75.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_sip_maxret75_discovery_2019_2020_m1.ini","sip_maxret75_discovery_2019_2020_m1","profiles\sip_maxret75.set","90ACC76E527B2EC890241E401E4D8635832686D4617DDD2EC646A62F3C2C1375","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.75","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"39","sip_maxret75","13","independent_m15_session_impulse_pullback","1","discovery_model1","sip_maxret75.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\039_sip_maxret75_continuous_2015_2020_m1.ini","sip_maxret75_continuous_2015_2020_m1","profiles\sip_maxret75.set","90ACC76E527B2EC890241E401E4D8635832686D4617DDD2EC646A62F3C2C1375","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.75","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
