"QueueRank","Candidate","Role","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","ContractSha256","RVMinimumDIEdge","DistanceGuardEnabled","LongDistanceLookbackBars","MinimumAlignedDistanceATR","InitialDeposit","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"11","rddi_di10_m12","loose_neighbor","repair_2020","2020.01.01","2020.12.31","1","10000","rddi_di10_m12_repair_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_repair_2020_m1.htm","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","10000","66.3","10066.3","0.66","","","1.25","2.14","3.27","45.16","31","3","161.36","1.59","119.35","161.36","0.4109"
"12","rddi_di10_m12","loose_neighbor","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rddi_di10_m12_continuous_2015_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_continuous_2015_2020_m1.htm","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-12.0","10000","780.65","10780.65","7.81","","","1.56","3.63","5.31","43.72","215","7","160.57","1.48","132.05","160.57","4.8617"
"13","rddi_di10_m10_center","center","older_2015_2018","2015.01.01","2018.12.31","1","10000","rddi_di10_m10_center_older_2015_2018_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_older_2015_2018_m1.htm","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","10000","724.77","10724.77","7.25","","","1.85","4.96","7.12","45.89","146","5","94.98","0.91","75.68","94.98","7.6308"
"14","rddi_di10_m10_center","center","repair_2019","2019.01.01","2019.12.31","1","10000","rddi_di10_m10_center_repair_2019_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_repair_2019_m1.htm","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
"15","rddi_di10_m10_center","center","repair_2020","2020.01.01","2020.12.31","1","10000","rddi_di10_m10_center_repair_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_repair_2020_m1.htm","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","10000","105.6","10105.6","1.06","","","1.47","3.52","5.4","46.67","30","3","161.36","1.58","116.84","161.36","0.6544"
"16","rddi_di10_m10_center","center","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rddi_di10_m10_center_continuous_2015_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_continuous_2015_2020_m1.htm","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-10.0","10000","819.95","10819.95","8.2","","","1.61","3.83","5.6","43.93","214","7","160.57","1.47","132.05","160.57","5.1065"
"17","rddi_di10_m8","strict_neighbor","older_2015_2018","2015.01.01","2018.12.31","1","10000","rddi_di10_m8_older_2015_2018_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_older_2015_2018_m1.htm","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","10000","659.14","10659.14","6.59","","","1.79","4.58","6.65","45.83","144","5","87.62","0.87","73.07","87.62","7.5227"
"18","rddi_di10_m8","strict_neighbor","repair_2019","2019.01.01","2019.12.31","1","10000","rddi_di10_m8_repair_2019_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_repair_2019_m1.htm","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","10000","-4.98","9995.02","-0.05","","","0.98","-0.13","-0.22","35.14","37","7","127.85","1.26","114.04","127.85","-0.039"
"19","rddi_di10_m8","strict_neighbor","repair_2020","2020.01.01","2020.12.31","1","10000","rddi_di10_m8_repair_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_repair_2020_m1.htm","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","10000","105.6","10105.6","1.06","","","1.47","3.52","5.4","46.67","30","3","161.36","1.58","116.84","161.36","0.6544"
"20","rddi_di10_m8","strict_neighbor","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","rddi_di10_m8_continuous_2015_2020_m1","PARSED","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_continuous_2015_2020_m1.htm","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","875BFDDD2F2A3A3A91B9CEA2A621B7854DAFDD71385D209995AED0F13878270B","-10.0","true","200","-8.0","10000","754.32","10754.32","7.54","","","1.57","3.56","5.24","43.87","212","7","160.57","1.48","132.05","160.57","4.6978"
