"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"11","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\011_tlat_rc2_decomp_atb150_recent_2023_2026_m1.ini","tlat_rc2_decomp_atb150_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb150_recent_2023_2026_m1","33880D49E7D005269627FC36EFB3B19035B26307145E9752459AD9F9CB5401C4","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"12","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\012_tlat_rc2_decomp_atb150_continuous_2015_2026_m1.ini","tlat_rc2_decomp_atb150_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb150_continuous_2015_2026_m1","C54306CF043D6167DCCC3990E20809EB9C81FA871DE62C143E11978DF95F3845","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"13","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\013_tlat_rc2_decomp_mo125_older_2015_2018_m1.ini","tlat_rc2_decomp_mo125_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_mo125_older_2015_2018_m1","4D9C0EAB4111F2FC96B49F74AE42419083CB9E7FD5AE9604D04AD712169BB953","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"14","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\014_tlat_rc2_decomp_mo125_middle_2019_2022_m1.ini","tlat_rc2_decomp_mo125_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_mo125_middle_2019_2022_m1","269103236D2E2A0B20386CC104C119F6DC26F5C08AC2125D97432A4FAA6646DD","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"15","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\015_tlat_rc2_decomp_mo125_recent_2023_2026_m1.ini","tlat_rc2_decomp_mo125_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_mo125_recent_2023_2026_m1","44707D19362A3C3922225E7900080AC3914D55AF27F4D51A15CCA28273389C4D","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"16","tlat_rc2_decomp_mo125","tlat_rc2_decomp_mo125","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","mo_1.25","0.45","0.1875","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\016_tlat_rc2_decomp_mo125_continuous_2015_2026_m1.ini","tlat_rc2_decomp_mo125_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_mo125_continuous_2015_2026_m1","F8A8FD02FF5BA15C80E3078DFCCA9C36867E39E0CA6792C4C2A98183ADBE886E","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","DFCAD51B9023CE93D86553B113958A6ED2C0A331EDDCF11A3588D83104F301E1"
"17","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\017_tlat_rc2_decomp_rv125_older_2015_2018_m1.ini","tlat_rc2_decomp_rv125_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_rv125_older_2015_2018_m1","00588F262C3C7FF07C185D0BF9410154D3AEE90DFEACD2D92536456ECABC0EB0","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
"18","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\018_tlat_rc2_decomp_rv125_middle_2019_2022_m1.ini","tlat_rc2_decomp_rv125_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_rv125_middle_2019_2022_m1","2281837F2E62174B9C5C2BC852B840AE89B85655429621B28CE308914916EE1E","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
"19","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\019_tlat_rc2_decomp_rv125_recent_2023_2026_m1.ini","tlat_rc2_decomp_rv125_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_rv125_recent_2023_2026_m1","E54A0A7D902485C91A509175AB5F683A5EF8C2ED0EB9BC37CABC3D7FCE9E06E1","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
"20","tlat_rc2_decomp_rv125","tlat_rc2_decomp_rv125","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","rv_1.25","0.5625","0.15","0.10","0.85","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\020_tlat_rc2_decomp_rv125_continuous_2015_2026_m1.ini","tlat_rc2_decomp_rv125_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_rv125_continuous_2015_2026_m1","DFFF5E9641F2F53300A0B824099FCD7CCF566A0C3EAE99A827D7D352448ECA7F","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","0AB68ED99AC2E7489B8AF365FD8710CFA79987A8433DE58F55FBEEB5C3249CB7"
