"Candidate","EvidencePhase","LeadLookbackBars","OlderNetProfit","OlderAnnualizedReturnPercent","OlderProfitFactor","OlderDrawdownPercent","OlderTrades","OlderGatePass","NewerNetProfit","NewerAnnualizedReturnPercent","NewerProfitFactor","NewerDrawdownPercent","NewerTrades","NewerGatePass","AggregateValidationNetScore","WorstEraNetProfit","NumericGatePass","NeighborhoodReproduced","AdjacentSupportPass","PromotionGatePass","ContinuousOpened","RecentDataOpened","Model4Opened","Verdict","Reason"
"xmll_tol000","Discovery","8","-90.54","-0.3","0.79","1.31","83","False","-66.97","-0.22","0.84","1.06","98","False","-157.51","-90.54","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead12","Discovery","12","-90.55","-0.3","0.8","1.51","91","False","44.97","0.15","1.11","0.75","95","True","-45.58","-90.55","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_gap050","Discovery","8","-96.26","-0.32","0.78","1.25","84","False","-44.15","-0.15","0.89","1.08","97","False","-140.41","-96.26","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_xaumax050","Discovery","8","-100.7","-0.34","0.7","1.18","62","False","-30.78","-0.1","0.88","0.97","59","False","-131.48","-100.7","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_gap020","Discovery","8","-119.52","-0.4","0.75","1.44","89","False","-66.91","-0.22","0.86","1.1","105","False","-186.43","-119.52","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_base","Discovery","8","-119.52","-0.4","0.75","1.44","89","False","-66.91","-0.22","0.86","1.1","105","False","-186.43","-119.52","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_tp125","Discovery","8","-124.88","-0.42","0.73","1.56","89","False","-60.49","-0.2","0.87","1.21","105","False","-185.37","-124.88","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_no_slope","Discovery","8","-159.87","-0.53","0.71","1.67","102","False","11.64","0.04","1.02","0.95","122","False","-148.23","-159.87","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead16","Discovery","16","-165.04","-0.55","0.57","2.07","66","False","-36.23","-0.12","0.91","1.22","91","False","-201.27","-165.04","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_xag075","Discovery","8","-199.97","-0.67","0.68","2.37","117","False","-101.36","-0.34","0.83","1.5","131","False","-301.33","-199.97","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
