"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","StopLookbackBars","StopBufferATR","MinimumStopATR","MaximumStopATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"16","ods2_buffer02","4","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer02.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_ods2_buffer02_discovery_2019_2020_m1.ini","ods2_buffer02_discovery_2019_2020_m1","profiles\ods2_buffer02.set","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.02","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer02_discovery_2019_2020_m1.htm","87F9BC512B13B50869EA6A7F7E962BDD85877FB154334AAF21FDD736ADBAEAF6","10000","730","1.9986","41.47","10041.47","0.41","0.21","0.21","1.21","0.86","5.47","54.17","48","3","73.44","0.73","63.58","73.44","0.5647","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"18","ods2_buffer02","4","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer02.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_ods2_buffer02_continuous_2015_2020_m1.ini","ods2_buffer02_continuous_2015_2020_m1","profiles\ods2_buffer02.set","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.02","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer02_continuous_2015_2020_m1.htm","87021E4074C459B87DB679A3D3590BA469F042AA58F105AD32FBD70153D97A33","10000","2191","5.9986","-100.56","9899.44","-1.01","-0.17","-0.17","0.88","-0.6","-3.5","46.75","169","11","234.05","2.33","214.66","234.05","-0.4297","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"19","ods2_buffer08","5","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer08.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_ods2_buffer08_older_2015_2018_m1.ini","ods2_buffer08_older_2015_2018_m1","profiles\ods2_buffer08.set","4A52D6AB8248BC1D286EA3E9D01B317BE958CE7FEF52951059A3680BF93E47EA","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.08","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer08_older_2015_2018_m1.htm","FA3672AF60A2D4EEC2DE333084114034782E21CEA6543446D3C4776BAECD25DB","10000","1460","3.9973","38.22","10038.22","0.38","0.1","0.1","1.07","0.31","1.37","50.4","125","5","129.63","1.28","126.63","129.63","0.2948","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"21","ods2_buffer08","5","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer08.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_ods2_buffer08_discovery_2019_2020_m1.ini","ods2_buffer08_discovery_2019_2020_m1","profiles\ods2_buffer08.set","4A52D6AB8248BC1D286EA3E9D01B317BE958CE7FEF52951059A3680BF93E47EA","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.08","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer08_discovery_2019_2020_m1.htm","D9D68FE61F57B29BE9D3EE40183111AC07A7C431D42E4EF48FBD3EE7EF616E84","10000","730","1.9986","20.15","10020.15","0.2","0.1","0.1","1.11","0.46","2.53","50","44","7","69.59","0.7","63.08","69.59","0.2896","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"22","ods2_buffer08","5","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer08.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_ods2_buffer08_continuous_2015_2020_m1.ini","ods2_buffer08_continuous_2015_2020_m1","profiles\ods2_buffer08.set","4A52D6AB8248BC1D286EA3E9D01B317BE958CE7FEF52951059A3680BF93E47EA","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.08","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer08_continuous_2015_2020_m1.htm","07B014EA00DDEFC19536AD1F382FEF8F37C80C73475A6B41B992402BD9303F3F","10000","2191","5.9986","58.37","10058.37","0.58","0.1","0.1","1.08","0.35","1.62","50.3","169","8","129.63","1.28","126.63","129.63","0.4503","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"24","ods2_minstop03","6","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop03.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_ods2_minstop03_older_2015_2018_m1.ini","ods2_minstop03_older_2015_2018_m1","profiles\ods2_minstop03.set","8B3BBA628D29FC9B172DCAB348A656495349476F70B1A25CF3DD98CBB02FC9D1","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.03","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_minstop03_older_2015_2018_m1.htm","F5EC6389F0E00B50EAFF0C61573CD9EAA72C3E58B1ADF869DEAD31FBA5A5CEF3","10000","1460","3.9973","16.16","10016.16","0.16","0.04","0.04","1.03","0.13","0.66","46.34","123","10","165.04","1.63","152.96","165.04","0.0979","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"25","ods2_minstop03","6","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop03.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_ods2_minstop03_discovery_2019_2020_m1.ini","ods2_minstop03_discovery_2019_2020_m1","profiles\ods2_minstop03.set","8B3BBA628D29FC9B172DCAB348A656495349476F70B1A25CF3DD98CBB02FC9D1","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.03","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_minstop03_discovery_2019_2020_m1.htm","FCABC0A9B047DA1F99B7BE997C13E599CEA4F7AE748CA02870CB85772B6EE625","10000","730","1.9986","13.31","10013.31","0.13","0.07","0.07","1.07","0.28","1.67","54.17","48","5","65.54","0.65","56.06","65.54","0.2031","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"27","ods2_minstop03","6","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop03.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_ods2_minstop03_continuous_2015_2020_m1.ini","ods2_minstop03_continuous_2015_2020_m1","profiles\ods2_minstop03.set","8B3BBA628D29FC9B172DCAB348A656495349476F70B1A25CF3DD98CBB02FC9D1","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.03","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_minstop03_continuous_2015_2020_m1.htm","E12ECE82505E6078BFDC4EFD1C4C14C2CCF0A1A1CF2CDFB578316EFCCBC18842","10000","2191","5.9986","34.47","10034.47","0.34","0.06","0.06","1.04","0.2","1.06","48.54","171","10","165.04","1.63","152.96","165.04","0.2089","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"28","ods2_minstop08","7","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop08.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_ods2_minstop08_older_2015_2018_m1.ini","ods2_minstop08_older_2015_2018_m1","profiles\ods2_minstop08.set","A0401C3BF0A6E5B9F5ADDE3A0C0B8DD329E31D2ECBF522B222BBD84A2EB13C14","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.08","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_minstop08_older_2015_2018_m1.htm","12F2E12AD96989465CBBC0E2812144D5C29A84560B125BA707DB5875357ED035","10000","1460","3.9973","16.16","10016.16","0.16","0.04","0.04","1.03","0.13","0.66","46.34","123","10","165.04","1.63","152.96","165.04","0.0979","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"30","ods2_minstop08","7","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_minstop08.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_ods2_minstop08_discovery_2019_2020_m1.ini","ods2_minstop08_discovery_2019_2020_m1","profiles\ods2_minstop08.set","A0401C3BF0A6E5B9F5ADDE3A0C0B8DD329E31D2ECBF522B222BBD84A2EB13C14","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.08","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_minstop08_discovery_2019_2020_m1.htm","F911A946520C49C71C04D044DD23D9FC9747DB18BA96C7E42148EE1796EE0F19","10000","730","1.9986","11.91","10011.91","0.12","0.06","0.06","1.06","0.25","1.51","54.17","48","5","65.54","0.65","56.06","65.54","0.1817","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
