"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PriorDayMoveATR","PriorDayBodyPercent","MaximumAsianRangeATR","MinimumAsianDriftATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"16","odc_priorbody35","4","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_odc_priorbody35_discovery_2019_2020_m1.ini","odc_priorbody35_discovery_2019_2020_m1","profiles\odc_priorbody35.set","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","35.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody35_discovery_2019_2020_m1.htm","458C8D9F7C223E1F1AD06B2A41D80DDA89050C28F6A021136C0CDF284A58DB9B","10000","730","1.9986","38.84","10038.84","0.39","0.19","0.19","1.23","0.79","3.3","53.06","49","5","51.29","0.51","44.13","51.29","0.7573","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"18","odc_priorbody35","4","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_odc_priorbody35_continuous_2015_2020_m1.ini","odc_priorbody35_continuous_2015_2020_m1","profiles\odc_priorbody35.set","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","35.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody35_continuous_2015_2020_m1.htm","75DFDB76C067BB988F0A701EE02629AEEC287527D27370C35EEFDCB367493AB7","10000","2191","5.9986","116.2","10116.2","1.16","0.19","0.19","1.18","0.61","2.27","49.74","189","6","83.36","0.82","71.56","83.36","1.394","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"19","odc_priorbody55","5","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody55.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_odc_priorbody55_older_2015_2018_m1.ini","odc_priorbody55_older_2015_2018_m1","profiles\odc_priorbody55.set","D9F65B29C1F22F95D209A4E1FE13E4900944A836E8C891AC89A1567486B743A9","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","55.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody55_older_2015_2018_m1.htm","CB10B3F43E8F65DA99EC3C97B5826D2761AAA869C87C767586D236700AA97179","10000","1460","3.9973","82.3","10082.3","0.82","0.21","0.21","1.27","0.9","3.52","49.45","91","5","50.55","0.51","41.86","50.55","1.6281","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"21","odc_priorbody55","5","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody55.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_odc_priorbody55_discovery_2019_2020_m1.ini","odc_priorbody55_discovery_2019_2020_m1","profiles\odc_priorbody55.set","D9F65B29C1F22F95D209A4E1FE13E4900944A836E8C891AC89A1567486B743A9","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","55.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody55_discovery_2019_2020_m1.htm","84DB589595D82FFD9E29238069EA0A16EFE1197A956901AF91BF345856928C99","10000","730","1.9986","-7.12","9992.88","-0.07","-0.04","-0.04","0.93","-0.26","-1.06","48.15","27","2","40.18","0.4","38.69","40.18","-0.1772","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"22","odc_priorbody55","5","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody55.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_odc_priorbody55_continuous_2015_2020_m1.ini","odc_priorbody55_continuous_2015_2020_m1","profiles\odc_priorbody55.set","D9F65B29C1F22F95D209A4E1FE13E4900944A836E8C891AC89A1567486B743A9","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","55.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_priorbody55_continuous_2015_2020_m1.htm","42898C7318464992220107C5DEC4E6DC2E9025C47823DE79C065268EFC6BCC3A","10000","2191","5.9986","71.83","10071.83","0.72","0.12","0.12","1.17","0.61","2.4","49.15","118","5","54.64","0.54","42.04","54.64","1.3146","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"24","odc_asian045","6","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian045.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_odc_asian045_older_2015_2018_m1.ini","odc_asian045_older_2015_2018_m1","profiles\odc_asian045.set","369D4E7ECC5E2FFD8D4AFF454DDBFD80D9A4891D2BE8CAD362C05938BDA5414F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.45","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_asian045_older_2015_2018_m1.htm","5878A81D33590792294BF292A2037D2E95F40247EBC9AB6CC81F48A0658297D9","10000","1460","3.9973","84.59","10084.59","0.85","0.21","0.21","1.21","0.78","2.75","49.54","109","6","59.31","0.59","51.03","59.31","1.4262","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"25","odc_asian045","6","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian045.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_odc_asian045_discovery_2019_2020_m1.ini","odc_asian045_discovery_2019_2020_m1","profiles\odc_asian045.set","369D4E7ECC5E2FFD8D4AFF454DDBFD80D9A4891D2BE8CAD362C05938BDA5414F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.45","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_asian045_discovery_2019_2020_m1.htm","2AC40E9EC9E8C4E7FB75327F16058A5D46BB2CE4BD9E4C858215A9D6CEC3B817","10000","730","1.9986","9.31","10009.31","0.09","0.05","0.05","1.07","0.25","1.04","51.35","37","3","42.42","0.42","41.02","42.42","0.2195","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"27","odc_asian045","6","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian045.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_odc_asian045_continuous_2015_2020_m1.ini","odc_asian045_continuous_2015_2020_m1","profiles\odc_asian045.set","369D4E7ECC5E2FFD8D4AFF454DDBFD80D9A4891D2BE8CAD362C05938BDA5414F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.45","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_asian045_continuous_2015_2020_m1.htm","7E4B1C3880B89233002079D07DF6650DACBCC63CA3E1BADC6C93AABCC9363F4F","10000","2191","5.9986","94.29","10094.29","0.94","0.16","0.16","1.18","0.65","2.36","50","146","6","75.63","0.75","65.75","75.63","1.2467","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"28","odc_asian065","7","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian065.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_odc_asian065_older_2015_2018_m1.ini","odc_asian065_older_2015_2018_m1","profiles\odc_asian065.set","B6A2CE45DB207A20F6F0697DB8EDE9DB0522AF588B765840419809259AF3FC5C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.65","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_asian065_older_2015_2018_m1.htm","7197D88851D9EEC5D6C74A05F379CDFE136DA7A3C9AE5FB990A3507FE59BFD25","10000","1460","3.9973","94.94","10094.94","0.95","0.24","0.24","1.23","0.8","2.89","48.74","119","6","59.31","0.59","51.03","59.31","1.6007","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"30","odc_asian065","7","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian065.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_odc_asian065_discovery_2019_2020_m1.ini","odc_asian065_discovery_2019_2020_m1","profiles\odc_asian065.set","B6A2CE45DB207A20F6F0697DB8EDE9DB0522AF588B765840419809259AF3FC5C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.65","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_asian065_discovery_2019_2020_m1.htm","568B67743FBF96502A96010E05B5F75F05B77267D1A411BC321BBED05116BB2E","10000","730","1.9986","25.43","10025.43","0.25","0.13","0.13","1.19","0.65","2.68","53.85","39","3","41.44","0.41","39.17","41.44","0.6137","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
