"QueueRank","Candidate","SourceType","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","StopRule","Rationale"
"11","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2019_full","2019.01.01","2019.12.31","1","configs\011_brs_uncapped_sweep_off_2019_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2019_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"12","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2020_full","2020.01.01","2020.12.31","1","configs\012_brs_uncapped_sweep_off_2020_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2020_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"13","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2021_full","2021.01.01","2021.12.31","1","configs\013_brs_uncapped_sweep_off_2021_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2021_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"14","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2022_full","2022.01.01","2022.12.31","1","configs\014_brs_uncapped_sweep_off_2022_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2022_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"15","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2023_full","2023.01.01","2023.12.31","1","configs\015_brs_uncapped_sweep_off_2023_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2023_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"16","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2024_full","2024.01.01","2024.12.31","1","configs\016_brs_uncapped_sweep_off_2024_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2024_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"17","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2025_full","2025.01.01","2025.12.31","1","configs\017_brs_uncapped_sweep_off_2025_full_m1.ini","broker_risk_brs_uncapped_sweep_off_2025_full_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"18","brs_uncapped_sweep_off","broker_risk_sizing_probe","fast_model1","brs_uncapped_sweep_off.set","2026_ytd","2026.01.01","2026.07.12","1","configs\018_brs_uncapped_sweep_off_2026_ytd_m1.ini","broker_risk_brs_uncapped_sweep_off_2026_ytd_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity-sweep entries; no effective-risk cap."
"19","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\019_brs_cap100_sweep_on_continuous_2019_2026_m1.ini","broker_risk_brs_cap100_sweep_on_continuous_2019_2026_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"20","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2019_full","2019.01.01","2019.12.31","1","configs\020_brs_cap100_sweep_on_2019_full_m1.ini","broker_risk_brs_cap100_sweep_on_2019_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"21","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2020_full","2020.01.01","2020.12.31","1","configs\021_brs_cap100_sweep_on_2020_full_m1.ini","broker_risk_brs_cap100_sweep_on_2020_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"22","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2021_full","2021.01.01","2021.12.31","1","configs\022_brs_cap100_sweep_on_2021_full_m1.ini","broker_risk_brs_cap100_sweep_on_2021_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"23","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2022_full","2022.01.01","2022.12.31","1","configs\023_brs_cap100_sweep_on_2022_full_m1.ini","broker_risk_brs_cap100_sweep_on_2022_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"24","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2023_full","2023.01.01","2023.12.31","1","configs\024_brs_cap100_sweep_on_2023_full_m1.ini","broker_risk_brs_cap100_sweep_on_2023_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"25","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2024_full","2024.01.01","2024.12.31","1","configs\025_brs_cap100_sweep_on_2024_full_m1.ini","broker_risk_brs_cap100_sweep_on_2024_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"26","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2025_full","2025.01.01","2025.12.31","1","configs\026_brs_cap100_sweep_on_2025_full_m1.ini","broker_risk_brs_cap100_sweep_on_2025_full_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"27","brs_cap100_sweep_on","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_on.set","2026_ytd","2026.01.01","2026.07.12","1","configs\027_brs_cap100_sweep_on_2026_ytd_m1.ini","broker_risk_brs_cap100_sweep_on_2026_ytd_m1","profiles\brs_cap100_sweep_on.set","E4E1A75C284B823AB146A3DABF48A5213E5BAF272AB26B0C57367E1EE82B49FC","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; preserve standalone liquidity sweeps; cap effective risk at 1.00%."
"28","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\028_brs_cap100_sweep_off_continuous_2019_2026_m1.ini","broker_risk_brs_cap100_sweep_off_continuous_2019_2026_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"29","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2019_full","2019.01.01","2019.12.31","1","configs\029_brs_cap100_sweep_off_2019_full_m1.ini","broker_risk_brs_cap100_sweep_off_2019_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"30","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2020_full","2020.01.01","2020.12.31","1","configs\030_brs_cap100_sweep_off_2020_full_m1.ini","broker_risk_brs_cap100_sweep_off_2020_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"31","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2021_full","2021.01.01","2021.12.31","1","configs\031_brs_cap100_sweep_off_2021_full_m1.ini","broker_risk_brs_cap100_sweep_off_2021_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"32","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2022_full","2022.01.01","2022.12.31","1","configs\032_brs_cap100_sweep_off_2022_full_m1.ini","broker_risk_brs_cap100_sweep_off_2022_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"33","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2023_full","2023.01.01","2023.12.31","1","configs\033_brs_cap100_sweep_off_2023_full_m1.ini","broker_risk_brs_cap100_sweep_off_2023_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"34","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2024_full","2024.01.01","2024.12.31","1","configs\034_brs_cap100_sweep_off_2024_full_m1.ini","broker_risk_brs_cap100_sweep_off_2024_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"35","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2025_full","2025.01.01","2025.12.31","1","configs\035_brs_cap100_sweep_off_2025_full_m1.ini","broker_risk_brs_cap100_sweep_off_2025_full_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"36","brs_cap100_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap100_sweep_off.set","2026_ytd","2026.01.01","2026.07.12","1","configs\036_brs_cap100_sweep_off_2026_ytd_m1.ini","broker_risk_brs_cap100_sweep_off_2026_ytd_m1","profiles\brs_cap100_sweep_off.set","4F83493421119C10C2528C9E64571A261CA21A3A983FA703F1F28DD0055F9F9C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 1.00%."
"37","brs_cap075_sweep_off","broker_risk_sizing_probe","fast_model1","brs_cap075_sweep_off.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\037_brs_cap075_sweep_off_continuous_2019_2026_m1.ini","broker_risk_brs_cap075_sweep_off_continuous_2019_2026_m1","profiles\brs_cap075_sweep_off.set","A2A1ACB9265C3F0CA76B611D8C0A928328997804E8515AFE62ED96BF8F3AF99C","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","OrderCalcProfit sizing; reject standalone liquidity sweeps; cap effective risk at 0.75%."
