2015.07.02 10:00:00	entry	XAUUSD	19	sell	0.04	1165.45	1168.62	0.00	daily momentum plus fresh H1 breakout;d1_pct=2.975953;breakout_atr=0.797199;body_ratio=0.625954;close_location=0.648855;range_atr=1.411258;channel_width_atr=3.458120;atr_pct=0.159288;tick_volume_ratio=1.522453;stop_atr=1.705171	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.02 15:20:13	exit	XAUUSD	20	close	0.04	1159.12	0.00	25.32	tp 1159.12	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.06 11:00:00	entry	XAUUSD	22	sell	0.03	1164.51	1169.26	0.00	daily momentum plus fresh H1 breakout;d1_pct=3.464627;breakout_atr=0.531806;body_ratio=0.618070;close_location=0.751540;range_atr=1.992227;channel_width_atr=3.624463;atr_pct=0.209917;tick_volume_ratio=1.886632;stop_atr=1.944958	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.06 18:00:00	exit	XAUUSD	23	close	0.03	1167.53	0.00	-9.06		tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.22 15:00:00	entry	XAUUSD	26	sell	0.01	1088.50	1096.78	0.00	daily momentum plus fresh H1 breakout;d1_pct=14.072525;breakout_atr=0.684053;body_ratio=0.845649;close_location=0.939245;range_atr=1.735785;channel_width_atr=5.187402;atr_pct=0.322298;tick_volume_ratio=1.223481;stop_atr=2.360225	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.23 02:00:00	exit	XAUUSD	27	close	0.01	1095.55	0.00	-7.19		tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.31 10:00:00	entry	XAUUSD	28	sell	0.03	1081.72	1086.57	0.00	daily momentum plus fresh H1 breakout;d1_pct=14.242384;breakout_atr=0.250435;body_ratio=0.558696;close_location=0.978261;range_atr=1.600000;channel_width_atr=4.486957;atr_pct=0.265766;tick_volume_ratio=1.607717;stop_atr=1.686087	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.07.31 15:30:40	exit	XAUUSD	29	close	0.03	1086.59	0.00	-14.61	sl 1086.57	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.09.03 13:00:00	entry	XAUUSD	30	sell	0.03	1130.45	1134.45	0.00	daily momentum plus fresh H1 breakout;d1_pct=2.397493;breakout_atr=0.391325;body_ratio=0.588384;close_location=0.661616;range_atr=1.867044;channel_width_atr=4.719472;atr_pct=0.187624;tick_volume_ratio=1.402738;stop_atr=1.886893	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
2015.09.03 15:43:42	exit	XAUUSD	31	close	0.03	1122.44	0.00	24.03	tp 1122.45	tlp_mom_e20	14F40409A6865F081774AEE18FEEC3E0F22ED1833F8ECAB54DD4BD852A3AD14B	three_lane_momentum_feature_telemetry_model4_full
