"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","BreakLookback","SetupAge","MinimumGapATR","MinimumImpulseRangeATR","RetestHoldFraction","TakeProfitR","StopRule"
"21","m15fvg_b20_imp15","7","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_imp15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m15fvg_b20_imp15_continuous_2015_2020_m1.ini","m15fvg_b20_imp15_continuous_2015_2020_m1","profiles\m15fvg_b20_imp15.set","5C3B0082A99E6D8818BB56B8665EFAE89C3B4CA4856D77E4AE38FEC0FB3048D6","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.50","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"22","m15fvg_b20_hold75","8","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_hold75.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_m15fvg_b20_hold75_older_2015_2018_m1.ini","m15fvg_b20_hold75_older_2015_2018_m1","profiles\m15fvg_b20_hold75.set","65594384DD2E75C5A4909AA0A281C7F235D3768A73F5DBEE6988DCA9532B876B","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.75","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"23","m15fvg_b20_hold75","8","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_hold75.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_m15fvg_b20_hold75_discovery_2019_2020_m1.ini","m15fvg_b20_hold75_discovery_2019_2020_m1","profiles\m15fvg_b20_hold75.set","65594384DD2E75C5A4909AA0A281C7F235D3768A73F5DBEE6988DCA9532B876B","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.75","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"24","m15fvg_b20_hold75","8","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_hold75.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_m15fvg_b20_hold75_continuous_2015_2020_m1.ini","m15fvg_b20_hold75_continuous_2015_2020_m1","profiles\m15fvg_b20_hold75.set","65594384DD2E75C5A4909AA0A281C7F235D3768A73F5DBEE6988DCA9532B876B","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.75","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"25","m15fvg_b20_tp15","9","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_tp15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_m15fvg_b20_tp15_older_2015_2018_m1.ini","m15fvg_b20_tp15_older_2015_2018_m1","profiles\m15fvg_b20_tp15.set","9F00428F6DB0A3E0B2C67A1E56FF7BE0EE312A8BDFF60D58D3C995C0D27A81D1","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"26","m15fvg_b20_tp15","9","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_tp15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_m15fvg_b20_tp15_discovery_2019_2020_m1.ini","m15fvg_b20_tp15_discovery_2019_2020_m1","profiles\m15fvg_b20_tp15.set","9F00428F6DB0A3E0B2C67A1E56FF7BE0EE312A8BDFF60D58D3C995C0D27A81D1","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"27","m15fvg_b20_tp15","9","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_tp15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_m15fvg_b20_tp15_continuous_2015_2020_m1.ini","m15fvg_b20_tp15_continuous_2015_2020_m1","profiles\m15fvg_b20_tp15.set","9F00428F6DB0A3E0B2C67A1E56FF7BE0EE312A8BDFF60D58D3C995C0D27A81D1","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"28","m15fvg_b20_tp25","10","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_tp25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_m15fvg_b20_tp25_older_2015_2018_m1.ini","m15fvg_b20_tp25_older_2015_2018_m1","profiles\m15fvg_b20_tp25.set","E926161C5378CA40D3EBEDD8FF5960927F78090CFFDE4B18E27CF39A9B80E3D9","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","2.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"29","m15fvg_b20_tp25","10","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_tp25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_m15fvg_b20_tp25_discovery_2019_2020_m1.ini","m15fvg_b20_tp25_discovery_2019_2020_m1","profiles\m15fvg_b20_tp25.set","E926161C5378CA40D3EBEDD8FF5960927F78090CFFDE4B18E27CF39A9B80E3D9","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","2.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"30","m15fvg_b20_tp25","10","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_tp25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_m15fvg_b20_tp25_continuous_2015_2020_m1.ini","m15fvg_b20_tp25_continuous_2015_2020_m1","profiles\m15fvg_b20_tp25.set","E926161C5378CA40D3EBEDD8FF5960927F78090CFFDE4B18E27CF39A9B80E3D9","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","2.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
