"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","BollingerDeviation","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"11","rvbd_center180","3","center","reversion_band_deviation_expansion_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.80","rvbd_center180_older_2015_2018_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\011_rvbd_center180_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\011_rvbd_center180_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_center180_older_2015_2018_m1","D1D4D5AFB4F054D3F1BBAFFCB929645CE24290DA64D3553DC24986C5D279EEEC","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"12","rvbd_center180","3","center","reversion_band_deviation_expansion_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.80","rvbd_center180_middle_2019_2020_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\012_rvbd_center180_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\012_rvbd_center180_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_center180_middle_2019_2020_m1","6C97600C88DA57D99478918B2467EA570090659ACE73134816716176A618873E","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"13","rvbd_center180","3","center","reversion_band_deviation_expansion_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.80","rvbd_center180_recent_2021_2023_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\013_rvbd_center180_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\013_rvbd_center180_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_center180_recent_2021_2023_m1","A8BE24126CB62ABBA2062DB41B2E25E9996B021E875DA9DD017E4BF9379F18D9","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"14","rvbd_center180","3","center","reversion_band_deviation_expansion_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.80","rvbd_center180_latest_2024_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\014_rvbd_center180_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\014_rvbd_center180_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_center180_latest_2024_2026_m1","1F79C0884B5EA6F8E16CDC39B86B32122419AE033EA7F109623818B9E407DB76","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"15","rvbd_center180","3","center","reversion_band_deviation_expansion_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.80","rvbd_center180_continuous_2015_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\015_rvbd_center180_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\015_rvbd_center180_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_center180_continuous_2015_2026_m1","5D6DDEF8A7E661AF511583974C92F8D6258C911EA13E5DE8AA634587B679D3D1","3A5F29351FFE0242DE91C38FE8D058911847A02646B970CEBBEC0B1EC65AC3B8","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"16","rvbd_neighbor170","4","aggressive_neighbor","reversion_band_deviation_expansion_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","1.70","rvbd_neighbor170_older_2015_2018_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\016_rvbd_neighbor170_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\016_rvbd_neighbor170_older_2015_2018_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor170_older_2015_2018_m1","10775E82BBB4ABE2E1E801D6F3C5DC06C1E57D3F5E460B1B5651001C5B4F0F42","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"17","rvbd_neighbor170","4","aggressive_neighbor","reversion_band_deviation_expansion_discovery_model1","middle_2019_2020","2019.01.01","2020.12.31","1","10000","1.70","rvbd_neighbor170_middle_2019_2020_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\017_rvbd_neighbor170_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\017_rvbd_neighbor170_middle_2019_2020_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor170_middle_2019_2020_m1","3A676EFCD32FB429A716B0A6238BE2900AA31C63AAD80A79B751185B82FB9CE5","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"18","rvbd_neighbor170","4","aggressive_neighbor","reversion_band_deviation_expansion_discovery_model1","recent_2021_2023","2021.01.01","2023.12.31","1","10000","1.70","rvbd_neighbor170_recent_2021_2023_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\018_rvbd_neighbor170_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\018_rvbd_neighbor170_recent_2021_2023_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor170_recent_2021_2023_m1","33EDE5D280808D5AFD2F030C525FBC7439D4F113C84CC0C79B4D11675C0D9A85","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"19","rvbd_neighbor170","4","aggressive_neighbor","reversion_band_deviation_expansion_discovery_model1","latest_2024_2026","2024.01.01","2026.07.12","1","10000","1.70","rvbd_neighbor170_latest_2024_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\019_rvbd_neighbor170_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\019_rvbd_neighbor170_latest_2024_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor170_latest_2024_2026_m1","B786BCD0283E323B06A51BAC43F82D9EB2901FF4246AF059A63DB0F28F843A8A","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
"20","rvbd_neighbor170","4","aggressive_neighbor","reversion_band_deviation_expansion_discovery_model1","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","1.70","rvbd_neighbor170_continuous_2015_2026_m1","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\020_rvbd_neighbor170_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\configs\020_rvbd_neighbor170_continuous_2015_2026_m1.ini","outputs\three_lane_reversion_band_deviation_expansion_discovery_model1_package\reports_here\rvbd_neighbor170_continuous_2015_2026_m1","09A6B2D67CA3B0BE802AC6E497CD2BB1970F4D42AF8BF6C1BEC0FFEDBFD6826A","170020BF7EFA738EE89AA76413D9369723AA4B066F6B0C8F462DE121E29B2519","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","Frozen one-factor Bollinger-deviation expansion on the exact leader. Every row and all four disjoint eras must remain profitable. The 1.80 center must improve continuous net >=10% and CAGR >=control +0.15 point, add at least three continuous reversion entries, retain >=95% of control total trades, PF >=90% of control, recovery and return/DD >=85% of control, and DD <=1.75%. Both 1.90 and 1.70 neighbors must improve net >=5%, add reversion activity, retain >=85% of control PF and >=75% of control recovery/return-DD, and DD <=2.00%. All other entry, exit, risk, lot, exposure, loss-limit, cooldown, and real-account settings remain unchanged. No post-result rescue."
