"QueueRank","Candidate","CandidateRank","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","LookbackDays","MaximumSetupRangeATR","BreakoutBufferATR","MinimumBodyPercent","MinimumVolumeRatio","EMAFilter","EMAPeriod","ADXFilter","TakeProfitR","ChandelierTrail","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"11","dnrb_maxatr070","4","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_maxatr070_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_discovery_2019_2020_m1.htm","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.70","0.05","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-8.5","9991.5","-0.08","-0.04","-0.04","0","-8.5","-0.11","0","1","1","11.8","0.12","-0.7203"
"12","dnrb_maxatr070","4","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_maxatr070_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_continuous_2015_2020_m1.htm","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.70","0.05","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-6.88","9993.12","-0.07","-0.01","-0.01","0.66","-0.98","-0.28","28.57","7","3","25.69","0.26","-0.2678"
"13","dnrb_maxatr100","5","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_maxatr100_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr100_older_2015_2018_m1.htm","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","1.00","0.05","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","-0.187"
"14","dnrb_maxatr100","5","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_maxatr100_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr100_discovery_2019_2020_m1.htm","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","1.00","0.05","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"15","dnrb_maxatr100","5","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_maxatr100_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr100_continuous_2015_2020_m1.htm","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","1.00","0.05","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-17.3","9982.7","-0.17","-0.03","-0.03","0.43","-1.73","-1.08","20","10","3","33.59","0.34","-0.515"
"16","dnrb_buffer000","6","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_buffer000_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_buffer000_older_2015_2018_m1.htm","D9D86E2993B29B77E3DB983BE8317CBD2B1E2F9CAD5E37A29512306EA92345CB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.00","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-4.78","9995.22","-0.05","-0.01","-0.01","0.75","-0.6","-0.2","37.5","8","3","32.09","0.32","-0.149"
"17","dnrb_buffer000","6","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_buffer000_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_buffer000_discovery_2019_2020_m1.htm","D9D86E2993B29B77E3DB983BE8317CBD2B1E2F9CAD5E37A29512306EA92345CB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.00","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-10.68","9989.32","-0.11","-0.05","-0.05","0","-5.34","-0.15","0","2","2","13.98","0.14","-0.7639"
"18","dnrb_buffer000","6","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_buffer000_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_buffer000_continuous_2015_2020_m1.htm","D9D86E2993B29B77E3DB983BE8317CBD2B1E2F9CAD5E37A29512306EA92345CB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.00","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-15.46","9984.54","-0.15","-0.03","-0.03","0.49","-1.55","-0.96","30","10","3","32.09","0.32","-0.4818"
"19","dnrb_buffer010","7","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_buffer010_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_buffer010_older_2015_2018_m1.htm","8458BDFBC506DCF1C7AE4ED8DFBD61080C3EF3F48C1D39EC95B5B4023A10BF1B","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.10","35.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-13.14","9986.86","-0.13","-0.03","-0.03","0.5","-1.64","-0.61","25","8","3","40.45","0.4","-0.3248"
"20","dnrb_buffer010","7","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_buffer010_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_buffer010_discovery_2019_2020_m1.htm","8458BDFBC506DCF1C7AE4ED8DFBD61080C3EF3F48C1D39EC95B5B4023A10BF1B","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.10","35.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"21","dnrb_buffer010","7","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_buffer010_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_buffer010_continuous_2015_2020_m1.htm","8458BDFBC506DCF1C7AE4ED8DFBD61080C3EF3F48C1D39EC95B5B4023A10BF1B","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.10","35.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-24.16","9975.84","-0.24","-0.04","-0.04","0.35","-2.2","-1.77","18.18","11","3","40.45","0.4","-0.5973"
"22","dnrb_body025","8","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_body025_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_body025_older_2015_2018_m1.htm","A90265864377DE4E3100B3071FE550924FF782B9BC56C04A7F098FA7E1F935A0","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","25.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-5.3","9994.7","-0.05","-0.01","-0.01","0.73","-0.66","-0.2","37.5","8","3","32.61","0.33","-0.1625"
"23","dnrb_body025","8","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_body025_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_body025_discovery_2019_2020_m1.htm","A90265864377DE4E3100B3071FE550924FF782B9BC56C04A7F098FA7E1F935A0","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","25.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"24","dnrb_body025","8","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_body025_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_body025_continuous_2015_2020_m1.htm","A90265864377DE4E3100B3071FE550924FF782B9BC56C04A7F098FA7E1F935A0","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","25.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-16.32","9983.68","-0.16","-0.03","-0.03","0.46","-1.48","-1","27.27","11","3","32.61","0.33","-0.5005"
"25","dnrb_body045","9","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_body045_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_body045_older_2015_2018_m1.htm","C581C18BB3C4D3052D9BFA71819496B45CFD9F05C25ED7F187972FF5CD2BD40E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","45.0","1.00","true","50","false","3.00","true","10000","1460","3.9973","-13.77","9986.23","-0.14","-0.03","-0.03","0.07","-2.75","-0.52","20","5","3","25.21","0.25","-0.5462"
"26","dnrb_body045","9","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_body045_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_body045_discovery_2019_2020_m1.htm","C581C18BB3C4D3052D9BFA71819496B45CFD9F05C25ED7F187972FF5CD2BD40E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","45.0","1.00","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"27","dnrb_body045","9","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_body045_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_body045_continuous_2015_2020_m1.htm","C581C18BB3C4D3052D9BFA71819496B45CFD9F05C25ED7F187972FF5CD2BD40E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","45.0","1.00","true","50","false","3.00","true","10000","2191","5.9986","-24.79","9975.21","-0.25","-0.04","-0.04","0.04","-3.1","-1.37","12.5","8","4","36.97","0.37","-0.6705"
"28","dnrb_volume000","10","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_volume000_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_volume000_older_2015_2018_m1.htm","D2ABA9FFEB4BC2D6B12B3F1822B3AA8769AB3C609F62F6672B1BB17179D68B3D","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","0.00","true","50","false","3.00","true","10000","1460","3.9973","-16.29","9983.71","-0.16","-0.04","-0.04","0.45","-1.48","-1.27","27.27","11","5","44.59","0.45","-0.3653"
"29","dnrb_volume000","10","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_volume000_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_volume000_discovery_2019_2020_m1.htm","D2ABA9FFEB4BC2D6B12B3F1822B3AA8769AB3C609F62F6672B1BB17179D68B3D","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","0.00","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"30","dnrb_volume000","10","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_volume000_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_volume000_continuous_2015_2020_m1.htm","D2ABA9FFEB4BC2D6B12B3F1822B3AA8769AB3C609F62F6672B1BB17179D68B3D","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","0.00","true","50","false","3.00","true","10000","2191","5.9986","-27.31","9972.69","-0.27","-0.05","-0.05","0.33","-1.95","-3.09","21.43","14","5","44.59","0.45","-0.6125"
"31","dnrb_volume115","11","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_volume115_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_volume115_older_2015_2018_m1.htm","753C98627F1719CAF928F32BDF77646EB933C697DB68B7B8B8D31BC9FB44C1FA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.15","true","50","false","3.00","true","10000","1460","3.9973","-4.46","9995.54","-0.04","-0.01","-0.01","0.75","-0.74","-0.18","33.33","6","2","25.3","0.25","-0.1763"
"32","dnrb_volume115","11","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_volume115_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_volume115_discovery_2019_2020_m1.htm","753C98627F1719CAF928F32BDF77646EB933C697DB68B7B8B8D31BC9FB44C1FA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.15","true","50","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"33","dnrb_volume115","11","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_volume115_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_volume115_continuous_2015_2020_m1.htm","753C98627F1719CAF928F32BDF77646EB933C697DB68B7B8B8D31BC9FB44C1FA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.15","true","50","false","3.00","true","10000","2191","5.9986","-15.48","9984.52","-0.15","-0.03","-0.03","0.46","-1.72","-0.96","22.22","9","3","25.3","0.25","-0.6119"
"34","dnrb_ema20","12","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_ema20_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_ema20_older_2015_2018_m1.htm","20CBFB687AAADB79B9B21EC4759C2ADC743839F243BB8B5A797B9E20B7FC3A59","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","20","false","3.00","true","10000","1460","3.9973","-2.65","9997.35","-0.03","-0.01","-0.01","0.82","-0.53","-0.08","20","5","4","29.96","0.3","-0.0885"
"35","dnrb_ema20","12","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_ema20_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_ema20_discovery_2019_2020_m1.htm","20CBFB687AAADB79B9B21EC4759C2ADC743839F243BB8B5A797B9E20B7FC3A59","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","20","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"36","dnrb_ema20","12","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_ema20_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_ema20_continuous_2015_2020_m1.htm","20CBFB687AAADB79B9B21EC4759C2ADC743839F243BB8B5A797B9E20B7FC3A59","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","20","false","3.00","true","10000","2191","5.9986","-13.67","9986.33","-0.14","-0.02","-0.02","0.47","-1.71","-0.65","12.5","8","4","29.96","0.3","-0.4563"
"37","dnrb_ema100","13","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_ema100_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_ema100_older_2015_2018_m1.htm","B3A688B5154EAB14C5ABFB8A1DB5B1D3E4438972363CF82445700AE994F737D5","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","100","false","3.00","true","10000","1460","3.9973","-0.2","9999.8","0","0","0","0.99","-0.02","-0.01","37.5","8","2","33.59","0.34","-0.006"
"38","dnrb_ema100","13","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_ema100_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_ema100_discovery_2019_2020_m1.htm","B3A688B5154EAB14C5ABFB8A1DB5B1D3E4438972363CF82445700AE994F737D5","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","100","false","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"39","dnrb_ema100","13","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_ema100_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_ema100_continuous_2015_2020_m1.htm","B3A688B5154EAB14C5ABFB8A1DB5B1D3E4438972363CF82445700AE994F737D5","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","100","false","3.00","true","10000","2191","5.9986","-11.22","9988.78","-0.11","-0.02","-0.02","0.63","-1.02","-0.75","27.27","11","3","33.59","0.34","-0.334"
"40","dnrb_noema","14","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_noema_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_noema_older_2015_2018_m1.htm","60CC904FD82F97F50770E496AA47DE714EE3D432D4A67B31029E134C034CADF6","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","false","50","false","3.00","true","10000","1460","3.9973","25.09","10025.09","0.25","0.06","0.06","2.1","2.51","1.14","40","10","3","35.27","0.35","0.7114"
"41","dnrb_noema","14","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_noema_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_noema_discovery_2019_2020_m1.htm","60CC904FD82F97F50770E496AA47DE714EE3D432D4A67B31029E134C034CADF6","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","false","50","false","3.00","true","10000","730","1.9986","-14.75","9985.25","-0.15","-0.07","-0.07","0","-3.69","-0.97","0","4","4","18.05","0.18","-0.8172"
