Lane,ProfileId,SourceHash,RunLabel,EntryTime,ExitTime,EntryYear,EntryMonth,EntryHour,DayOfWeek,Symbol,Side,Volume,EntryPrice,ExitPrice,InitialStop,InitialRiskMoney,RiskR,HoldMinutes,Profit,Winner,EntryComment,ExitComment
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-09-03 13:00:00,2015-09-03 15:43:42,2015,9,13,Thursday,XAUUSD,sell,0.03,1130.45,1122.44,1134.45,12.0000,2.002500,163.7,24.03,True,daily momentum plus fresh H1 breakout,tp 1122.45
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-10-02 10:00:00,2015-10-02 15:15:28,2015,10,10,Friday,XAUUSD,sell,0.05,1109.93,1109.64,1112.93,15.0000,0.096667,315.47,1.45,True,daily momentum plus fresh H1 breakout,sl 1109.63
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-11-05 18:00:00,2015-11-05 22:32:17,2015,11,18,Thursday,XAUUSD,buy,0.10,1107.32,1103.92,1103.93,33.9000,-1.002950,272.28,-34.00,False,lower-band reclaim; DI edge -6.70,sl 1103.93
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-11-11 17:00:00,2015-11-12 03:00:00,2015,11,17,Wednesday,XAUUSD,sell,0.03,1085.92,1088.31,1090.25,12.9900,-0.583526,600.0,-7.58,False,daily momentum plus fresh H1 breakout,
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-11-20 13:00:00,2015-11-20 19:18:05,2015,11,13,Friday,XAUUSD,sell,0.10,1085.84,1076.23,1088.45,26.1000,3.681992,378.08,96.10,True,upper-band reclaim; DI edge -5.14,tp 1076.25
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-11-25 16:00:00,2015-11-26 04:00:00,2015,11,16,Wednesday,XAUUSD,sell,0.03,1071.09,1072.84,1076.12,15.0900,-0.375083,720.0,-5.66,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-12-07 16:00:00,2015-12-08 01:05:00,2015,12,16,Monday,XAUUSD,sell,0.03,1079.93,1071.36,1084.17,12.7200,2.010220,545.0,25.57,True,daily momentum plus fresh H1 breakout,tp 1071.44
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-12-17 16:00:00,2015-12-18 03:00:00,2015,12,16,Thursday,XAUUSD,sell,0.01,1060.22,1053.71,1069.57,9.3500,0.690909,660.0,6.46,True,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-12-23 11:00:00,2015-12-24 01:05:00,2015,12,11,Wednesday,XAUUSD,sell,0.03,1071.16,1070.84,1075.63,13.4100,0.041014,845.0,0.55,True,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2015-12-28 18:00:00,2015-12-29 04:00:00,2015,12,18,Monday,XAUUSD,sell,0.05,1069.66,1072.24,1072.62,14.8000,-0.887162,600.0,-13.13,False,daily momentum plus fresh H1 breakout,
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-01-11 03:00:00,2016-01-11 10:53:20,2016,1,3,Monday,XAUUSD,sell,0.10,1106.53,1101.25,1109.00,24.7000,2.137652,473.33,52.80,True,upper-band reclaim; DI edge -11.76,tp 1101.25
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-01-13 10:00:00,2016-01-13 16:16:37,2016,1,10,Wednesday,XAUUSD,sell,0.04,1082.21,1085.86,1085.86,14.6000,-1.000000,376.62,-14.60,False,daily momentum plus fresh H1 breakout,sl 1085.86
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-01-25 10:00:00,2016-01-26 08:44:20,2016,1,10,Monday,XAUUSD,buy,0.03,1104.27,1114.26,1099.28,14.9700,1.976620,1364.33,29.59,True,daily momentum plus fresh H1 breakout,tp 1114.24
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-01-26 09:00:00,2016-01-26 14:00:00,2016,1,9,Tuesday,XAUUSD,buy,0.02,1115.05,1111.66,1108.99,12.1200,-0.559406,300.0,-6.78,False,daily momentum plus fresh H1 breakout,
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-01-28 01:05:00,2016-01-28 16:13:40,2016,1,1,Thursday,XAUUSD,sell,0.10,1125.57,1116.85,1128.46,28.9000,3.017301,908.67,87.20,True,upper-band reclaim; DI edge 0.19,tp 1116.87
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-02-01 10:00:00,2016-02-01 15:31:37,2016,2,10,Monday,XAUUSD,buy,0.05,1122.99,1120.10,1120.10,14.4500,-1.000000,331.62,-14.45,False,daily momentum plus fresh H1 breakout,sl 1120.10
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-02-04 12:00:00,2016-02-05 12:13:05,2016,2,12,Thursday,XAUUSD,buy,0.02,1146.13,1158.32,1140.04,12.1800,1.981117,1453.08,24.13,True,daily momentum plus fresh H1 breakout,tp 1158.31
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-02-05 13:00:00,2016-02-05 15:45:04,2016,2,13,Friday,XAUUSD,buy,0.02,1159.24,1152.76,1152.76,12.9600,-1.000000,165.07,-12.96,False,daily momentum plus fresh H1 breakout,sl 1152.76
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-03-03 15:00:00,2016-03-03 17:25:29,2016,3,15,Thursday,XAUUSD,buy,0.02,1244.87,1256.68,1239.04,11.6600,2.025729,145.48,23.62,True,daily momentum plus fresh H1 breakout,tp 1256.53
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-03-08 10:00:00,2016-03-08 17:00:00,2016,3,10,Tuesday,XAUUSD,buy,0.01,1273.87,1266.92,1264.83,9.0400,-0.768805,420.0,-6.95,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-04-05 11:00:00,2016-04-05 18:00:00,2016,4,11,Tuesday,XAUUSD,buy,0.02,1229.11,1229.76,1223.50,11.2200,0.115865,420.0,1.30,True,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-04-07 08:00:00,2016-04-08 05:00:00,2016,4,8,Thursday,XAUUSD,buy,0.02,1229.87,1235.92,1223.21,13.3200,0.889640,1260.0,11.85,True,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-04-27 10:00:00,2016-04-27 21:01:17,2016,4,10,Wednesday,XAUUSD,buy,0.02,1247.81,1242.39,1242.42,10.7800,-1.005566,661.28,-10.84,False,daily momentum plus fresh H1 breakout,sl 1242.42
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-05-02 13:00:00,2016-05-02 17:16:36,2016,5,13,Monday,XAUUSD,buy,0.01,1299.87,1290.66,1290.66,9.2100,-1.000000,256.6,-9.21,False,daily momentum plus fresh H1 breakout,sl 1290.66
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-05-11 09:00:00,2016-05-12 06:00:00,2016,5,9,Wednesday,XAUUSD,buy,0.02,1272.87,1272.48,1265.93,13.8800,-0.110951,1260.0,-1.54,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-05-16 06:00:00,2016-05-16 17:31:26,2016,5,6,Monday,XAUUSD,buy,0.02,1277.28,1277.92,1270.92,12.7200,0.100629,691.43,1.28,True,daily momentum plus fresh H1 breakout,sl 1277.92
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-06-08 10:00:00,2016-06-08 16:01:59,2016,6,10,Wednesday,XAUUSD,buy,0.03,1250.52,1258.64,1246.50,12.0600,2.019900,361.98,24.36,True,daily momentum plus fresh H1 breakout,tp 1258.55
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-06-13 14:00:00,2016-06-13 17:10:12,2016,6,14,Monday,XAUUSD,buy,0.02,1285.49,1279.28,1279.28,12.4200,-1.000000,190.2,-12.42,False,daily momentum plus fresh H1 breakout,sl 1279.28
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-06-29 06:00:00,2016-06-29 14:00:00,2016,6,6,Wednesday,XAUUSD,buy,0.01,1320.45,1317.19,1311.01,9.4400,-0.345339,480.0,-3.26,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-07-01 17:00:00,2016-07-05 04:42:40,2016,7,17,Friday,XAUUSD,buy,0.01,1339.86,1340.69,1331.04,8.8200,0.064626,5022.67,0.57,True,daily momentum plus fresh H1 breakout,sl 1340.74
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-07-27 16:00:00,2016-07-27 21:49:37,2016,7,16,Wednesday,XAUUSD,buy,0.03,1323.05,1332.84,1318.15,14.7000,1.997959,349.62,29.37,True,daily momentum plus fresh H1 breakout,tp 1332.84
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-07-28 11:00:00,2016-07-28 17:46:27,2016,7,11,Thursday,XAUUSD,buy,0.02,1343.15,1336.80,1336.80,12.7000,-1.000000,406.45,-12.70,False,daily momentum plus fresh H1 breakout,sl 1336.80
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-08-10 16:00:00,2016-08-10 16:30:40,2016,8,16,Wednesday,XAUUSD,buy,0.02,1356.58,1350.48,1350.49,12.1800,-1.001642,30.67,-12.20,False,daily momentum plus fresh H1 breakout,sl 1350.49
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-08-16 09:00:00,2016-08-16 15:31:42,2016,8,9,Tuesday,XAUUSD,buy,0.03,1347.75,1357.79,1342.73,15.0600,2.000000,391.7,30.12,True,daily momentum plus fresh H1 breakout,tp 1357.79
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-08-26 13:00:00,2016-08-26 15:55:25,2016,8,13,Friday,XAUUSD,buy,0.05,1326.22,1332.06,1323.31,14.5500,2.006873,175.42,29.20,True,daily momentum plus fresh H1 breakout,tp 1332.04
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-09-20 10:00:00,2016-09-20 12:19:28,2016,9,10,Tuesday,XAUUSD,buy,0.06,1317.36,1315.09,1315.09,13.6200,-1.000000,139.47,-13.62,False,daily momentum plus fresh H1 breakout,sl 1315.09
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-09-21 15:00:00,2016-09-22 09:00:00,2016,9,15,Wednesday,XAUUSD,buy,0.02,1324.14,1331.51,1317.89,12.5000,1.118400,1080.0,13.98,True,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-09-22 16:00:00,2016-09-23 05:00:00,2016,9,16,Thursday,XAUUSD,buy,0.02,1337.43,1335.01,1331.74,11.3800,-0.447276,780.0,-5.09,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-09-30 11:00:00,2016-09-30 17:11:20,2016,9,11,Friday,XAUUSD,buy,0.03,1326.00,1320.83,1320.85,15.4500,-1.003883,371.33,-15.51,False,daily momentum plus fresh H1 breakout,sl 1320.85
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-10-13 06:00:00,2016-10-13 12:00:00,2016,10,6,Thursday,XAUUSD,buy,0.02,1259.49,1257.10,1252.74,13.5000,-0.354074,360.0,-4.78,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-10-18 10:00:00,2016-10-18 16:00:00,2016,10,10,Tuesday,XAUUSD,buy,0.03,1262.23,1259.13,1257.40,14.4900,-0.641822,360.0,-9.30,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-11-02 07:00:00,2016-11-02 18:13:29,2016,11,7,Wednesday,XAUUSD,buy,0.02,1292.92,1304.84,1286.96,11.9200,2.000000,673.48,23.84,True,daily momentum plus fresh H1 breakout,tp 1304.84
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-12-12 11:00:00,2016-12-12 15:22:31,2016,12,11,Monday,XAUUSD,sell,0.02,1152.60,1159.12,1159.12,13.0400,-1.000000,262.52,-13.04,False,daily momentum plus fresh H1 breakout,sl 1159.12
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-12-15 19:00:00,2016-12-16 08:00:00,2016,12,19,Thursday,XAUUSD,sell,0.01,1124.15,1131.90,1133.47,9.3200,-0.836910,780.0,-7.80,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-12-20 07:00:00,2016-12-20 16:39:16,2016,12,7,Tuesday,XAUUSD,sell,0.03,1135.44,1126.40,1139.96,13.5600,2.000000,579.27,27.12,True,daily momentum plus fresh H1 breakout,tp 1126.40
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2016-12-22 08:00:00,2016-12-22 09:28:06,2016,12,8,Thursday,XAUUSD,sell,0.04,1129.09,1132.58,1132.55,13.8400,-1.008671,88.1,-13.96,False,daily momentum plus fresh H1 breakout,sl 1132.55
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-01-25 06:00:00,2017-01-25 16:23:41,2017,1,6,Wednesday,XAUUSD,sell,0.03,1205.49,1196.54,1209.97,13.4400,1.997768,623.68,26.85,True,daily momentum plus fresh H1 breakout,tp 1196.54
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-01-26 12:00:00,2017-01-27 22:00:00,2017,1,12,Thursday,XAUUSD,sell,0.02,1192.64,1191.59,1199.48,13.6800,0.146930,2040.0,2.01,True,daily momentum plus fresh H1 breakout,
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-02-08 16:00:00,2017-02-08 16:32:17,2017,2,16,Wednesday,XAUUSD,sell,0.10,1238.72,1241.12,1241.05,23.3000,-1.030043,32.28,-24.00,False,upper-band reclaim; DI edge -11.75,sl 1241.06
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-02-10 10:00:00,2017-02-10 11:47:04,2017,2,10,Friday,XAUUSD,sell,0.03,1221.86,1226.02,1226.02,12.4800,-1.000000,107.07,-12.48,False,daily momentum plus fresh H1 breakout,sl 1226.02
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-02-13 16:00:00,2017-02-14 07:00:00,2017,2,16,Monday,XAUUSD,sell,0.02,1225.34,1228.85,1231.36,12.0400,-0.590532,900.0,-7.11,False,daily momentum plus fresh H1 breakout,
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-02-16 15:00:00,2017-02-16 15:36:39,2017,2,15,Thursday,XAUUSD,sell,0.10,1237.43,1239.45,1239.45,20.2000,-1.000000,36.65,-20.20,False,upper-band reclaim; DI edge -0.60,sl 1239.45
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-02-17 15:00:00,2017-02-20 03:30:23,2017,2,15,Friday,XAUUSD,sell,0.10,1241.80,1234.82,1244.10,23.0000,3.014783,3630.38,69.34,True,upper-band reclaim; DI edge -9.38,tp 1234.82
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-01 15:00:00,2017-03-01 20:00:00,2017,3,15,Wednesday,XAUUSD,sell,0.02,1242.24,1247.13,1247.57,10.6600,-0.917448,300.0,-9.78,False,daily momentum plus fresh H1 breakout,
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-03 08:00:00,2017-03-03 21:00:41,2017,3,8,Friday,XAUUSD,sell,0.04,1230.58,1230.19,1234.44,15.4400,0.101036,780.68,1.56,True,daily momentum plus fresh H1 breakout,sl 1230.19
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-07 12:00:00,2017-03-07 16:33:36,2017,3,12,Tuesday,XAUUSD,sell,0.05,1223.33,1217.14,1226.42,15.4500,2.003236,273.6,30.95,True,daily momentum plus fresh H1 breakout,tp 1217.15
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-08 10:00:00,2017-03-09 10:46:42,2017,3,10,Wednesday,XAUUSD,sell,0.03,1213.67,1203.83,1218.59,14.7600,1.972222,1486.7,29.11,True,daily momentum plus fresh H1 breakout,tp 1203.83
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-10 07:00:00,2017-03-10 15:33:27,2017,3,7,Friday,XAUUSD,sell,0.04,1197.13,1200.41,1200.39,13.0400,-1.006135,513.45,-13.12,False,daily momentum plus fresh H1 breakout,sl 1200.39
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-14 09:00:00,2017-03-14 13:28:18,2017,3,9,Tuesday,XAUUSD,sell,0.04,1201.60,1205.10,1205.10,14.0000,-1.000000,268.3,-14.00,False,daily momentum plus fresh H1 breakout,sl 1205.10
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-17 13:00:00,2017-03-17 13:46:25,2017,3,13,Friday,XAUUSD,sell,0.10,1228.98,1230.73,1230.71,17.3000,-1.011561,46.42,-17.50,False,upper-band reclaim; DI edge -9.38,sl 1230.71
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-24 08:00:00,2017-03-24 09:27:39,2017,3,8,Friday,XAUUSD,sell,0.07,1242.37,1244.58,1244.57,15.4000,-1.004545,87.65,-15.47,False,daily momentum plus fresh H1 breakout,sl 1244.57
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-28 10:00:00,2017-03-28 14:25:15,2017,3,10,Tuesday,XAUUSD,sell,0.04,1251.74,1255.01,1255.01,13.0800,-1.000000,265.25,-13.08,False,daily momentum plus fresh H1 breakout,sl 1255.01
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-03-30 16:00:00,2017-03-31 05:32:31,2017,3,16,Thursday,XAUUSD,sell,0.04,1247.76,1240.19,1251.53,15.0800,1.996021,812.52,30.10,True,daily momentum plus fresh H1 breakout,tp 1240.22
reversion,tlp_rv_m12,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-04-03 22:00:00,2017-04-04 01:05:00,2017,4,22,Monday,XAUUSD,sell,0.10,1252.10,1254.53,1254.03,19.3000,-1.282902,185.0,-24.76,False,upper-band reclaim; DI edge -1.89,sl 1254.03
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-05-02 16:00:00,2017-05-02 20:26:26,2017,5,16,Tuesday,XAUUSD,sell,0.04,1252.91,1256.18,1256.18,13.0800,-1.000000,266.43,-13.08,False,daily momentum plus fresh H1 breakout,sl 1256.18
momentum,tlp_mom_e20,5BADDE1BC7C1E8020E64F00793058AD5C6174370A866F5D3002FA1FA12248FC3,combined_model4_control,2017-05-04 09:00:00,2017-05-05 07:37:41,2017,5,9,Thursday,XAUUSD,sell,0.02,1235.46,1234.86,1241.50,12.0800,0.091887,1357.68,1.11,True,daily momentum plus fresh H1 breakout,sl 1234.86
